addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
Chrono Download Manager,https://chrome.google.com/webstore/detail/chrono-download-manager/mciiogijehkdemklbdcbfkefimifhecn,1,659301,1.55MiB,0.9.3,"December 20, 2015",10175,4.33287469287,www.chronodownloader.net,http://www.chronodownloader.net,False,Chrome,download
internet Download Manager For Chrome,https://chrome.google.com/webstore/detail/internet-download-manager/blhjobkfabeopalncconblmakfcllmhk,2,389553,61.63KiB,0.5.4,"November 8, 2016",7992,4.33708708709,vadim.milevskiy88,http://idmforchrome.com/internet-download-manager-for-chrome/,False,Chrome,download
Download Plus,https://chrome.google.com/webstore/detail/download-plus/gokgophibdidjjpildcdbfpmcahilaaf,3,129772,123KiB,1.6.7,"November 30, 2015",3822,4.52825745683,downloadplus.chromiums.org,http://downloadplus.chromiums.org,False,Chrome,download
Download Manager,https://chrome.google.com/webstore/detail/download-manager/daoidaoebhfcgccdpgjjcbdginkofmfe,4,91475,268KiB,6.7.2,"March 19, 2016",1030,4.26601941748,MadApps,,False,Chrome,download
Synology Download Station,https://chrome.google.com/webstore/detail/synology-download-station/onhbegdkgonhlokobjefolhpoidcnida,5,120781,1005KiB,2.2.12,"April 24, 2016",1026,4.31773879142,www.download-station-extension.com,http://www.download-station-extension.com,False,Chrome,download
internet download manager,https://chrome.google.com/webstore/detail/internet-download-manager/nfcelmplolacdbpbohdeicccklccnjgp,6,67204,7.22KiB,1.3,"March 9, 2017",599,4.18030050083,ChromeApps,,False,Chrome,download
Free Download Manager Chrome extension,https://chrome.google.com/webstore/detail/free-download-manager-chr/ahmpjcflkgiildlgicmcieglgoilbfdp,7,521055,259KiB,2.1.42,"March 3, 2017",1881,4.24933545986,Free Download Manager.ORG,http://www.freedownloadmanager.org,False,Chrome,download
"Download Vimeo Videos, Premium",https://chrome.google.com/webstore/detail/download-vimeo-videos-pre/phpaiffimemgakmakpcehgbophkbllkf,8,88169,1.11MiB,1.4.7,"August 22, 2016",1435,3.7637630662,vimeo-download-videos.com,http://vimeo-download-videos.com,False,Chrome,download
Video Downloader professional,https://chrome.google.com/webstore/detail/video-downloader-professi/kmdldgcmokdpmacblnehppgkjphcbpnn,9,132204,426KiB,1.1.6,"March 14, 2017",1394,4.2087517934,videodownloader.io,http://videodownloader.io,False,Chrome,download
Internet Download Accelerator,https://chrome.google.com/webstore/detail/internet-download-acceler/ccpokhmgacfkdaelielfljggjbbmmdpi,10,36417,201KiB,3.3.0,"February 17, 2017",344,4.03197674419,westbyte.com,http://westbyte.com,False,Chrome,download
Download,https://chrome.google.com/webstore/detail/download/nccjoeeljedbmkidebclpoabijggpbdp,11,65408,27.96KiB,1.3.0,"July 12, 2015",798,4.36967418546,chromeplayground.blogspot.com,http://chromeplayground.blogspot.com,False,Chrome,download
