addon_name,addon_url,search_rank,search_term,platform
Chrono Download Manager,https://chrome.google.com/webstore/detail/chrono-download-manager/mciiogijehkdemklbdcbfkefimifhecn,1,download,Chrome
internet Download Manager For Chrome,https://chrome.google.com/webstore/detail/internet-download-manager/blhjobkfabeopalncconblmakfcllmhk,2,download,Chrome
Download Plus,https://chrome.google.com/webstore/detail/download-plus/gokgophibdidjjpildcdbfpmcahilaaf,3,download,Chrome
Download Manager,https://chrome.google.com/webstore/detail/download-manager/daoidaoebhfcgccdpgjjcbdginkofmfe,4,download,Chrome
Synology Download Station,https://chrome.google.com/webstore/detail/synology-download-station/onhbegdkgonhlokobjefolhpoidcnida,5,download,Chrome
internet download manager,https://chrome.google.com/webstore/detail/internet-download-manager/nfcelmplolacdbpbohdeicccklccnjgp,6,download,Chrome
Free Download Manager Chrome extension,https://chrome.google.com/webstore/detail/free-download-manager-chr/ahmpjcflkgiildlgicmcieglgoilbfdp,7,download,Chrome
"Download Vimeo Videos, Premium",https://chrome.google.com/webstore/detail/download-vimeo-videos-pre/phpaiffimemgakmakpcehgbophkbllkf,8,download,Chrome
Video Downloader professional,https://chrome.google.com/webstore/detail/video-downloader-professi/kmdldgcmokdpmacblnehppgkjphcbpnn,9,download,Chrome
Internet Download Accelerator,https://chrome.google.com/webstore/detail/internet-download-acceler/ccpokhmgacfkdaelielfljggjbbmmdpi,10,download,Chrome
Download,https://chrome.google.com/webstore/detail/download/nccjoeeljedbmkidebclpoabijggpbdp,11,download,Chrome
Downloads Manager,https://chrome.google.com/webstore/detail/downloads-manager/ebcdgpnndibhdmgcbbfmhfpdpcljibbp,12,download,Chrome
Download Ninja,https://chrome.google.com/webstore/detail/download-ninja/gklhnpfkcfpkjcihhjbgmhgkcajamlmd,13,download,Chrome
Free Video Downloader,https://chrome.google.com/webstore/detail/free-video-downloader/ppgadljdflpomdcdacknofppeejgmjdn,14,download,Chrome
Chrome Download Manager,https://chrome.google.com/webstore/detail/chrome-download-manager/mhajlnmbkfmnclimfamflbhhnneebpnh,15,download,Chrome
Download Master - Free Download Manager,https://chrome.google.com/webstore/detail/download-master-free-down/laepcndcehndnjndpfjdcdgbneoimdgg,16,download,Chrome
Photo download for Facebook,https://chrome.google.com/webstore/detail/photo-download-for-facebo/oaeofonahpollpigknepbpnabhgbpcjc,17,download,Chrome
Twitter Video Assist,https://chrome.google.com/webstore/detail/twitter-video-assist/cledppeceojodgghbbkaciochldmpdfk,18,download,Chrome
Download Helper,https://chrome.google.com/webstore/detail/download-helper/plakpcmpdoljmbpbndlkanblnchogifl,19,download,Chrome
Download Converter Now,https://chrome.google.com/webstore/detail/download-converter-now/glbpbnmbilhbphkdfondghkkbobfnpgj,20,download,Chrome
Image Downloader,https://chrome.google.com/webstore/detail/image-downloader/cnpniohnfphhjihaiiggeabnkjhpaldj,21,download,Chrome
VkDown Download music/video vKontakte vk.com,https://chrome.google.com/webstore/detail/vkdown-download-musicvide/iejibnkmjndjbphokedoefmhhkimnmej,22,download,Chrome
Skyload - Download of music and video,https://chrome.google.com/webstore/detail/skyload-download-of-music/fnmpfimijcopbiaiobinamadmnmhckmp,23,download,Chrome
TED Video Download,https://chrome.google.com/webstore/detail/ted-video-download/ponobohemjmcfbdcjghajlmkenceogaa,24,download,Chrome
Video Downloader Pro,https://chrome.google.com/webstore/detail/video-downloader-pro/ofcgiflmicieegobmapobiohjeokdbcd,25,download,Chrome
Fruumo Download Manager,https://chrome.google.com/webstore/detail/fruumo-download-manager/ekmbkhodcdnafhomcpbfgimkglaohmil,26,download,Chrome
Download Master 2016,https://chrome.google.com/webstore/detail/download-master-2016/ghgbnmhbcbbgoalbahdpehncclfhhkge,27,download,Chrome
Asus Download Master,https://chrome.google.com/webstore/detail/asus-download-master/akidbpofokakpmmabjlpcgplfmbmcemj,28,download,Chrome
