addon_name,addon_url,search_rank,search_term,platform
XLS Editor,https://chrome.google.com/webstore/detail/xls-editor/iobjaooppmgjlgomfpaohhncpfjpigaf,1,excel,Chrome
Convert PDF to Excel - PDFfiller,https://chrome.google.com/webstore/detail/convert-pdf-to-excel-pdff/mdofffilpnhpglblegkakoeofjebmppm,2,excel,Chrome
OpenOffice Excel online for xls spreadsheets,https://chrome.google.com/webstore/detail/openoffice-excel-online-f/fiffkcnehndkebmpinoknndjbhdpbkcn,3,excel,Chrome
Convert PDF to Fillable - PDFfiller,https://chrome.google.com/webstore/detail/convert-pdf-to-fillable-p/bjfjkiealedmbiiiolnlbjifaehpgecd,4,excel,Chrome
Online Excel Viewer And Editor,https://chrome.google.com/webstore/detail/online-excel-viewer-and-e/mfgpilnjecbpekgkfjlampemiloaencd,5,excel,Chrome
CloudCodes Insertable,https://chrome.google.com/webstore/detail/cloudcodes-insertable/mkdocgdpmmbciijbekodlgliknfiegbb,6,excel,Chrome
Custom Settings Exporter for Salesforce,https://chrome.google.com/webstore/detail/custom-settings-exporter/lmfmdaidklofmhheadbjcgcdeidnhbil,7,excel,Chrome
Twlets: Twitter to Excel,https://chrome.google.com/webstore/detail/twlets-twitter-to-excel/glmadnnfibhnhgboophnodnhbjdogiec,8,excel,Chrome
LibreOffice Editor,https://chrome.google.com/webstore/detail/libreoffice-editor/bdomjcpneblellajjhgfdlnmjfofflop,9,excel,Chrome
"Save Text to PDF, WORD, EXCEL or Send EMAIL",https://chrome.google.com/webstore/detail/save-text-to-pdf-word-exc/fekmmlpjhkgpmlmgbfmdlngdclmncpke,10,excel,Chrome
Excel to Wiki,https://chrome.google.com/webstore/detail/excel-to-wiki/gkinofpldigfighfohcfbnmcnnnboidg,11,excel,Chrome
Export for Trello,https://chrome.google.com/webstore/detail/export-for-trello/nhdelomnagopgaealggpgojkhcafhnin,12,excel,Chrome
TrelloExport,https://chrome.google.com/webstore/detail/trelloexport/kmmnaeamjfdnbhljpedgfchjbkbomahp,13,excel,Chrome
Salesforce DevTools,https://chrome.google.com/webstore/detail/salesforce-devtools/ehgmhinnhggigkogkbhnbodhbfjgncjf,14,excel,Chrome
Excel to PDF Converter,https://chrome.google.com/webstore/detail/excel-to-pdf-converter/ebicppbdnhcoffnnljdiclfiapmnnjdk,15,excel,Chrome
f(x) Traducteur pour Spreadsheet,https://chrome.google.com/webstore/detail/fx-traducteur-pour-spread/mehikbdjadagnngdnflgopmgepdgknak,16,excel,Chrome
Json To Excel String,https://chrome.google.com/webstore/detail/json-to-excel-string/dkocgbkpkphbmikkmobgbhnneeclnjia,17,excel,Chrome
Export History,https://chrome.google.com/webstore/detail/export-history/hcohnnbbiggngobheobhdipbgmcbelhh,18,excel,Chrome
"Office Editing for Docs, Sheets & Slides",https://chrome.google.com/webstore/detail/office-editing-for-docs-s/gbkeegbaiigmenfmjfclcdgdpimamgkj,19,excel,Chrome
Hurry Scrap -web scraping- extract web data,https://chrome.google.com/webstore/detail/hurry-scrap/akkkdfbnncpligajlllmbhkejnligpnb,20,excel,Chrome
FB Data Miner,https://chrome.google.com/webstore/detail/fb-data-miner/ocolohmjdekifjnbegmjlppmidbfdnoo,21,excel,Chrome
Open with Microsoft Office Online Viewer,https://chrome.google.com/webstore/detail/open-with-microsoft-offic/bcknfcclbcpdeopdopomkdbjmldgdeld,22,excel,Chrome
.csv_File_Automatic_open_in_Microsoft_Excel,https://chrome.google.com/webstore/detail/csvfileautomaticopeninmic/npfeccmoeoangbjjkbcondknnpfdakag,23,excel,Chrome
Save PDF Documents - PDFfiller,https://chrome.google.com/webstore/detail/save-pdf-documents-pdffil/gldifhignldmkfnfkmhgddpakokpfknb,24,excel,Chrome
Document and Image Converter Toolbox,https://chrome.google.com/webstore/detail/document-and-image-conver/jpjkaekegnficmcdgicgdbnpnjiaeldi,25,excel,Chrome
Convert PDF to Word - PDFfiller,https://chrome.google.com/webstore/detail/convert-pdf-to-word-pdffi/gclipekclncjckbhddbiocikflkdekkm,26,excel,Chrome
Trello-Office,https://chrome.google.com/webstore/detail/trello-office/adplchojbnceleieilggnpceikjeapjg,27,excel,Chrome
AMS全家桶,https://chrome.google.com/webstore/detail/ams%E5%85%A8%E5%AE%B6%E6%A1%B6/fpdlkpoamajkepkahlimakkfokeklkli,28,excel,Chrome
PDFzorro - PDF Editor,https://chrome.google.com/webstore/detail/pdfzorro-pdf-editor/klihnfdjiglbiegpodnkhmpppbcmcmak,29,excel,Chrome
ASE Export for Trello,https://chrome.google.com/webstore/detail/ase-export-for-trello/hpmlbdgmdcendofmofjcedniagedgcpg,30,excel,Chrome
Excel Cells to YP Ads,https://chrome.google.com/webstore/detail/excel-cells-to-yp-ads/hdjhhdfgohmbookpfjbcdagnepklfogf,31,excel,Chrome
Convert PDF to Powerpoint - PDFfiller,https://chrome.google.com/webstore/detail/convert-pdf-to-powerpoint/nknpdkegniedaplnefmjdjhpkjeajemf,32,excel,Chrome
LinkedIn Export Tool,https://chrome.google.com/webstore/detail/linkedin-export-tool/kgipmhdegifoehfbbffcfbmpfmbjaiem,33,excel,Chrome
SFMC Easy DE Creater,https://chrome.google.com/webstore/detail/sfmc-easy-de-creater/imegapimboblpaakjhcnegbdonflncdk,34,excel,Chrome
豆瓣电台爬虫（加星歌曲列表导出）,https://chrome.google.com/webstore/detail/%E8%B1%86%E7%93%A3%E7%94%B5%E5%8F%B0%E7%88%AC%E8%99%AB%EF%BC%88%E5%8A%A0%E6%98%9F%E6%AD%8C%E6%9B%B2%E5%88%97%E8%A1%A8%E5%AF%BC%E5%87%BA%EF%BC%89/biegmkgmmglpkeapmlkfpbihllbplaef,35,excel,Chrome
Keep PDF Online - PDFfiller,https://chrome.google.com/webstore/detail/keep-pdf-online-pdffiller/gbkbgbjldgcfookoigejomkgmnblcbam,36,excel,Chrome
Salesforce Mass Editor,https://chrome.google.com/webstore/detail/salesforce-mass-editor/mnmlmkmjjhpbfemhmhpcpfkdlgadbigf,37,excel,Chrome
PayPanther,https://chrome.google.com/webstore/detail/paypanther/mahlmigfdkdlfphlljpfaciaalbpfdho,38,excel,Chrome
eToggler,https://chrome.google.com/webstore/detail/etoggler/bgmpdlkaboebhdiidpmdobdamhjdieec,39,excel,Chrome
SkyHey PDF Form Filler,https://chrome.google.com/webstore/detail/skyhey-pdf-form-filler/ghkgbnhleghbgggchmoegmhhmgilcdbc,40,excel,Chrome
AWS Cost Calculator CSV Export,https://chrome.google.com/webstore/detail/aws-cost-calculator-csv-e/lcjgldkjcoofginfcncfjfjealnbidnh,41,excel,Chrome
PracticePanther,https://chrome.google.com/webstore/detail/practicepanther/dbhfnplpfbhmfiobkdajilkhmcidaokm,42,excel,Chrome
GL.Research Extension,https://chrome.google.com/webstore/detail/glresearch-extension/kfmjalehicecdnobhpdfcgciliignmlj,43,excel,Chrome
Data Scraper - Easy Web Scraping,https://chrome.google.com/webstore/detail/data-scraper-easy-web-scr/nndknepjnldbdbepjfgmncbggmopgden,44,excel,Chrome
