addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
Better Facebook for Chrome + Color Changer,https://chrome.google.com/webstore/detail/better-facebook-for-chrom/opnfbjkeinmnibcpmlpjacekjaldnjmj,1,7616164,1.83MiB,41.1.1.11,"April 29, 2017",2518,4.51151707705,Apps for Chrome,,False,Chrome,facebook
Photo Zoom for Facebook,https://chrome.google.com/webstore/detail/photo-zoom-for-facebook/elioihkkcdgakfbahdoddophfngopipi,2,863326,62.15KiB,1.1428.5.3,"August 31, 2016",66921,4.81878633015,getphotozoom,,False,Chrome,facebook
Save to Facebook,https://chrome.google.com/webstore/detail/save-to-facebook/jmfikkaogpplgnfjmbjdpalkhclendgd,3,1415862,25.67KiB,1.1,"February 24, 2017",316,3.91139240506,https://facebook.com,https://facebook.com,False,Chrome,facebook
Toolkit For Facebook,https://chrome.google.com/webstore/detail/toolkit-for-facebook/fcachklhcihfinmagjnlomehfdhndhep,4,255201,1.34MiB,2.3.10,"December 7, 2016",1757,4.04894706887,getmyscript.com,http://getmyscript.com,False,Chrome,facebook
Facebook Pixel Helper,https://chrome.google.com/webstore/detail/facebook-pixel-helper/fdgfkebogiimcoedlicjlajpkdmockpc,5,468749,506KiB,0.7.13,"December 7, 2016",389,4.51670951157,Facebook,https://developers.facebook.com/docs/ads-for-websites/pixel-troubleshooting,False,Chrome,facebook
Invite All (for Facebook),https://chrome.google.com/webstore/detail/invite-all-for-facebook/eopekjehpibhfpjjcokfmhcaeiclddih,6,218559,119KiB,1.32,"June 5, 2016",1745,3.83896848138,Invite All,http://www.facebook.com/invallchrome,False,Chrome,facebook
Buffer,https://chrome.google.com/webstore/detail/buffer/noojglkidnpfjbincgijbaiedldjfbhh,7,467457,191KiB,3.3.6,"April 24, 2017",2776,4.74567723343,buffer.com,http://buffer.com,False,Chrome,facebook
DarkBook - Dark Facebook™ Theme 2016,https://chrome.google.com/webstore/detail/darkbook-dark-facebook-th/mkgkcincjmmlkjhnikgmegnaafcepmon,8,27117,84.43KiB,2016.10.28.0,"October 28, 2016",415,4.46506024096,addtochrome.com,http://addtochrome.com,False,Chrome,facebook
"QCLean:Remove Facebook Ad,Suggested Page&Post",https://chrome.google.com/webstore/detail/qcleanremove-facebook-ads/fdhhejjkjfjkchkimomgfegnpapndjne,9,38626,194KiB,0.5.7.6,"January 19, 2017",256,4.3203125,Qing-Cheng Li,http://qcl.github.io/QCLean,False,Chrome,facebook
Adblock for Facebook™,https://chrome.google.com/webstore/detail/adblock-for-facebook/jbfjodonncabnangfknilmabjfofdikc,10,52647,645KiB,2.1.0,"March 5, 2016",889,3.6062992126,Adblock Guy,,False,Chrome,facebook
(for Facebook™) Group Invite All Friends 2016,https://chrome.google.com/webstore/detail/for-facebook-group-invite/pmdbndicjpnflcfplddgonljmhcmfncj,11,22294,68.24KiB,2016.10.31.0,"October 30, 2016",1205,4.64066390041,fbleadapp.com,http://fbleadapp.com,False,Chrome,facebook
Social Fixer for Facebook,https://chrome.google.com/webstore/detail/social-fixer-for-facebook/ifmhoabcaeehkljcfclfiieohkohdgbb,12,192047,331KiB,19.0.0,"March 7, 2017",3027,4.30591344566,socialfixer.com,http://socialfixer.com,False,Chrome,facebook
SMS from Gmail ™ & Facebook™ (MightyText),https://chrome.google.com/webstore/detail/sms-from-gmail-facebook-m/iffdacemhfpnchinokehhnppllonacfj,13,163410,2.81MiB,5.5,"May 1, 2017",2553,4.28632980807,mightytext.net,http://mightytext.net,False,Chrome,facebook
Awesome Facebook Video Downloader,https://chrome.google.com/webstore/detail/awesome-facebook-video-do/kmminjooemmhhbpkbfmjhknffplmjkfi,14,28303,42.73KiB,1.4.3,"March 31, 2017",309,4.12297734628,fbdownloader.info,http://fbdownloader.info,False,Chrome,facebook
AdBlockPro - Adblocker for Facebook & Youtube,https://chrome.google.com/webstore/detail/adblockpro-adblocker-for/ogdcomcbjdlgppjnfkehfdblagaamebp,15,35783,103KiB,2.4,"September 13, 2016",159,3.4465408805,webshields.org,http://webshields.org,False,Chrome,facebook
Photo download for Facebook,https://chrome.google.com/webstore/detail/photo-download-for-facebo/oaeofonahpollpigknepbpnabhgbpcjc,16,34217,47.27KiB,1.0.9,"April 16, 2013",327,3.39143730887,www.alexandrecollin.com,http://www.alexandrecollin.com,False,Chrome,facebook
Ads Blocker for Facebook ™,https://chrome.google.com/webstore/detail/ads-blocker-for-facebook/dmgjckeibmdfndlflobjhddhmemajjld,17,10154,164KiB,1.2.16,"April 8, 2017",169,4.81656804734,https://www.adsblock.org,https://www.adsblock.org,False,Chrome,facebook
Facebook™ Chat Privacy,https://chrome.google.com/webstore/detail/facebook-chat-privacy/gfpgaanechfneiboempkfjghninbibjn,18,106919,29.71KiB,0.2.6,"July 18, 2016",1495,4.06956521739,Jan Biersen,http://www.facebook.com,False,Chrome,facebook
Color & Theme Changer for Facebook ™,https://chrome.google.com/webstore/detail/color-theme-changer-for-f/fpcehbfdafmgaekkplgdodnnbfohbbjo,19,13453,201KiB,2.0.22,"April 6, 2017",295,4.60677966102,https://www.fbchimp.com,https://www.fbchimp.com,False,Chrome,facebook
F.B.(FluffBusting)Purity,https://chrome.google.com/webstore/detail/fbfluffbustingpurity/nmkinhboiljjkhaknpaeaicmdjhagpep,20,140794,131KiB,18.0.1.20,"April 24, 2017",1368,4.91374269006,www.fbpurity.com,http://www.fbpurity.com,False,Chrome,facebook
Secret Emoticon & Smiley for Facebook™ Emoji,https://chrome.google.com/webstore/detail/secret-emoticon-smiley-fo/ppkeakmkdillningcalbkokojdfpleii,21,11362,393KiB,2016.10.25.0,"October 25, 2016",215,4.42325581395,fbleadapp.com,http://fbleadapp.com,False,Chrome,facebook
Share to Facebook,https://chrome.google.com/webstore/detail/share-to-facebook/kbgplcfihfeioiaddclapccnefggiddn,22,14959,38.09KiB,1.0.1,"July 22, 2016",98,4.04081632653,Facebook,,False,Chrome,facebook
facemoji - Stickers and emoji for Facebook,https://chrome.google.com/webstore/detail/facemoji-stickers-and-emo/pmmeolboeidmfiiingaoifjhjdkgmlgj,23,183891,291KiB,2.4.19,"September 29, 2016",5835,4.35972579263,facemoji.com,http://facemoji.com,False,Chrome,facebook
BlackBook - Black Facebook™ Theme 2016,https://chrome.google.com/webstore/detail/blackbook-black-facebook/okpcdcghabcmbmiebocochplpfmhmcop,24,10371,75.07KiB,2016.10.28.0,"October 28, 2016",181,4.17127071823,addtochrome.com,http://addtochrome.com,False,Chrome,facebook
"Mogicons FREE! Secret Emoticon, Smiley, Emoji",https://chrome.google.com/webstore/detail/mogicons-free-secret-emot/injmgiaajomkfnamlkpdgngkmobckllp,25,15368,381KiB,2016.10.25.2,"October 30, 2016",275,4.61818181818,fbleadapp.com,http://fbleadapp.com,False,Chrome,facebook
Classic for Facebook,https://chrome.google.com/webstore/detail/classic-for-facebook/ffdodpcdalagnkbkojidmmcehlnhniad,26,26597,386KiB,2.32.10,"April 12, 2017",472,3.68855932203,classicforfacebook.com,http://classicforfacebook.com,False,Chrome,facebook
Best Simple Facebook Notifications,https://chrome.google.com/webstore/detail/best-simple-facebook-noti/meofonckdkomjeigbnlkgbfmcjfoboem,27,10482,88.59KiB,3.2,"November 28, 2016",96,4.19791666667,hozhan,,False,Chrome,facebook
