addon_name,addon_url,search_rank,search_term,platform
Better Facebook for Chrome + Color Changer,https://chrome.google.com/webstore/detail/better-facebook-for-chrom/opnfbjkeinmnibcpmlpjacekjaldnjmj,1,facebook,Chrome
Photo Zoom for Facebook,https://chrome.google.com/webstore/detail/photo-zoom-for-facebook/elioihkkcdgakfbahdoddophfngopipi,2,facebook,Chrome
Save to Facebook,https://chrome.google.com/webstore/detail/save-to-facebook/jmfikkaogpplgnfjmbjdpalkhclendgd,3,facebook,Chrome
Toolkit For Facebook,https://chrome.google.com/webstore/detail/toolkit-for-facebook/fcachklhcihfinmagjnlomehfdhndhep,4,facebook,Chrome
Facebook Pixel Helper,https://chrome.google.com/webstore/detail/facebook-pixel-helper/fdgfkebogiimcoedlicjlajpkdmockpc,5,facebook,Chrome
Invite All (for Facebook),https://chrome.google.com/webstore/detail/invite-all-for-facebook/eopekjehpibhfpjjcokfmhcaeiclddih,6,facebook,Chrome
Buffer,https://chrome.google.com/webstore/detail/buffer/noojglkidnpfjbincgijbaiedldjfbhh,7,facebook,Chrome
DarkBook - Dark Facebook™ Theme 2016,https://chrome.google.com/webstore/detail/darkbook-dark-facebook-th/mkgkcincjmmlkjhnikgmegnaafcepmon,8,facebook,Chrome
"QCLean:Remove Facebook Ad,Suggested Page&Post",https://chrome.google.com/webstore/detail/qcleanremove-facebook-ads/fdhhejjkjfjkchkimomgfegnpapndjne,9,facebook,Chrome
Adblock for Facebook™,https://chrome.google.com/webstore/detail/adblock-for-facebook/jbfjodonncabnangfknilmabjfofdikc,10,facebook,Chrome
(for Facebook™) Group Invite All Friends 2016,https://chrome.google.com/webstore/detail/for-facebook-group-invite/pmdbndicjpnflcfplddgonljmhcmfncj,11,facebook,Chrome
Social Fixer for Facebook,https://chrome.google.com/webstore/detail/social-fixer-for-facebook/ifmhoabcaeehkljcfclfiieohkohdgbb,12,facebook,Chrome
SMS from Gmail ™ & Facebook™ (MightyText),https://chrome.google.com/webstore/detail/sms-from-gmail-facebook-m/iffdacemhfpnchinokehhnppllonacfj,13,facebook,Chrome
Awesome Facebook Video Downloader,https://chrome.google.com/webstore/detail/awesome-facebook-video-do/kmminjooemmhhbpkbfmjhknffplmjkfi,14,facebook,Chrome
AdBlockPro - Adblocker for Facebook & Youtube,https://chrome.google.com/webstore/detail/adblockpro-adblocker-for/ogdcomcbjdlgppjnfkehfdblagaamebp,15,facebook,Chrome
Photo download for Facebook,https://chrome.google.com/webstore/detail/photo-download-for-facebo/oaeofonahpollpigknepbpnabhgbpcjc,16,facebook,Chrome
