addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
NewsHub,https://chrome.google.com/webstore/detail/newshub/jnoejnlbkbnckikbkmnpippafneemknp,1,60865,361KiB,3.3,"June 12, 2015",130,4.61538461538,newshub.org,http://newshub.org,False,Chrome,news
News Feed Eradicator for Facebook,https://chrome.google.com/webstore/detail/news-feed-eradicator-for/fjcldmjmjhkklehbacihaiopjklihlgg,2,106363,352KiB,1.0.4,"December 9, 2016",703,4.57752489331,JDev,http://news-feed-eradicator.west.io/,False,Chrome,news
Fox News,https://chrome.google.com/webstore/detail/fox-news/pamidlfalnpbkhdhbbepaibgehibgmna,3,58672,164KiB,2.4.4,"August 27, 2013",270,3.8037037037,www.foxnews.com,http://www.foxnews.com,False,Chrome,news
Solar Energy News,https://chrome.google.com/webstore/detail/solar-energy-news/gjmlmdpjbllmjgmlnbgfndakgmmfpgao,4,48753,139KiB,1.4,"October 18, 2015",7,2.71428571429,https://www.australiansolarquotes.com.au,https://www.australiansolarquotes.com.au,False,Chrome,news
News Factory,https://chrome.google.com/webstore/detail/news-factory/djaoeafihpfaakkpdobmhedohgnmhpbp,5,43590,525KiB,2.4.0,"July 28, 2014",410,4.21219512195,extensionfactory.com,http://extensionfactory.com,False,Chrome,news
Easy Current News Access,https://chrome.google.com/webstore/detail/easy-current-news-access/mphkfonghicpijgpjajgicjjdoapkfhk,6,13400,17.35KiB,4.0,"December 8, 2016",15,4.4,easycurrentnewsaccess.com,http://easycurrentnewsaccess.com,False,Chrome,news
NewsPrompt: Personalized Daily News Summary,https://chrome.google.com/webstore/detail/newsprompt-personalized-d/gcajgpbafhkbkdpbaaipjoiajnangjhp,7,9625,818KiB,20.0.35,"April 25, 2017",79,4.84810126582,newsprompt.co,http://newsprompt.co,False,Chrome,news
"Panda | Hacker News, Dribbble, Designer News",https://chrome.google.com/webstore/detail/panda-hacker-news-dribbbl/jhiocdmmaannaccoofjfmjpbfkogmnap,8,22329,542KiB,4.0.9,"December 23, 2014",239,3.92050209205,www.usepanda.com,http://www.usepanda.com,False,Chrome,news
Hacker News Stack,https://chrome.google.com/webstore/detail/hacker-news-stack/jcdfcpjmfpbnimkdackbcmdgdpoeklio,9,16872,33.41KiB,0.6.1,"April 1, 2013",7,4.28571428571,rogeriopvl.com,http://rogeriopvl.com,False,Chrome,news
Panda 5 | News & Inspiration Dashboard,https://chrome.google.com/webstore/detail/panda-5-news-inspiration/haafibkemckmbknhfkiiniobjpgkebko,10,75111,3.66MiB,5.2.141,"April 20, 2017",325,4.04923076923,usepanda.com,http://usepanda.com,False,Chrome,news
Wii U Daily News,https://chrome.google.com/webstore/detail/wii-u-daily-news/cebkcnlhbjapdpofhcokcdhfgpehhajk,11,110100,798KiB,1.0.0,"March 26, 2014",16,2.3125,neverstill.com,http://neverstill.com,False,Chrome,news
News Alert,https://chrome.google.com/webstore/detail/news-alert/elgbgnpdbbojbkjaggpgdienhjlhgfpi,12,4069,16.5KiB,2.0,"October 20, 2016",7,4.57142857143,news-alert.co,http://news-alert.co,False,Chrome,news
GNews (news),https://chrome.google.com/webstore/detail/gnews-news/ebapnihcfgbllhdfmgbdblhfmbokjkka,13,11515,365KiB,1.2.0,"July 21, 2014",187,4.39037433155,extensionfactory.com,http://extensionfactory.com,False,Chrome,news
Good News,https://chrome.google.com/webstore/detail/good-news/ekcmgkhakdlcondlgmadpiogjnlggpne,14,4137,141KiB,2.0,"December 12, 2016",143,4.81818181818,MrSethT,,False,Chrome,news
Get Local News Now,https://chrome.google.com/webstore/detail/get-local-news-now/licalonpccnebmillfginpdojekmdnkk,15,3233,17.32KiB,3.0,"November 17, 2016",4,4.25,getlocalnewsnow.com,http://getlocalnewsnow.com,False,Chrome,news
Kill News Feed,https://chrome.google.com/webstore/detail/kill-news-feed/hjobfcedfgohjkaieocljfcppjbkglfd,16,50283,1.15MiB,1.1.1,"January 29, 2015",535,4.61682242991,Neal Wu,,False,Chrome,news
Neymar News,https://chrome.google.com/webstore/detail/neymar-news/nikkeebkcighfaplcdlkhhkjghklpfjg,17,7902,456KiB,1.0.2,"January 8, 2017",1,1.0,neymarvideo.press,http://neymarvideo.press,False,Chrome,news
CCTVNEWS News Reader,https://chrome.google.com/webstore/detail/cctvnews-news-reader/hbiiekkabkebfbhnoligkppmfdabeicj,18,1564,114KiB,1.1,"April 19, 2015",6,5.0,app,,False,Chrome,news
The Top Fives,https://chrome.google.com/webstore/detail/the-top-fives/eojeoeddgeaeahpmfabdfpfialkoplcb,19,122581,7.12KiB,1.2,"February 20, 2016",18,3.22222222222,thetopfives.net,http://thetopfives.net,False,Chrome,news
News Alert,https://chrome.google.com/webstore/detail/news-alert/efhhoiibdeocgcjiejefghogjngppboo,20,1808,17.3KiB,3.1,"November 16, 2016",2,4.0,news-alert.co,http://news-alert.co,False,Chrome,news
