addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,validated,platform,search_term
Kami - PDF and Document Markup,https://chrome.google.com/webstore/detail/kami-pdf-and-document-mar/ecnphlgnajanjnkcmbpancdjoidceilk,1,794734,11.65MiB,2.0.8721,"April 25, 2017",6113,4.6301325045,kamihq.com,http://kamihq.com,True,Chrome,pdf
PDF Viewer,https://chrome.google.com/webstore/detail/pdf-viewer/oemmndcbldboiebfnladdacbdfmadadm,2,794597,1.85MiB,1.6.293,"November 1, 2016",1199,4.03252710592,Rob W,https://github.com/mozilla/pdf.js/wiki/PDF-Viewer-%28Chrome-extension%29,True,Chrome,pdf
Adobe Acrobat,https://chrome.google.com/webstore/detail/adobe-acrobat/efaidnbmnnnibpcajpcglclefindmkaj,3,10000000,429KiB,15.1.0.6,"March 3, 2017",3697,3.08547470922,Adobe,https://acrobat.adobe.com/us/en/how-to/convert-html-to-pdf.html,True,Chrome,pdf
Save as PDF,https://chrome.google.com/webstore/detail/save-as-pdf/kpdjmbiefanbdgnkcikhllpmjnnllbbc,4,298472,58.88KiB,1.7,"November 20, 2012",1679,3.26682549136,pdfcrowd.com,http://pdfcrowd.com,True,Chrome,pdf
PDFescape Free PDF Editor,https://chrome.google.com/webstore/detail/pdfescape-free-pdf-editor/gdefoklganepljiopdnglodohlgfikkl,5,198375,14.17KiB,0.21,"June 12, 2013",626,3.18051118211,www.pdfescape.com,http://www.pdfescape.com,True,Chrome,pdf
Xodo PDF Viewer & Editor,https://chrome.google.com/webstore/detail/xodo-pdf-viewer-editor/ihgdgpjankaehldoaimdlekdidkjfghe,6,41167,15.07MiB,1.1.3,"April 4, 2017",91,3.38461538462,xodo.com/app,http://xodo.com/app,True,Chrome,pdf
"Mozilla PDF Viewer, Reader",https://chrome.google.com/webstore/detail/mozilla-pdf-viewer-reader/dgickihfkjolnjjifepinaaaoejmgpbm,7,22621,36.38KiB,0.9.1.4,"March 17, 2017",70,4.17142857143,,,True,Chrome,pdf
Document and Image Converter Toolbox,https://chrome.google.com/webstore/detail/document-and-image-conver/jpjkaekegnficmcdgicgdbnpnjiaeldi,8,26574,10.62KiB,4.0,"June 12, 2013",99,3.30303030303,sciweavers,http://www.sciweavers.org/,True,Chrome,pdf
Save emails to PDF,https://chrome.google.com/webstore/detail/save-emails-to-pdf/dngbhajancmfmdnmhhdknhooljkddgnk,9,47090,185KiB,1.1.0.5,"April 26, 2017",141,4.43262411348,cloudhq.net,http://cloudhq.net,True,Chrome,pdf
Convert PDF to Word - PDFfiller,https://chrome.google.com/webstore/detail/convert-pdf-to-word-pdffi/gclipekclncjckbhddbiocikflkdekkm,10,21609,65.9KiB,0.2.7,"February 28, 2017",62,3.01612903226,https://convert-pdf-to-word.pdffiller.com,https://convert-pdf-to-word.pdffiller.com,True,Chrome,pdf
Print Friendly & PDF,https://chrome.google.com/webstore/detail/print-friendly-pdf/ohlencieiipommannpdfcmfdpjjmeolj,11,505758,47.54KiB,2.3.1,"February 3, 2017",1361,4.34386480529,printfriendly.com,http://printfriendly.com,True,Chrome,pdf
FormSwift - PDF Editor,https://chrome.google.com/webstore/detail/formswift-pdf-editor/bdfcnmeidppjeaggnmidamkiddifkdib,12,28397,97.77KiB,0.63,"April 10, 2017",45,2.57777777778,formswift.com,http://formswift.com,True,Chrome,pdf
Soda PDF Online Services Plugin,https://chrome.google.com/webstore/detail/soda-pdf-online-services/jaddmaapanbhnddncggngbgmmcikmfkd,13,8450,69.23KiB,1.0.5.0,"January 15, 2015",19,3.36842105263,online.sodapdf.com,http://online.sodapdf.com,True,Chrome,pdf
PDFzorro - PDF Editor,https://chrome.google.com/webstore/detail/pdfzorro-pdf-editor/klihnfdjiglbiegpodnkhmpppbcmcmak,14,7970,62.2KiB,0.0.0.11,"September 2, 2016",66,3.4696969697,www.pdfzorro.com,http://www.pdfzorro.com,True,Chrome,pdf
Fill PDF Forms - PDFfiller,https://chrome.google.com/webstore/detail/fill-pdf-forms-pdffiller/cahojhpfpkijinkkegcppfggacgfbkge,15,11814,65.89KiB,0.2.7,"February 28, 2017",42,1.85714285714,https://fill-pdf.pdffiller.com,https://fill-pdf.pdffiller.com,True,Chrome,pdf
PDF Converter Start,https://chrome.google.com/webstore/detail/pdf-converter-start/inghdmoifpjbpncjncmdijhomegmeiod,16,24920,408KiB,1.0.4,"March 25, 2015",36,3.02777777778,www.softorama.com,http://www.softorama.com,True,Chrome,pdf
Online PDF Editor - PDFfiller,https://chrome.google.com/webstore/detail/online-pdf-editor-pdffill/cgadcflckcohcodeendfedcmcemhilia,17,9554,65.9KiB,0.2.7,"February 28, 2017",28,2.03571428571,https://pdf-editor.pdffiller.com,https://pdf-editor.pdffiller.com,True,Chrome,pdf
Convert To PDF Now,https://chrome.google.com/webstore/detail/convert-to-pdf-now/befkdeakefjgmmfibeipimgjacnnpkgg,18,15036,748KiB,1.0.4,"April 24, 2017",0,0.0,www.converttopdfnow.com,http://www.converttopdfnow.com,True,Chrome,pdf
iWeb2x - URL to PDF & Image,https://chrome.google.com/webstore/detail/iweb2x-url-to-pdf-image/mhabjpofjblpelkgmllkpcnlhgjpebko,19,15698,106KiB,3.0,"June 13, 2013",207,3.21739130435,www.sciweavers.org,http://www.sciweavers.org,True,Chrome,pdf
Convert To PDF Now,https://chrome.google.com/webstore/detail/convert-to-pdf-now/nbhcfeigcmlnenokhghiheigchngiefc,20,13080,748KiB,1.0.2,"April 5, 2017",2,3.0,www.converttopdfnow.com,http://www.converttopdfnow.com,True,Chrome,pdf
"PDFfiller: Edit, Fill, Sign any PDF document",https://chrome.google.com/webstore/detail/pdffiller-edit-fill-sign/gphandlahdpffmccakmbngmbjnjiiahp,21,33882,66.73KiB,0.2.8,"July 26, 2016",153,2.98692810458,pdffiller.com,http://pdffiller.com,True,Chrome,pdf
SignNow - Sign and Fill PDF & Word Documents,https://chrome.google.com/webstore/detail/signnow-sign-and-fill-pdf/nlaealbpbmpioeidemdfedkfmglobidl,22,10806,63.56KiB,3.0,"November 30, 2012",67,3.73134328358,SignNow,https://signnow.com,True,Chrome,pdf
Edit PDF Documents - PDFfiller,https://chrome.google.com/webstore/detail/edit-pdf-documents-pdffil/nanapgdhdbkckgoonnmgkemmnhefniek,23,6897,65.89KiB,0.2.7,"February 28, 2017",20,2.6,https://edit-pdf.pdffiller.com,https://edit-pdf.pdffiller.com,True,Chrome,pdf
Convert PDF to Word,https://chrome.google.com/webstore/detail/convert-pdf-to-word/khmodedhkcmcojfnacpkmlbmoopgmglb,24,2599,389KiB,0.2.7,"March 22, 2017",25,3.84,freepdfconversion.com,http://freepdfconversion.com,True,Chrome,pdf
Convert PDF to Fillable - PDFfiller,https://chrome.google.com/webstore/detail/convert-pdf-to-fillable-p/bjfjkiealedmbiiiolnlbjifaehpgecd,25,3647,65.89KiB,0.2.7,"February 28, 2017",20,3.3,https://convert-pdf-to-fillable-form.pdffiller.com,https://convert-pdf-to-fillable-form.pdffiller.com,True,Chrome,pdf
Convert PDF to Powerpoint - PDFfiller,https://chrome.google.com/webstore/detail/convert-pdf-to-powerpoint/nknpdkegniedaplnefmjdjhpkjeajemf,26,3179,65.9KiB,0.2.6,"July 11, 2016",19,3.94736842105,www.pdffiller.com,http://www.pdffiller.com,True,Chrome,pdf
PDF editor online,https://chrome.google.com/webstore/detail/pdf-editor-online/njbdnibcpdbppaidpkopicbkgnbnkkhi,27,3452,306KiB,1.0.2,"January 22, 2017",8,3.5,www.offidocs.com,http://www.offidocs.com,True,Chrome,pdf
Image to PDF - dearprint,https://chrome.google.com/webstore/detail/image-to-pdf-dearprint/fkcddcfdmiebmhabfipjlnkkeokdlbom,28,2019,7.4MiB,0.0.4.0,"November 3, 2015",17,3.70588235294,,,True,Chrome,pdf
Make PDF Forms Fillable - PDFfiller,https://chrome.google.com/webstore/detail/make-pdf-forms-fillable-p/bkjaaejabchcconllmihdmadepioldlm,29,2824,65.9KiB,0.2.7,"February 28, 2017",5,2.6,https://fillable-pdf.pdffiller.com,https://fillable-pdf.pdffiller.com,True,Chrome,pdf
Convert To PDF Now,https://chrome.google.com/webstore/detail/convert-to-pdf-now/ccnhmcdlpmfgckkklbagfnhbfgknpbck,30,4905,743KiB,1.2.0,"February 28, 2017",1,2.0,www.converttopdfnow.com,http://www.converttopdfnow.com,True,Chrome,pdf
Nuance PDF Create,https://chrome.google.com/webstore/detail/nuance-pdf-create/ebkbgkjhepceaoccefbchcencgmggpci,31,1862,38.68KiB,1.0.0.4,"September 20, 2016",7,3.85714285714,"Nuance Communications, Inc.",http://www.nuance.com/powerpdf,True,Chrome,pdf
Write On PDF Documents - PDFfiller,https://chrome.google.com/webstore/detail/write-on-pdf-documents-pd/nekpbihglnapolbhgdeldjgagcjegmab,32,2257,65.9KiB,0.2.7,"February 28, 2017",11,3.09090909091,https://write-on-pdf.pdffiller.com,https://write-on-pdf.pdffiller.com,True,Chrome,pdf
Word to PDF Converter,https://chrome.google.com/webstore/detail/word-to-pdf-converter/ngcdedagijmjiaoihedckijmghblhgal,33,4457,7.22KiB,0.0.0.3,"March 7, 2017",14,3.71428571429,search.rspark.com,http://search.rspark.com,True,Chrome,pdf
Convert PDF to Excel - PDFfiller,https://chrome.google.com/webstore/detail/convert-pdf-to-excel-pdff/mdofffilpnhpglblegkakoeofjebmppm,34,2066,65.9KiB,0.2.7,"February 28, 2017",14,3.35714285714,https://convert-pdf-excel.pdffiller.com,https://convert-pdf-excel.pdffiller.com,True,Chrome,pdf
Take Webpage Screenshots Entirely - FireShot,https://chrome.google.com/webstore/detail/take-webpage-screenshots/mcbpblocgmgfnpjjppndjkmgjaogfceg,35,1316166,2.72MiB,0.98.91,"November 23, 2016",17411,4.70329102292,screenshot-program.com,http://screenshot-program.com,True,Chrome,pdf
ParrotTalks抄筆記,https://chrome.google.com/webstore/detail/parrottalks%E6%8A%84%E7%AD%86%E8%A8%98/kkodiihpgodmdankclfibbiphjkfdenh,36,62232,1.98MiB,1.14.12,"April 13, 2017",283,4.55123674912,https://parrottalks.com,https://parrottalks.com,True,Chrome,pdf
PDF Mage,https://chrome.google.com/webstore/detail/pdf-mage/gknphemhpcknkhegndlihchfonpdcben,37,3402,28.39KiB,1.3,"March 28, 2016",45,4.53333333333,www.pdfmage.org,http://www.pdfmage.org,True,Chrome,pdf
PDF to JPG Converter,https://chrome.google.com/webstore/detail/pdf-to-jpg-converter/dkmiiopgdgoencflajlbmplbleoafdmd,38,2581,7.44KiB,0.0.0.5,"April 23, 2017",8,4.375,search.rspark.com,http://search.rspark.com,True,Chrome,pdf
Convert That PDF,https://chrome.google.com/webstore/detail/convert-that-pdf/eiikolbbafmbldhmifkjbllpmhbiknho,39,5954,20.15KiB,4.0,"February 2, 2017",1,1.0,convertthatpdf.com,http://convertthatpdf.com,True,Chrome,pdf
Merge Multiple PDF - PDFfiller,https://chrome.google.com/webstore/detail/merge-multiple-pdf-pdffil/kgoklmaigiceecjmgfadmeajepplgcbk,40,1417,65.9KiB,0.2.7,"February 21, 2017",9,2.55555555556,https://merge-pdf-online.pdffiller.com,https://merge-pdf-online.pdffiller.com,True,Chrome,pdf
Online PDF Creator - PDFfiller,https://chrome.google.com/webstore/detail/online-pdf-creator-pdffil/pdbohpkjneaoobpjffpjpoifipiekgif,41,1112,65.91KiB,0.2.6,"July 11, 2016",2,5.0,www.pdffiller.com,http://www.pdffiller.com,True,Chrome,pdf
Hypothesis - Web & PDF Annotation,https://chrome.google.com/webstore/detail/hypothesis-web-pdf-annota/bjfhmglciegochdpefhhlphglcehbmek,42,64949,4.15MiB,1.14.0.0 (Official Build),"April 24, 2017",83,4.20481927711,hypothes.is,http://hypothes.is,True,Chrome,pdf
Free PDF Converter,https://chrome.google.com/webstore/detail/free-pdf-converter/ojabiaockbbafkopogcmjnpdponpophb,43,8224,20.16KiB,2.0,"January 26, 2017",7,3.85714285714,freepdfconverter.co,http://freepdfconverter.co,True,Chrome,pdf
Convert To PDF Now,https://chrome.google.com/webstore/detail/convert-to-pdf-now/jafmombbhklnagadfbfplohhgljimdjg,44,1960,18.02KiB,1.0.0,"April 27, 2017",0,0.0,www.converttopdfnow.com,http://www.converttopdfnow.com,True,Chrome,pdf
