addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
Co:Writer Universal (Extension),https://chrome.google.com/webstore/detail/cowriter-universal-extens/ifajfiofeifbbhbionejdliodenmecna,1,865533,13.56MiB,2.1.5,"March 31, 2017",73,3.08219178082,cowriter.com,http://cowriter.com,False,Chrome,word
Convert PDF to Word - PDFfiller,https://chrome.google.com/webstore/detail/convert-pdf-to-word-pdffi/gclipekclncjckbhddbiocikflkdekkm,2,21593,65.9KiB,0.2.7,"February 28, 2017",62,3.01612903226,https://convert-pdf-to-word.pdffiller.com,https://convert-pdf-to-word.pdffiller.com,False,Chrome,word
Word Replacer II,https://chrome.google.com/webstore/detail/word-replacer-ii/djakfbefalbkkdgnhkkdiihelkjdpbfh,3,35867,88.82KiB,2.0.10,"January 17, 2016",201,3.92537313433,www.fieropa.com,http://www.fieropa.com,False,Chrome,word
English dictionary translate pronunciation,https://chrome.google.com/webstore/detail/english-dictionary-transl/neomigpibafpboiknmijddgnncengfnm,4,37757,226KiB,3.3.8,"April 16, 2017",1450,4.75172413793,https://ziteboard.com,https://ziteboard.com,False,Chrome,word
Word Document Editor,https://chrome.google.com/webstore/detail/word-document-editor/bpdjlkbbhlnjlggpbofheohnomnibmmm,5,9150,524KiB,1.6.7,"January 27, 2017",36,3.02777777778,offidocs.com,http://offidocs.com,False,Chrome,word
IntoWords,https://chrome.google.com/webstore/detail/intowords/nfphpgdlkoindbccbdmilopgeafllemo,6,137883,735KiB,2.4.10,"April 24, 2017",84,3.03571428571,MV-Nordic,,False,Chrome,word
Word Count Tool,https://chrome.google.com/webstore/detail/word-count-tool/ibjgdahgcdkpdlbkadidojhfddflblcm,7,23188,8.48KiB,2.3,"September 24, 2016",74,3.60810810811,https://www.wordcounttools.com,https://www.wordcounttools.com,False,Chrome,word
Save Webpage As Word Document,https://chrome.google.com/webstore/detail/save-webpage-as-word-docu/mcebgdgbcbdkgdljffnkkbekldnidbmn,8,12965,152KiB,0.1.4,"June 11, 2016",70,3.77142857143,chromeappsfactory.com,http://chromeappsfactory.com,False,Chrome,word
Zhongwen: Chinese-English Dictionary,https://chrome.google.com/webstore/detail/zhongwen-chinese-english/kkmlkkjojmombglmlpbpapmhcaljjkde,9,64953,4.74MiB,4.8,"February 25, 2017",565,4.61946902655,zhongwen-chrome.blogspot.com,http://zhongwen-chrome.blogspot.com,False,Chrome,word
Word Count,https://chrome.google.com/webstore/detail/word-count/pnngehidikgomgfjbpffonkeimgbpjlh,10,13585,38.83KiB,1.2,"February 3, 2013",67,3.34328358209,Peter Organisciak,,False,Chrome,word
Sprint Reader - Speed Reading Extension,https://chrome.google.com/webstore/detail/sprint-reader-speed-readi/kejhpkmainjkpiablnfdppneidnkhdif,11,40662,1.29MiB,2.4,"December 4, 2016",187,4.34759358289,Anthony Nosek,https://www.facebook.com/SprintReader,False,Chrome,word
Convert PDF to Word,https://chrome.google.com/webstore/detail/convert-pdf-to-word/khmodedhkcmcojfnacpkmlbmoopgmglb,12,2641,389KiB,0.2.7,"March 22, 2017",25,3.84,freepdfconversion.com,http://freepdfconversion.com,False,Chrome,word
Word Cloud Website Preview,https://chrome.google.com/webstore/detail/word-cloud-website-previe/lhejmjlfgemcmjkmkicnlgefomepcdeh,13,9736,198KiB,1.0.3,"April 22, 2014",7,3.85714285714,wips.com,http://wips.com,False,Chrome,word
Word Counter Plus,https://chrome.google.com/webstore/detail/word-counter-plus/fpjegfbcdijjfkceenlfoehpcakfgldj,14,6894,4.45KiB,1.2,"July 27, 2016",22,4.77272727273,Steven Roberts,,False,Chrome,word
Vocabla: translate English words,https://chrome.google.com/webstore/detail/vocabla-translate-english/bchnamjcpocgphheheekmchilaabjdnb,15,21810,88.15KiB,2.2.2,"July 7, 2016",142,4.01408450704,vocabla.com,http://vocabla.com,False,Chrome,word
efTwo (F2) - Advanced Find on Page,https://chrome.google.com/webstore/detail/eftwo-f2-advanced-find-on/ccaikggmppdolhcehimngikgiafmdcep,16,9637,130KiB,1.4,"January 28, 2013",281,2.65480427046,teamleadnet.com,http://teamleadnet.com,False,Chrome,word
Ultra accurate word counter,https://chrome.google.com/webstore/detail/ultra-accurate-word-count/mbmhgaphnlmpnpelgpogfpapaijmkeob,17,1476,10.28KiB,1.0,"May 11, 2015",15,3.26666666667,Ultralab Apps,,False,Chrome,word
Word Translator,https://chrome.google.com/webstore/detail/word-translator/mdgdbmohcdjfbglkepkiaabaieenhhhc,18,6605,31.12KiB,1.0.62,"April 15, 2015",58,4.39655172414,The PIE Project,https://sites.google.com/site/phoneticallyintuitiveenglish/,False,Chrome,word
Word Search Puzzle,https://chrome.google.com/webstore/detail/word-search-puzzle/mdbofnnidoaobeabofcldmfbmnphbddp,19,1167,479KiB,0.1.0,"December 12, 2016",1,4.0,Jorvi,http://mybrowseraddon.com/word-search.html,False,Chrome,word
Urban Dictionary Search,https://chrome.google.com/webstore/detail/urban-dictionary-search/ajppomgedpkjjilnlilobnedhapkiolk,20,15871,42.02KiB,1.3,"September 14, 2015",43,4.04651162791,Vivek Pradhan,,False,Chrome,word
Vocablurry,https://chrome.google.com/webstore/detail/vocablurry/hbialmdljefigakgeolegkelcohapncl,21,3732,1.03MiB,2.0.0.5,"October 14, 2016",24,4.625,vocablurry.com,http://vocablurry.com,False,Chrome,word
Word Of The Day!,https://chrome.google.com/webstore/detail/word-of-the-day/kloedcdpipobfmidkoafhmmmlpfjjehl,22,2338,77.15KiB,1.5.1,"September 4, 2014",11,3.54545454545,Troy Sultan,,False,Chrome,word
Words Blocker,https://chrome.google.com/webstore/detail/words-blocker/edbkilncliecedoneekflmadicbhjgop,23,1820,95.05KiB,1.1.9,"April 10, 2015",24,3.70833333333,darkside,,False,Chrome,word
Oh My Word!,https://chrome.google.com/webstore/detail/oh-my-word/ehcalenbnkfmddlonpfaoacalanaiide,24,708,235KiB,1.2.5,"July 25, 2016",12,4.08333333333,ohmyword.xyz,http://ohmyword.xyz,False,Chrome,word
Words Discoverer: Expand your vocabulary,https://chrome.google.com/webstore/detail/words-discoverer-expand-y/noncaeikjgpbdeoocblijjgegnobogib,25,556,633KiB,2.9.0.2,"April 26, 2017",10,5.0,aided reading,https://github.com/mechatroner/aided_reading,False,Chrome,word
Word Cloud Generator,https://chrome.google.com/webstore/detail/word-cloud-generator/demclmhdcbofendohdngkfokmbcgickb,26,2082,146KiB,0.2.4,"November 20, 2016",0,0.0,practechal,https://bitbucket.org/practechal/word-cloud-generator,False,Chrome,word
Scrabble Word Finder,https://chrome.google.com/webstore/detail/scrabble-word-finder/nbgnanlgalpmpipmnmocokjdgaocdace,27,2645,8.65KiB,1.0.1,"September 1, 2014",12,4.75,scrabblewordfinder.org,http://scrabblewordfinder.org,False,Chrome,word
