addon_name,addon_url,search_rank,search_term,platform
Co:Writer Universal (Extension),https://chrome.google.com/webstore/detail/cowriter-universal-extens/ifajfiofeifbbhbionejdliodenmecna,1,word,Chrome
Convert PDF to Word - PDFfiller,https://chrome.google.com/webstore/detail/convert-pdf-to-word-pdffi/gclipekclncjckbhddbiocikflkdekkm,2,word,Chrome
Word Replacer II,https://chrome.google.com/webstore/detail/word-replacer-ii/djakfbefalbkkdgnhkkdiihelkjdpbfh,3,word,Chrome
English dictionary translate pronunciation,https://chrome.google.com/webstore/detail/english-dictionary-transl/neomigpibafpboiknmijddgnncengfnm,4,word,Chrome
Word Document Editor,https://chrome.google.com/webstore/detail/word-document-editor/bpdjlkbbhlnjlggpbofheohnomnibmmm,5,word,Chrome
IntoWords,https://chrome.google.com/webstore/detail/intowords/nfphpgdlkoindbccbdmilopgeafllemo,6,word,Chrome
Word Count Tool,https://chrome.google.com/webstore/detail/word-count-tool/ibjgdahgcdkpdlbkadidojhfddflblcm,7,word,Chrome
Save Webpage As Word Document,https://chrome.google.com/webstore/detail/save-webpage-as-word-docu/mcebgdgbcbdkgdljffnkkbekldnidbmn,8,word,Chrome
Zhongwen: Chinese-English Dictionary,https://chrome.google.com/webstore/detail/zhongwen-chinese-english/kkmlkkjojmombglmlpbpapmhcaljjkde,9,word,Chrome
Word Count,https://chrome.google.com/webstore/detail/word-count/pnngehidikgomgfjbpffonkeimgbpjlh,10,word,Chrome
Sprint Reader - Speed Reading Extension,https://chrome.google.com/webstore/detail/sprint-reader-speed-readi/kejhpkmainjkpiablnfdppneidnkhdif,11,word,Chrome
Convert PDF to Word,https://chrome.google.com/webstore/detail/convert-pdf-to-word/khmodedhkcmcojfnacpkmlbmoopgmglb,12,word,Chrome
Word Cloud Website Preview,https://chrome.google.com/webstore/detail/word-cloud-website-previe/lhejmjlfgemcmjkmkicnlgefomepcdeh,13,word,Chrome
Word Counter Plus,https://chrome.google.com/webstore/detail/word-counter-plus/fpjegfbcdijjfkceenlfoehpcakfgldj,14,word,Chrome
Vocabla: translate English words,https://chrome.google.com/webstore/detail/vocabla-translate-english/bchnamjcpocgphheheekmchilaabjdnb,15,word,Chrome
efTwo (F2) - Advanced Find on Page,https://chrome.google.com/webstore/detail/eftwo-f2-advanced-find-on/ccaikggmppdolhcehimngikgiafmdcep,16,word,Chrome
Ultra accurate word counter,https://chrome.google.com/webstore/detail/ultra-accurate-word-count/mbmhgaphnlmpnpelgpogfpapaijmkeob,17,word,Chrome
Word Translator,https://chrome.google.com/webstore/detail/word-translator/mdgdbmohcdjfbglkepkiaabaieenhhhc,18,word,Chrome
Word Search Puzzle,https://chrome.google.com/webstore/detail/word-search-puzzle/mdbofnnidoaobeabofcldmfbmnphbddp,19,word,Chrome
Urban Dictionary Search,https://chrome.google.com/webstore/detail/urban-dictionary-search/ajppomgedpkjjilnlilobnedhapkiolk,20,word,Chrome
Vocablurry,https://chrome.google.com/webstore/detail/vocablurry/hbialmdljefigakgeolegkelcohapncl,21,word,Chrome
Word Of The Day!,https://chrome.google.com/webstore/detail/word-of-the-day/kloedcdpipobfmidkoafhmmmlpfjjehl,22,word,Chrome
Words Blocker,https://chrome.google.com/webstore/detail/words-blocker/edbkilncliecedoneekflmadicbhjgop,23,word,Chrome
Oh My Word!,https://chrome.google.com/webstore/detail/oh-my-word/ehcalenbnkfmddlonpfaoacalanaiide,24,word,Chrome
Words Discoverer: Expand your vocabulary,https://chrome.google.com/webstore/detail/words-discoverer-expand-y/noncaeikjgpbdeoocblijjgegnobogib,25,word,Chrome
Word Cloud Generator,https://chrome.google.com/webstore/detail/word-cloud-generator/demclmhdcbofendohdngkfokmbcgickb,26,word,Chrome
Scrabble Word Finder,https://chrome.google.com/webstore/detail/scrabble-word-finder/nbgnanlgalpmpipmnmocokjdgaocdace,27,word,Chrome
words.,https://chrome.google.com/webstore/detail/words/eaabheapbodnjapjjhmgdkkgppadjgnf,28,word,Chrome
Word Domination,https://chrome.google.com/webstore/detail/word-domination/cjkaigdoiecbhjfmnnmfigaocoigcpnh,29,word,Chrome
Word to PDF Converter,https://chrome.google.com/webstore/detail/word-to-pdf-converter/ngcdedagijmjiaoihedckijmghblhgal,30,word,Chrome
SignNow - Sign and Fill PDF & Word Documents,https://chrome.google.com/webstore/detail/signnow-sign-and-fill-pdf/nlaealbpbmpioeidemdfedkfmglobidl,31,word,Chrome
Read,https://chrome.google.com/webstore/detail/read/aiijjeoekhpdpfcnejiganpaaacdodko,32,word,Chrome
