addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
Adblock for Youtube™,https://chrome.google.com/webstore/detail/adblock-for-youtube/cmedhionkhpnakcndndgjdbohmhepckk,1,4554822,648KiB,4.2.3,"April 18, 2017",29210,4.36874358097,Better Adblock,,False,Chrome,youtube
Magic Actions for YouTube™,https://chrome.google.com/webstore/detail/magic-actions-for-youtube/abjcfabbhafbcdfjoecdgepllmpfceif,2,2962366,468KiB,6.9.4.7,"April 29, 2017",112891,4.82539795024,www.chromeactions.com,http://www.chromeactions.com,False,Chrome,youtube
vidIQ Vision for YouTube,https://chrome.google.com/webstore/detail/vidiq-vision-for-youtube/pachckjkecffpdphbpmfolblodfkgbhl,3,452266,2.07MiB,2.19.14,"April 27, 2017",2604,4.5188172043,vidiq.com,http://vidiq.com,False,Chrome,youtube
Auto Replay for YouTube™,https://chrome.google.com/webstore/detail/auto-replay-for-youtube/kanbnempkjnhadplbfgdaagijdbdbjeb,4,330849,112KiB,1.9.41,"December 14, 2016",2444,4.62111292962,Sridhar PG,,False,Chrome,youtube
Looper for YouTube,https://chrome.google.com/webstore/detail/looper-for-youtube/iggpfpnahkgpnindfkdncknoldgnccdg,5,283063,91.17KiB,5.14.1,"April 7, 2017",2427,4.79316028018,alvinhkh.com,http://alvinhkh.com,False,Chrome,youtube
Turn Off the Lights,https://chrome.google.com/webstore/detail/turn-off-the-lights/bfbmjmiodbnnpllbbbfblcplfjjepjdn,6,1690197,1.52MiB,3.4.13.0,"May 1, 2017",27782,4.64027067886,https://www.turnoffthelights.com,https://www.turnoffthelights.com,False,Chrome,youtube
ImprovedTube - YouTube Extension,https://chrome.google.com/webstore/detail/improvedtube-youtube-exte/bnomihfieiccainjcjblhegjgglakjdd,7,187150,227KiB,0.7.102,"April 4, 2017",1408,4.45241477273,improvedtube.com,http://improvedtube.com,False,Chrome,youtube
SmartVideo For YouTube™,https://chrome.google.com/webstore/detail/smartvideo-for-youtube/lnkdbjbjpnpjeciipoaflmpcddinpjjp,8,295574,181KiB,0.9931,"June 3, 2014",2471,3.65398624039,www.smarter.yt,http://www.smarter.yt,False,Chrome,youtube
YouTube Flash Video Player,https://chrome.google.com/webstore/detail/youtube-flash-video-playe/fldkdmkgnlbehfgeifjpjabmandnchpe,9,147082,79.33KiB,57.0,"April 13, 2017",302,4.14238410596,barisderin.com,http://barisderin.com,False,Chrome,youtube
Ratings Preview for YouTube™,https://chrome.google.com/webstore/detail/ratings-preview-for-youtu/cgbhdenfmgbagncdmgbholejjpmmiank,10,116668,52.13KiB,4.1.3,"December 31, 2015",4504,4.72357904085,ratingspreview.com,http://ratingspreview.com,False,Chrome,youtube
Enhancer for YouTube™,https://chrome.google.com/webstore/detail/enhancer-for-youtube/ponfpcnoihfmfllpaingbgckeeldkhle,11,137420,568KiB,2.0.19.7,"April 27, 2017",2348,4.72189097104,Maxime RF,https://www.mrfdev.com/enhancer-for-youtube,False,Chrome,youtube
Video Adblock Plus for Youtube ™ Extension,https://chrome.google.com/webstore/detail/video-adblock-plus-for-yo/hflefjhkfeiaignkclmphmokmmbhbhik,12,59624,256KiB,1.5.7,"April 27, 2017",400,4.0475,Adblock Dev,,False,Chrome,youtube
DF YouTube (Distraction Free),https://chrome.google.com/webstore/detail/df-youtube-distraction-fr/mjdepdfccjgcndkmemponafgioodelna,13,76687,75.77KiB,1.11.106,"April 6, 2017",149,4.44966442953,calkuta,,False,Chrome,youtube
HD for YouTube™,https://chrome.google.com/webstore/detail/hd-for-youtube/akjbfncbadcmnkopckegnmjgihagponf,14,421580,145KiB,2.0,"November 17, 2015",4671,4.45621922501,youtubehd.oneted.de,http://youtubehd.oneted.de,False,Chrome,youtube
Heartbeat,https://chrome.google.com/webstore/detail/heartbeat/aailiojlhjbichheofhdpcongebcgcgm,15,130443,1.08MiB,1.98.5,"January 24, 2017",1431,4.22990915444,heartbeat.tm,http://heartbeat.tm,False,Chrome,youtube
YouTube AdBlock,https://chrome.google.com/webstore/detail/youtube-adblock/aokhhndenibcdahoebffehcikeidpfhn,16,54971,37.75KiB,2.0.2,"April 7, 2016",209,4.27751196172,YouTube Fun Tools,,False,Chrome,youtube
Disable Youtube™ HTML5 Player,https://chrome.google.com/webstore/detail/disable-youtube-html5-pla/enmofgaijnbjpblfljopnpdogpldapoc,17,326840,40.39KiB,1.1,"August 28, 2014",1903,4.3809774041,whatever-will-be-que-sera-sera.tumblr.com,http://whatever-will-be-que-sera-sera.tumblr.com,False,Chrome,youtube
Switch to Flash® Player for YouTube™,https://chrome.google.com/webstore/detail/switch-to-flash%C2%AE-player-f/ibobiggeplcacanpackkgnikelndfjpo,18,59734,33.52KiB,0.1.1,"June 19, 2016",92,3.88043478261,Grephy,http://eccorem.com/apps/youtube-all-flash.html,False,Chrome,youtube
