addon_name,addon_url,search_rank,search_term,platform
Adblock for Youtube™,https://chrome.google.com/webstore/detail/adblock-for-youtube/cmedhionkhpnakcndndgjdbohmhepckk,1,youtube,Chrome
Magic Actions for YouTube™,https://chrome.google.com/webstore/detail/magic-actions-for-youtube/abjcfabbhafbcdfjoecdgepllmpfceif,2,youtube,Chrome
vidIQ Vision for YouTube,https://chrome.google.com/webstore/detail/vidiq-vision-for-youtube/pachckjkecffpdphbpmfolblodfkgbhl,3,youtube,Chrome
Auto Replay for YouTube™,https://chrome.google.com/webstore/detail/auto-replay-for-youtube/kanbnempkjnhadplbfgdaagijdbdbjeb,4,youtube,Chrome
Looper for YouTube,https://chrome.google.com/webstore/detail/looper-for-youtube/iggpfpnahkgpnindfkdncknoldgnccdg,5,youtube,Chrome
Turn Off the Lights,https://chrome.google.com/webstore/detail/turn-off-the-lights/bfbmjmiodbnnpllbbbfblcplfjjepjdn,6,youtube,Chrome
ImprovedTube - YouTube Extension,https://chrome.google.com/webstore/detail/improvedtube-youtube-exte/bnomihfieiccainjcjblhegjgglakjdd,7,youtube,Chrome
SmartVideo For YouTube™,https://chrome.google.com/webstore/detail/smartvideo-for-youtube/lnkdbjbjpnpjeciipoaflmpcddinpjjp,8,youtube,Chrome
YouTube Flash Video Player,https://chrome.google.com/webstore/detail/youtube-flash-video-playe/fldkdmkgnlbehfgeifjpjabmandnchpe,9,youtube,Chrome
Ratings Preview for YouTube™,https://chrome.google.com/webstore/detail/ratings-preview-for-youtu/cgbhdenfmgbagncdmgbholejjpmmiank,10,youtube,Chrome
Enhancer for YouTube™,https://chrome.google.com/webstore/detail/enhancer-for-youtube/ponfpcnoihfmfllpaingbgckeeldkhle,11,youtube,Chrome
Video Adblock Plus for Youtube ™ Extension,https://chrome.google.com/webstore/detail/video-adblock-plus-for-yo/hflefjhkfeiaignkclmphmokmmbhbhik,12,youtube,Chrome
DF YouTube (Distraction Free),https://chrome.google.com/webstore/detail/df-youtube-distraction-fr/mjdepdfccjgcndkmemponafgioodelna,13,youtube,Chrome
HD for YouTube™,https://chrome.google.com/webstore/detail/hd-for-youtube/akjbfncbadcmnkopckegnmjgihagponf,14,youtube,Chrome
Heartbeat,https://chrome.google.com/webstore/detail/heartbeat/aailiojlhjbichheofhdpcongebcgcgm,15,youtube,Chrome
YouTube AdBlock,https://chrome.google.com/webstore/detail/youtube-adblock/aokhhndenibcdahoebffehcikeidpfhn,16,youtube,Chrome
Disable Youtube™ HTML5 Player,https://chrome.google.com/webstore/detail/disable-youtube-html5-pla/enmofgaijnbjpblfljopnpdogpldapoc,17,youtube,Chrome
Switch to Flash® Player for YouTube™,https://chrome.google.com/webstore/detail/switch-to-flash%C2%AE-player-f/ibobiggeplcacanpackkgnikelndfjpo,18,youtube,Chrome
Dark Skin for Youtube™,https://chrome.google.com/webstore/detail/dark-skin-for-youtube/bfeknfgchonpnofdjokchhdhdnddhglm,19,youtube,Chrome
YouTube Advanced Control,https://chrome.google.com/webstore/detail/youtube-advanced-control/lncbjnhgcbljbgfkahhpeldkflfcplan,20,youtube,Chrome
YouTube™ Flash-HTML5,https://chrome.google.com/webstore/detail/youtube-flash-html5/omimccinlhlkpjaeaocglgmkbelejlhj,21,youtube,Chrome
Hide YouTube Comments,https://chrome.google.com/webstore/detail/hide-youtube-comments/kehdmnjmaakacofbgmjgjapbbibhafoh,22,youtube,Chrome
