addon_name,addon_url,search_rank,search_term,platform
Excel XLS Editor,https://addons.mozilla.org/en-US/firefox/addon/excel-xls-editor/?src=search,1,excel,Firefox
OpenOffice Excel online for xls spreadsheets,https://addons.mozilla.org/en-US/firefox/addon/openoffice-excel-online-xls/?src=search,2,excel,Firefox
Excel solutions for business,https://addons.mozilla.org/en-US/firefox/addon/excel-solutions/?src=search,3,excel,Firefox
Selenium2Excel Converter,https://addons.mozilla.org/en-US/firefox/addon/selenium2excel-converter/?src=search,4,excel,Firefox
Datalist it - merge and view your Excel data,https://addons.mozilla.org/en-US/firefox/addon/datalist-it/?src=search,5,excel,Firefox
Dafizilla Table2Clipboard,https://addons.mozilla.org/en-US/firefox/addon/dafizilla-table2clipboard/?src=search,6,excel,Firefox
WebODF,https://addons.mozilla.org/en-US/firefox/addon/webodf/?src=search,7,excel,Firefox
The Shopping Toolbar for eBay,https://addons.mozilla.org/en-US/firefox/addon/ebay-toolbar/?src=search,8,excel,Firefox
Words-Chinese Pinyin Dictionary,https://addons.mozilla.org/en-US/firefox/addon/words-chinese-pinyin-dictionar/?src=search,9,excel,Firefox
LibreOffice Editor,https://addons.mozilla.org/en-US/firefox/addon/libreoffice-editor-xls-doc-ppt/?src=search,10,excel,Firefox
In My Pocket,https://addons.mozilla.org/en-US/firefox/addon/in-my-pocket/?src=search,11,excel,Firefox
View in Office Online Viewer,https://addons.mozilla.org/en-US/firefox/addon/view-in-office-web-apps/?src=search,12,excel,Firefox
Split Test Calculator,https://addons.mozilla.org/en-US/firefox/addon/split-test-calculator/?src=search,13,excel,Firefox
Farkode,https://addons.mozilla.org/en-US/firefox/addon/farkode/?src=search,14,excel,Firefox
EdocFind Ebook PDF Search Engine,https://addons.mozilla.org/en-US/firefox/addon/ebook-pdf-search-engi/?src=search,15,excel,Firefox
AigaionPaste,https://addons.mozilla.org/en-US/firefox/addon/aigaionpaste/?src=search,16,excel,Firefox
ebookers Travel + Weather + Currency + Calculator,https://addons.mozilla.org/en-US/firefox/addon/ebookers-travel-addon/?src=search,17,excel,Firefox
Fancy SA Forums,https://addons.mozilla.org/en-US/firefox/addon/fancy-sa-forums/?src=search,18,excel,Firefox
