addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
Messenger for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-messenger/?src=search,1,24763,53.8 KiB,53.0,2017-04-22T12:00:05Z,39,4.9487,Baris Derin,http://barisderin.com,False,Firefox,facebook
Disconnect for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-disconnect/?src=search,2,27252,114.1 KiB,0.1.5,2016-09-05T08:23:45Z,11,4.2727,morni colhkher,,False,Firefox,facebook
Flash Video Player for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-flash-video-player/?src=search,3,33146,26.3 KiB,52.0,2017-03-11T04:36:04Z,2,5.0,Baris Derin,http://barisderin.com,False,Firefox,facebook
Emoticons for Facebook,https://addons.mozilla.org/en-US/firefox/addon/facebook-secret-emoticons/?src=search,4,22687,193.1 KiB,3.3.2.1-signed.1-signed,2014-11-12T11:42:21Z,85,4.1529,Vasil Nikolov,http://www.mogicons.com/,False,Firefox,facebook
Toolbar Button for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-toolbar-button/?src=search,5,21732,35.7 KiB,53.0,2017-04-22T12:28:12Z,44,3.3409,Baris Derin,http://barisderin.com,False,Firefox,facebook
F.B. Purity - Cleans Up Facebook,https://addons.mozilla.org/en-US/firefox/addon/fb-purity-cleans-up-facebook/?src=search,6,32301,77.3 KiB,9.3.2.1-signed,2013-12-23T02:18:27Z,101,4.703,steeev+,http://www.fbpurity.com/,False,Firefox,facebook
Photo Zoom for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-photo-zoom/?src=search,7,10152,36.9 KiB,49.1,2016-10-12T11:20:07Z,17,4.9412,Baris Derin,http://barisderin.com,False,Firefox,facebook
Sidebar for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-sidebar/?src=search,8,3596,53.4 KiB,52.0,2017-03-29T08:43:03Z,7,4.8571,Baris Derin,http://barisderin.com,False,Firefox,facebook
Facebook Videos Downloader,https://addons.mozilla.org/en-US/firefox/addon/facebook-videos-downloader/?src=search,9,13950,22.1 KiB,1.2.1,2017-04-12T16:31:41Z,46,3.2391,Amine SOUAIAIA,https://unfriend-app.com,False,Firefox,facebook
AdBlocker for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/adblock-for-facebook/?src=search,10,32173,54.2 KiB,0.1.8,2016-12-07T08:58:27Z,21,3.1905,AdblockLite,,False,Firefox,facebook
Message Seen Disable for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-message-seen-disable/?src=search,11,7590,38.4 KiB,49.0,2016-09-22T02:09:40Z,12,5.0,Baris Derin,http://barisderin.com,False,Firefox,facebook
Invite All (for Facebook),https://addons.mozilla.org/en-US/firefox/addon/invite-all-for-facebook/?src=search,12,21981,41.6 KiB,0.2.1-signed.1-signed,2015-01-23T01:51:12Z,24,3.4167,davidmm,,False,Firefox,facebook
Facebook Unfriend Finder,https://addons.mozilla.org/en-US/firefox/addon/facebook-unfriend-finder/?src=search,13,4565,104.4 KiB,1.6.6,2016-12-15T19:57:54Z,11,3.0,Amine SOUAIAIA,https://unfriend-app.com,False,Firefox,facebook
Share Button for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-share-button/?src=search,14,9024,36.1 KiB,49.1,2016-10-19T12:27:26Z,28,4.75,Baris Derin,http://barisderin.com,False,Firefox,facebook
Reaction Packs for Facebook,https://addons.mozilla.org/en-US/firefox/addon/reaction-packs-for-facebook/?src=search,15,3526,17.5 KiB,1.1.1,2016-04-21T23:50:36Z,10,4.4,Rodney Folz,http://www.rodneyfolz.com/,False,Firefox,facebook
AdBye - For Facebook,https://addons.mozilla.org/en-US/firefox/addon/adbye-for-facebook/?src=search,16,1887,11.2 KiB,1.02.1-signed.1-signed,2011-06-05T09:28:31Z,39,3.1538,alfaDesigns,,False,Firefox,facebook
Seen Blocker for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-seen-blocker/?src=search,17,3189,66.1 KiB,0.1.5,2016-12-25T12:37:20Z,9,3.7778,morni colhkher,,False,Firefox,facebook
Secret Revealer (for Facebook™),https://addons.mozilla.org/en-US/firefox/addon/secret-revealer-for-facebook/?src=search,18,1027,43.8 KiB,1.0.1,2017-02-03T10:04:35Z,26,4.0385,Ideandro,http://www.andreamillozzi.it,False,Firefox,facebook
Facebook Original Emoticons,https://addons.mozilla.org/en-US/firefox/addon/facebook-original-emoticons/?src=search,19,580,23.5 KiB,0.0.4,2016-06-12T02:55:14Z,0,0.0,Juno_okyo,https://junookyo.blogspot.com/,False,Firefox,facebook
Facebook Messanger,https://addons.mozilla.org/en-US/firefox/addon/facebook-messanger/?src=search,20,635,14.2 KiB,2.0,2017-03-02T20:00:56Z,41,4.122,Bolaram Paul,http://bolaram.tk/,False,Firefox,facebook
Facebook usability suite,https://addons.mozilla.org/en-US/firefox/addon/erase-facebook-ads-and-suggest/?src=search,21,2322,76.3 KiB,2.0.3,2017-04-17T16:15:37Z,11,3.2727,n8chz,https://github.com/n8chz,False,Firefox,facebook
Disconnect for Facebook™ (WebExtension),https://addons.mozilla.org/en-US/firefox/addon/facebook-disconnect-ii/?src=search,22,489,122.7 KiB,0.1.6,2017-01-18T08:00:19Z,0,0.0,morni colhkher,,False,Firefox,facebook
Kick Facebook Suggested Posts,https://addons.mozilla.org/en-US/firefox/addon/kick-facebook-suggested-posts/?src=search,23,348,32.9 KiB,1.2.1,2017-01-30T07:55:15Z,3,5.0,Paul-Axel MARIE,https://github.com/Naeren,False,Firefox,facebook
Facebook GIF Downloader,https://addons.mozilla.org/en-US/firefox/addon/facebook-gif-downloader/?src=search,24,495,44.9 KiB,1.6,2017-02-28T15:16:00Z,2,5.0,Ahmad Hassan,,False,Firefox,facebook
Save Your Facebook Content,https://addons.mozilla.org/en-US/firefox/addon/save-your-facebook-cont-256993/?src=search,25,398,225.4 KiB,0.5.1-signed.1-signed,2011-02-04T05:50:56Z,8,2.0,Memonic,http://www.memonic.com/,False,Firefox,facebook
