addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,validated,platform,search_term
YouTube mp3,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3/?src=search,1,404007,13.4 KiB,Version 1.0.9.1-signed.1-signed,2015-02-04T03:14:42Z,264,3.3333,Philip,http://www.youtube-mp3.org/,True,Firefox,mp3
Youtube MP3 Podcaster,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-podcaster/?src=search,2,114896,12.5 MiB,Version 3.9.0,2016-07-04T22:07:46Z,258,3.8837,Jeremy Gregorio,,True,Firefox,mp3
Youtube Mp3 Downloader,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-downloader/?src=search,3,84498,15.0 KiB,Version 0.1,2015-10-28T10:25:07Z,87,3.8621,Альф,http://dinohost.ru,True,Firefox,mp3
Multi YouTube mp3,https://addons.mozilla.org/en-US/firefox/addon/multi-youtube-mp3/?src=search,4,48582,9.2 KiB,Version 1.2,2015-11-26T03:40:57Z,34,4.1765,dLehr,,True,Firefox,mp3
Youtube to MP3 Converter - High Quality MP3 it,https://addons.mozilla.org/en-US/firefox/addon/mp3-it/?src=search,5,23785,173.4 KiB,Version 1.4.1.1-signed.1-signed,2013-06-19T14:43:12Z,31,2.3548,MP3IT,http://www.mp3it.eu/,True,Firefox,mp3
Simple YouTube MP3 Button,https://addons.mozilla.org/en-US/firefox/addon/simple-youtube-mp3-button/?src=search,6,47374,16.6 KiB,Version 1.0.2.6,2017-02-06T14:09:09Z,61,4.8197,Arari,,True,Firefox,mp3
Youtube  Downloader mp3,https://addons.mozilla.org/en-US/firefox/addon/youtube-downloader-mp3/?src=search,7,23786,1.8 MiB,Version 0.0.9,2016-09-08T18:14:59Z,122,4.3115,xprimus,,True,Firefox,mp3
Youtube Best Video Downloader 2 - MP3 MP4 1080P,https://addons.mozilla.org/en-US/firefox/addon/youtube-download-mp3-mp4-1080p/?src=search,8,132016,38.9 KiB,Version 7.06,2017-04-09T16:24:44Z,60,2.9833,YouTube Best Video Downloader 2,https://www.bvd2.nl/,True,Firefox,mp3
YouTube to MP3 Converter,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-converter-ytmp3/?src=search,9,14577,9.3 KiB,Version 3.1,2017-03-04T18:00:48Z,47,4.5106,YTMP3.EU,,True,Firefox,mp3
Mp3 Downloader for SoundCloud™,https://addons.mozilla.org/en-US/firefox/addon/soundcloud-mp3-downloader/?src=search,10,23100,33.1 KiB,Version 0.1.4,2016-12-04T06:13:36Z,33,3.8182,morni colhkher,,True,Firefox,mp3
