addon_name,addon_url,search_rank,search_term,platform
YouTube mp3,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3/?src=search,1,mp3,Firefox
Youtube MP3 Podcaster,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-podcaster/?src=search,2,mp3,Firefox
Youtube Mp3 Downloader,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-downloader/?src=search,3,mp3,Firefox
Multi YouTube mp3,https://addons.mozilla.org/en-US/firefox/addon/multi-youtube-mp3/?src=search,4,mp3,Firefox
Youtube to MP3 Converter - High Quality MP3 it,https://addons.mozilla.org/en-US/firefox/addon/mp3-it/?src=search,5,mp3,Firefox
Simple YouTube MP3 Button,https://addons.mozilla.org/en-US/firefox/addon/simple-youtube-mp3-button/?src=search,6,mp3,Firefox
Youtube  Downloader mp3,https://addons.mozilla.org/en-US/firefox/addon/youtube-downloader-mp3/?src=search,7,mp3,Firefox
Youtube Best Video Downloader 2 - MP3 MP4 1080P,https://addons.mozilla.org/en-US/firefox/addon/youtube-download-mp3-mp4-1080p/?src=search,8,mp3,Firefox
YouTube to MP3 Converter,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-converter-ytmp3/?src=search,9,mp3,Firefox
Mp3 Downloader for SoundCloud™,https://addons.mozilla.org/en-US/firefox/addon/soundcloud-mp3-downloader/?src=search,10,mp3,Firefox
Youtube to MP3 Converter,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-converter2/?src=search,11,mp3,Firefox
PointMp3 | Download youtube to mp3,https://addons.mozilla.org/en-US/firefox/addon/pointmp3/?src=search,12,mp3,Firefox
VKontakte.ru / vk.com MP3 Music Downloader,https://addons.mozilla.org/en-US/firefox/addon/vkontakteru-vkcom-mp3-music-do/?src=search,13,mp3,Firefox
MP3 Junkie,https://addons.mozilla.org/en-US/firefox/addon/mp3-junkie/?src=search,14,mp3,Firefox
Convert2MP3 - YouTube to mp3,https://addons.mozilla.org/en-US/firefox/addon/convert2mp3-youtube-to-mp3/?src=search,15,mp3,Firefox
Simple YouTube to MP3/MP4 Converter and Downloader,https://addons.mozilla.org/en-US/firefox/addon/simple-youtube-converter/?src=search,16,mp3,Firefox
Youtube Downloader & Converter MP3,https://addons.mozilla.org/en-US/firefox/addon/youtube-download-mp3/?src=search,17,mp3,Firefox
MP3  Player,https://addons.mozilla.org/en-US/firefox/addon/mp3-player-1/?src=search,18,mp3,Firefox
YouTube MP3,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-org/?src=search,19,mp3,Firefox
YouTube a MP3,https://addons.mozilla.org/en-US/firefox/addon/youtube-a-mp3/?src=search,20,mp3,Firefox
convert2mp3.net Online YouTube to MP3 Converter,https://addons.mozilla.org/en-US/firefox/addon/youtube2mp3-converter/?src=search,21,mp3,Firefox
Youtube To Mp3 / Mp4 Downloader,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-addon/?src=search,22,mp3,Firefox
Youtube-mp3.to Video to Mp3 Converter,https://addons.mozilla.org/en-US/firefox/addon/youtube-video-to-mp3-converter/?src=search,23,mp3,Firefox
YouTube MP3 downloader by GreenMP3,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-download-greenmp3/?src=search,24,mp3,Firefox
Youtube mp3 for Android,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-for-android/?src=search,25,mp3,Firefox
Amazon MP3 Daily Deal Button,https://addons.mozilla.org/en-US/firefox/addon/amazon-mp3-daily-deal-button/?src=search,26,mp3,Firefox
YouTube to Mp3 Converter fuzna,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-converter-fuzna/?src=search,27,mp3,Firefox
Youtube MP3 Downloader using youtube-mp3.org,https://addons.mozilla.org/en-US/firefox/addon/youtube-hq-mp3-downloader/?src=search,28,mp3,Firefox
MP3Skip - Free MP3's,https://addons.mozilla.org/en-US/firefox/addon/mp3-downloads/?src=search,29,mp3,Firefox
Easy YouTube to MP3 Converter,https://addons.mozilla.org/en-US/firefox/addon/easy-youtube-to-mp3-converter/?src=search,30,mp3,Firefox
Youtube to MP3 Plugin,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-plugin/?src=search,31,mp3,Firefox
Youtube To MP3 PRO,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-pro/?src=search,32,mp3,Firefox
x-MuZiC.cOm / YouTube mp3,https://addons.mozilla.org/en-US/firefox/addon/x-muzic/?src=search,33,mp3,Firefox
MP3 Converter,https://addons.mozilla.org/en-US/firefox/addon/mp3-converter/?src=search,34,mp3,Firefox
Free Mp3 Music Search for Download,https://addons.mozilla.org/en-US/firefox/addon/mp3-search/?src=search,35,mp3,Firefox
Bee MP3,https://addons.mozilla.org/en-US/firefox/addon/bee-mp3/?src=search,36,mp3,Firefox
YouTube MP3 Download,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-searchplugin/?src=search,37,mp3,Firefox
Simple YouTube MP3,https://addons.mozilla.org/en-US/firefox/addon/simple-youtube-mp3/?src=search,38,mp3,Firefox
YouTube MP3 Download,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-download/?src=search,39,mp3,Firefox
YouTube MP3 Downloader for Firefox,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-downloader-for-fir/?src=search,40,mp3,Firefox
Convert YouTube to MP3,https://addons.mozilla.org/en-US/firefox/addon/convert-youtube-to-mp3/?src=search,41,mp3,Firefox
Best Youtube Mp3 Download,https://addons.mozilla.org/en-US/firefox/addon/best-youtube-mp3-download/?src=search,42,mp3,Firefox
Youtube playlist converter to MP3,https://addons.mozilla.org/en-US/firefox/addon/youtube-playlist-converter-/?src=search,43,mp3,Firefox
Youbeatz.net- YouTube to MP3 Converter Online,https://addons.mozilla.org/en-US/firefox/addon/youtube2mp3-converter-online/?src=search,44,mp3,Firefox
YoutubeMp3,https://addons.mozilla.org/en-US/firefox/addon/youtubemp3/?src=search,45,mp3,Firefox
YouTube MP3 Converter,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-converter-1/?src=search,46,mp3,Firefox
Télécharger YouTube MP3,https://addons.mozilla.org/en-US/firefox/addon/t%C3%A9l%C3%A9charger-youtube-mp3/?src=search,47,mp3,Firefox
MP3Cow,https://addons.mozilla.org/en-US/firefox/addon/mp3cow/?src=search,48,mp3,Firefox
YouTube MP3 Easy Downloader,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-easy-downloader/?src=search,49,mp3,Firefox
Mp3-Get.com Search MP3,https://addons.mozilla.org/en-US/firefox/addon/mp3-get/?src=search,50,mp3,Firefox
MP3 Downloader,https://addons.mozilla.org/en-US/firefox/addon/mp3downloader/?src=search,51,mp3,Firefox
Youtube to mp3 converter - AudioThief.com,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-converter-at/?src=search,52,mp3,Firefox
Youtube MP3 converter - Download with Save to mp3,https://addons.mozilla.org/en-US/firefox/addon/save-to-mp3-addon/?src=search,53,mp3,Firefox
Youtube to Mp3 | Mp3Grabby,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-mp3grabby/?src=search,54,mp3,Firefox
Youtube Downloader (Mp3|Mp4),https://addons.mozilla.org/en-US/firefox/addon/youtube-downloader-mp3mp4/?src=search,55,mp3,Firefox
MP3 Search,https://addons.mozilla.org/en-US/firefox/addon/mp3-search-1/?src=search,56,mp3,Firefox
FullRip.net Youtube Mp3 converter/Video downloader,https://addons.mozilla.org/en-US/firefox/addon/fullripnet-youtube-video-mp3/?src=search,57,mp3,Firefox
Youtube to MP3 Converter Free,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-converter-free/?src=search,58,mp3,Firefox
YouTube To Mp3 Converter | Mp3 Converter,https://addons.mozilla.org/en-US/firefox/addon/mp3converter/?src=search,59,mp3,Firefox
YouTube to MP3 Free Converter,https://addons.mozilla.org/en-US/firefox/addon/321youtube/?src=search,60,mp3,Firefox
WonTube YouTube to MP3 YouTube Downloader,https://addons.mozilla.org/en-US/firefox/addon/wontube-free-youtube-to-mp3/?src=search,61,mp3,Firefox
GTriddim Youtube To MP3 converter,https://addons.mozilla.org/en-US/firefox/addon/gtriddim-youtube-to-mp3/?src=search,62,mp3,Firefox
百度MP3,https://addons.mozilla.org/en-US/firefox/addon/%E7%99%BE%E5%BA%A6mp3/?src=search,63,mp3,Firefox
yaBeat - YouTube to MP3,https://addons.mozilla.org/en-US/firefox/addon/yabeat-youtube-to-mp3/?src=search,64,mp3,Firefox
From Youtube To MP3,https://addons.mozilla.org/en-US/firefox/addon/from-youtube-to-mp3/?src=search,65,mp3,Firefox
Twojanuta.pl - Wyszukiwarka MP3,https://addons.mozilla.org/en-US/firefox/addon/wyszukiwarka-mp3/?src=search,66,mp3,Firefox
Easy YouTube MP3 Downloader,https://addons.mozilla.org/en-US/firefox/addon/easy-youtube-mp3-downloader/?src=search,67,mp3,Firefox
YouTube converter to mp3 online,https://addons.mozilla.org/en-US/firefox/addon/youtube-converter-to-mp3-onlin/?src=search,68,mp3,Firefox
HQ Youtube MP3 Downloader,https://addons.mozilla.org/en-US/firefox/addon/hq-youtube-mp3-downloader/?src=search,69,mp3,Firefox
Wyszukiwarka MP3 www.djoles.pl,https://addons.mozilla.org/en-US/firefox/addon/wyszukiwarka-mp3-djoles-pl/?src=search,70,mp3,Firefox
Vid-MP3,https://addons.mozilla.org/en-US/firefox/addon/vid-mp3/?src=search,71,mp3,Firefox
YouTube MP3 Downloader using youtube-download.org,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-downloader/?src=search,72,mp3,Firefox
FetchMP3 Video to Audio Converter,https://addons.mozilla.org/en-US/firefox/addon/fetchmp3-video-to-audio-conver/?src=search,73,mp3,Firefox
YouTube mp3 Converter.,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-converter/?src=search,74,mp3,Firefox
YouTube Music MP3 Download Converter,https://addons.mozilla.org/en-US/firefox/addon/youtube-music-mp3-download/?src=search,75,mp3,Firefox
YouTube MP3 Downloader using youtube-download.net,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-mp4-downloader/?src=search,76,mp3,Firefox
aeroMP3.com Search,https://addons.mozilla.org/en-US/firefox/addon/aeromp3com-search/?src=search,77,mp3,Firefox
youtube convert2mp3.net,https://addons.mozilla.org/en-US/firefox/addon/youtube-convert2mp3-net/?src=search,78,mp3,Firefox
mp3 Поисковик,https://addons.mozilla.org/en-US/firefox/addon/waggru/?src=search,79,mp3,Firefox
mp3extract,https://addons.mozilla.org/en-US/firefox/addon/mp3extract/?src=search,80,mp3,Firefox
"SoundCloud Downloader - Search, Download Music Mp3",https://addons.mozilla.org/en-US/firefox/addon/songs/?src=search,81,mp3,Firefox
Youtube downloader mp3/mp4/3gp/flv/webm,https://addons.mozilla.org/en-US/firefox/addon/youtube-downloader-mp3-mp4/?src=search,82,mp3,Firefox
TuneTune - YouTube to MP3,https://addons.mozilla.org/en-US/firefox/addon/tunetunenet-converter/?src=search,83,mp3,Firefox
#1 Youtube Video and Mp3 Downloader,https://addons.mozilla.org/en-US/firefox/addon/youtubedownloader/?src=search,84,mp3,Firefox
Open search music engine!,https://addons.mozilla.org/en-US/firefox/addon/open-search-music-engine/?src=search,85,mp3,Firefox
uTube2mp3,https://addons.mozilla.org/en-US/firefox/addon/utube2mp3/?src=search,86,mp3,Firefox
ololo.fm MP3 Downloader,https://addons.mozilla.org/en-US/firefox/addon/ololofm-mp3-downloader/?src=search,87,mp3,Firefox
Playlistar.com Save MP3 Cross-Linking Bookmarklet,https://addons.mozilla.org/en-US/firefox/addon/playlistarcom-save-mp3-cross-l/?src=search,88,mp3,Firefox
YouTube to MP3 Converter/Online Download,https://addons.mozilla.org/en-US/firefox/addon/youtube2mp3to-convert-youtu/?src=search,89,mp3,Firefox
YouTubetoMP3.tv,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3tv/?src=search,90,mp3,Firefox
YouTube To MP3 Converter - Uscorpion,https://addons.mozilla.org/en-US/firefox/addon/uscorpion-converter/?src=search,91,mp3,Firefox
youtube2mp3extract,https://addons.mozilla.org/en-US/firefox/addon/youtube2mp3extract/?src=search,92,mp3,Firefox
MP3Skull.co Toolbar,https://addons.mozilla.org/en-US/firefox/addon/mp3skull/?src=search,93,mp3,Firefox
Video2Mp3,https://addons.mozilla.org/en-US/firefox/addon/video2mp3/?src=search,94,mp3,Firefox
YouTube2mp3.ca,https://addons.mozilla.org/en-US/firefox/addon/youtube2mp3ca/?src=search,95,mp3,Firefox
Youtube to audio converter,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-convert/?src=search,96,mp3,Firefox
Video2Mp3 Converter,https://addons.mozilla.org/en-US/firefox/addon/video2mp3-converter/?src=search,97,mp3,Firefox
Mrtzc5.com (former Mrtzc3.net & Mp3Port.net),https://addons.mozilla.org/en-US/firefox/addon/mp3portnet/?src=search,98,mp3,Firefox
Mp3Olimp widget,https://addons.mozilla.org/en-US/firefox/addon/mp3olimp-toolbar/?src=search,99,mp3,Firefox
Easy Youtube Video Downloader Express,https://addons.mozilla.org/en-US/firefox/addon/easy-youtube-video-download/?src=search,100,mp3,Firefox
Download Videos  from Youtube. Period.,https://addons.mozilla.org/en-US/firefox/addon/single-click-mp3/?src=search,101,mp3,Firefox
YouTube to MP3 by Uccio,https://addons.mozilla.org/en-US/firefox/addon/ucciotube-scaricamp3-da-youtub/?src=search,102,mp3,Firefox
"youMP3me - ""download"" button for Youtube",https://addons.mozilla.org/en-US/firefox/addon/youMP3me/?src=search,103,mp3,Firefox
Complete YouTube Saver,https://addons.mozilla.org/en-US/firefox/addon/complete-youtube-saver/?src=search,104,mp3,Firefox
YouTube2Video2MP3,https://addons.mozilla.org/en-US/firefox/addon/youtube2video2mp3/?src=search,105,mp3,Firefox
mymusicloader.de YouTube2MP3 Converter,https://addons.mozilla.org/en-US/firefox/addon/mymusicloaderde-youtube2mp3-co/?src=search,106,mp3,Firefox
Easiest YouTube Video Downloader,https://addons.mozilla.org/en-US/firefox/addon/easiest-youtube-video-downl/?src=search,107,mp3,Firefox
Foobar Controls,https://addons.mozilla.org/en-US/firefox/addon/foobar-controls/?src=search,108,mp3,Firefox
TweakTube - YouTube Enhancer / Video Downloader,https://addons.mozilla.org/en-US/firefox/addon/tweaktube-youtube-enhancer-vid/?src=search,109,mp3,Firefox
Loudtronix Helper Extension,https://addons.mozilla.org/en-US/firefox/addon/loudtronix-helper/?src=search,110,mp3,Firefox
Youtube2Audio,https://addons.mozilla.org/en-US/firefox/addon/youtube2audio/?src=search,111,mp3,Firefox
YouTube™ Video and Audio Downloader,https://addons.mozilla.org/en-US/firefox/addon/youtube-video-and-audio-dow/?src=search,112,mp3,Firefox
Flash Video Downloader - YouTube HD Download [4K],https://addons.mozilla.org/en-US/firefox/addon/flash-video-downloader/?src=search,113,mp3,Firefox
M3Uripiton,https://addons.mozilla.org/en-US/firefox/addon/m3uripiton/?src=search,114,mp3,Firefox
NetVideoHunter,https://addons.mozilla.org/en-US/firefox/addon/netvideohunter-video-downloade/?src=search,115,mp3,Firefox
Online Music Player,https://addons.mozilla.org/en-US/firefox/addon/online-music-player/?src=search,116,mp3,Firefox
Dr. Music Contact,https://addons.mozilla.org/en-US/firefox/addon/dr-music-contact/?src=search,117,mp3,Firefox
Media Converter and Muxer,https://addons.mozilla.org/en-US/firefox/addon/media-converter-and-muxer/?src=search,118,mp3,Firefox
Music-Downloader,https://addons.mozilla.org/en-US/firefox/addon/music-downloader/?src=search,119,mp3,Firefox
Groove Shredder,https://addons.mozilla.org/en-US/firefox/addon/grooveshredder/?src=search,120,mp3,Firefox
Shishimora,https://addons.mozilla.org/en-US/firefox/addon/shishimora/?src=search,121,mp3,Firefox
Ronny music,https://addons.mozilla.org/en-US/firefox/addon/ronny-music/?src=search,122,mp3,Firefox
Text to Voice,https://addons.mozilla.org/en-US/firefox/addon/text-to-voice/?src=search,123,mp3,Firefox
PagePlaylist,https://addons.mozilla.org/en-US/firefox/addon/pageplaylist/?src=search,124,mp3,Firefox
YouTube Downloader and Converter,https://addons.mozilla.org/en-US/firefox/addon/youtube-downloader-and-convert/?src=search,125,mp3,Firefox
Slimserver Control,https://addons.mozilla.org/en-US/firefox/addon/slimserver-control/?src=search,126,mp3,Firefox
TubeConverter,https://addons.mozilla.org/en-US/firefox/addon/tubeconverter/?src=search,127,mp3,Firefox
musicbasket,https://addons.mozilla.org/en-US/firefox/addon/musicbasket/?src=search,128,mp3,Firefox
Peggo,https://addons.mozilla.org/en-US/firefox/addon/peggo/?src=search,129,mp3,Firefox
Youtube Downloader Gold,https://addons.mozilla.org/en-US/firefox/addon/youtube-downloader-gold/?src=search,130,mp3,Firefox
Free Search & Youtube HD Video Downloader FREE,https://addons.mozilla.org/en-US/firefox/addon/djamolgroup/?src=search,131,mp3,Firefox
jetDownloader,https://addons.mozilla.org/en-US/firefox/addon/jetdownloader/?src=search,132,mp3,Firefox
FoxVox,https://addons.mozilla.org/en-US/firefox/addon/foxvox/?src=search,133,mp3,Firefox
Listen To Youtube,https://addons.mozilla.org/en-US/firefox/addon/listen-to-youtube/?src=search,134,mp3,Firefox
Misshacker,https://addons.mozilla.org/en-US/firefox/addon/misshacker/?src=search,135,mp3,Firefox
Tube Convertor,https://addons.mozilla.org/en-US/firefox/addon/tubeconvertor/?src=search,136,mp3,Firefox
Yandex Music Downloader,https://addons.mozilla.org/en-US/firefox/addon/yandex-music-downloader/?src=search,137,mp3,Firefox
Local Music Player,https://addons.mozilla.org/en-US/firefox/addon/local-music-player/?src=search,138,mp3,Firefox
FlashGot Mass Downloader,https://addons.mozilla.org/en-US/firefox/addon/flashgot/?src=search,139,mp3,Firefox
Byware,https://addons.mozilla.org/en-US/firefox/addon/byware/?src=search,140,mp3,Firefox
Musikano Music Downloader,https://addons.mozilla.org/en-US/firefox/addon/musikano/?src=search,141,mp3,Firefox
Pixmania (EN),https://addons.mozilla.org/en-US/firefox/addon/pixmania-en/?src=search,142,mp3,Firefox
Jamendo Album Downloader,https://addons.mozilla.org/en-US/firefox/addon/jamendo-album-downloader/?src=search,143,mp3,Firefox
File Search Engine,https://addons.mozilla.org/en-US/firefox/addon/file-search-engine/?src=search,144,mp3,Firefox
FindThatBand,https://addons.mozilla.org/en-US/firefox/addon/findthatband/?src=search,145,mp3,Firefox
Pixmania PT,https://addons.mozilla.org/en-US/firefox/addon/pixmania-pt/?src=search,146,mp3,Firefox
HearYoutube,https://addons.mozilla.org/en-US/firefox/addon/hearyoutube/?src=search,147,mp3,Firefox
Songania Search Engine,https://addons.mozilla.org/en-US/firefox/addon/songania-search-engine/?src=search,148,mp3,Firefox
Pixmania (ES),https://addons.mozilla.org/en-US/firefox/addon/pixmania-es/?src=search,149,mp3,Firefox
Vlc context menu,https://addons.mozilla.org/en-US/firefox/addon/vlc-context-menu/?src=search,150,mp3,Firefox
Tumblr Post,https://addons.mozilla.org/en-US/firefox/addon/tumblr-post/?src=search,151,mp3,Firefox
Lingueet,https://addons.mozilla.org/en-US/firefox/addon/lingueet/?src=search,152,mp3,Firefox
RvrtRip,https://addons.mozilla.org/en-US/firefox/addon/rvrtrip/?src=search,153,mp3,Firefox
Youtube Convertor 3,https://addons.mozilla.org/en-US/firefox/addon/youtube-convertor-3/?src=search,154,mp3,Firefox
NiceGif,https://addons.mozilla.org/en-US/firefox/addon/nicegif/?src=search,155,mp3,Firefox
YouTune,https://addons.mozilla.org/en-US/firefox/addon/youtune/?src=search,156,mp3,Firefox
SongRepo Music Search,https://addons.mozilla.org/en-US/firefox/addon/songrepo/?src=search,157,mp3,Firefox
SoundCloud Downloader - SoundGrab,https://addons.mozilla.org/en-US/firefox/addon/soundgrab/?src=search,158,mp3,Firefox
YouTube Video Download & Convert,https://addons.mozilla.org/en-US/firefox/addon/youtube-video-download-convert/?src=search,159,mp3,Firefox
Download Embedded,https://addons.mozilla.org/en-US/firefox/addon/download-embedded/?src=search,160,mp3,Firefox
Youtube Letöltés és konvertálás,https://addons.mozilla.org/en-US/firefox/addon/youtube-let%C3%B6lt%C3%A9s/?src=search,161,mp3,Firefox
Audio Downloader Prime,https://addons.mozilla.org/en-US/firefox/addon/audio-downloader-prime/?src=search,162,mp3,Firefox
Soundscape,https://addons.mozilla.org/en-US/firefox/addon/soundscape/?src=search,163,mp3,Firefox
The Official eMusic Toolbar,https://addons.mozilla.org/en-US/firefox/addon/the-official-emusic-toolbar/?src=search,164,mp3,Firefox
VKontakte.ru Downloader (music/videos/photos @ VK),https://addons.mozilla.org/en-US/firefox/addon/vkontakteru-downloader/?src=search,165,mp3,Firefox
