addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,validated,platform,search_term
PDF Mage,https://addons.mozilla.org/en-US/firefox/addon/pdf-mage/?src=search,1,32849,30.1 KiB,Version 1.0.3,2016-08-17T08:21:47Z,56,4.1607,PDF Mage,,True,Firefox,pdf
Print Friendly & PDF,https://addons.mozilla.org/en-US/firefox/addon/print-friendly-pdf/?src=search,2,39436,17.7 KiB,Version 2.0.2,2015-10-10T06:28:03Z,76,3.4079,Print Friendly & PDF,http://www.printfriendly.com/,True,Firefox,pdf
Save as PDF,https://addons.mozilla.org/en-US/firefox/addon/save-as-pdf/?src=search,3,84404,60.8 KiB,Version 1.5.1-signed.1-signed,2010-11-02T03:03:02Z,147,2.4354,Pdfcrowd Team,,True,Firefox,pdf
DIRECT PDF DOWNLOAD,https://addons.mozilla.org/en-US/firefox/addon/direct-pdf-download/?src=search,4,33913,5.6 KiB,Version 0.1.2.1-signed.1-signed,2014-12-24T06:32:50Z,15,3.0,kamesh rajak,http://kamesh.cf/,True,Firefox,pdf
Pdf Creator,https://addons.mozilla.org/en-US/firefox/addon/webpage-to-pdf/?src=search,5,22332,1.3 MiB,Version 0.1.9,2016-07-05T18:53:35Z,20,3.4,xprimus,,True,Firefox,pdf
Website to PDF,https://addons.mozilla.org/en-US/firefox/addon/website-to-pdf/?src=search,6,5488,118.2 KiB,Version 1.4,2016-11-14T11:33:57Z,3,1.0,lipocodes,,True,Firefox,pdf
"Google Docs Viewer (PDF, DOCX, PPTX, XLSX, etc...)",https://addons.mozilla.org/en-US/firefox/addon/google-docs-viewer-pdf-doc-/?src=search,7,57596,9.9 KiB,Version 1.8.9.1-signed.1-signed,2013-11-18T06:30:48Z,64,3.7656,Adon,https://secure.ie.cuhk.edu.hk/~fph008/phfung/,True,Firefox,pdf
PDF editor online,https://addons.mozilla.org/en-US/firefox/addon/editor-pdf-online/?src=search,8,3209,306.8 KiB,Version 1.0.3,2017-02-16T15:57:41Z,17,4.2353,officeonlinesystems,http://www.offidocs.com,True,Firefox,pdf
PDF Download,https://addons.mozilla.org/en-US/firefox/addon/pdf-download/?src=search,9,60117,160.6 KiB,Version 3.0.0.2.1-signed.1-signed,2011-02-02T13:20:22Z,690,2.3275,Nitro PDF Software,http://www.pdfdownload.org,True,Firefox,pdf
PDF Search Engine and PDF Viewer Toolbar,https://addons.mozilla.org/en-US/firefox/addon/pdf-search-engine-and-pdf-view/?src=search,10,1999,11.7 KiB,Version 1.4.1-signed.1-signed,2012-07-23T10:45:27Z,12,2.5833,sas,http://avidpdf.com,True,Firefox,pdf
