addon_name,addon_url,search_rank,search_term,platform
PDF Mage,https://addons.mozilla.org/en-US/firefox/addon/pdf-mage/?src=search,1,pdf,Firefox
Print Friendly & PDF,https://addons.mozilla.org/en-US/firefox/addon/print-friendly-pdf/?src=search,2,pdf,Firefox
Save as PDF,https://addons.mozilla.org/en-US/firefox/addon/save-as-pdf/?src=search,3,pdf,Firefox
DIRECT PDF DOWNLOAD,https://addons.mozilla.org/en-US/firefox/addon/direct-pdf-download/?src=search,4,pdf,Firefox
Pdf Creator,https://addons.mozilla.org/en-US/firefox/addon/webpage-to-pdf/?src=search,5,pdf,Firefox
Website to PDF,https://addons.mozilla.org/en-US/firefox/addon/website-to-pdf/?src=search,6,pdf,Firefox
"Google Docs Viewer (PDF, DOCX, PPTX, XLSX, etc...)",https://addons.mozilla.org/en-US/firefox/addon/google-docs-viewer-pdf-doc-/?src=search,7,pdf,Firefox
PDF editor online,https://addons.mozilla.org/en-US/firefox/addon/editor-pdf-online/?src=search,8,pdf,Firefox
PDF Download,https://addons.mozilla.org/en-US/firefox/addon/pdf-download/?src=search,9,pdf,Firefox
PDF Search Engine and PDF Viewer Toolbar,https://addons.mozilla.org/en-US/firefox/addon/pdf-search-engine-and-pdf-view/?src=search,10,pdf,Firefox
PDF Plugin for Firefox on Mac OS X,https://addons.mozilla.org/en-US/firefox/addon/pdf-plugin-for-firefox-on-mac-/?src=search,11,pdf,Firefox
Literal - PDF Reader,https://addons.mozilla.org/en-US/firefox/addon/literal-pdf-reader/?src=search,12,pdf,Firefox
Ebook PDF Search Engine and Viewer Toolbar,https://addons.mozilla.org/en-US/firefox/addon/ebook-pdf-search-engine-and-vi/?src=search,13,pdf,Firefox
PrintPDF,https://addons.mozilla.org/en-US/firefox/addon/printpdf/?src=search,14,pdf,Firefox
WebToPDF,https://addons.mozilla.org/en-US/firefox/addon/webtopdf/?src=search,15,pdf,Firefox
Web2PDF Converter,https://addons.mozilla.org/en-US/firefox/addon/web2pdf-converter/?src=search,16,pdf,Firefox
Text to PDF file,https://addons.mozilla.org/en-US/firefox/addon/text-to-pdf-file/?src=search,17,pdf,Firefox
pdfViewerSwitcher,https://addons.mozilla.org/en-US/firefox/addon/pdfviewerswitcher/?src=search,18,pdf,Firefox
PDF Wise,https://addons.mozilla.org/en-US/firefox/addon/pdf-wise/?src=search,19,pdf,Firefox
url to PDF,https://addons.mozilla.org/en-US/firefox/addon/url-to-pdf/?src=search,20,pdf,Firefox
PDF Search Engine,https://addons.mozilla.org/en-US/firefox/addon/pdf-search-engine/?src=search,21,pdf,Firefox
PDF to Images Converter,https://addons.mozilla.org/en-US/firefox/addon/pdf-to-images-converter/?src=search,22,pdf,Firefox
LINER - Web/PDF Highlighter,https://addons.mozilla.org/en-US/firefox/addon/liner-web-pdf-highlighter/?src=search,23,pdf,Firefox
gPDF,https://addons.mozilla.org/en-US/firefox/addon/gpdf/?src=search,24,pdf,Firefox
Web2PDF,https://addons.mozilla.org/en-US/firefox/addon/web2pdf/?src=search,25,pdf,Firefox
PDF Ebook Search Engine and Reader,https://addons.mozilla.org/en-US/firefox/addon/pdf-ebook-search-engine-and-re/?src=search,26,pdf,Firefox
.PDF files,https://addons.mozilla.org/en-US/firefox/addon/pdf-files/?src=search,27,pdf,Firefox
Only PDF,https://addons.mozilla.org/en-US/firefox/addon/only-pdf/?src=search,28,pdf,Firefox
Scribd.com PDF Downloader,https://addons.mozilla.org/en-US/firefox/addon/scribd-pdf-downloader-v20/?src=search,29,pdf,Firefox
iprotocol PDF manipulation addon,https://addons.mozilla.org/en-US/firefox/addon/iprotocol-addon/?src=search,30,pdf,Firefox
PDF Viewer(discontinued),https://addons.mozilla.org/en-US/firefox/addon/pdfjs/?src=search,31,pdf,Firefox
PDF eBook Searches,https://addons.mozilla.org/en-US/firefox/addon/pdf-ebook-searches/?src=search,32,pdf,Firefox
Soda PDF Online Services,https://addons.mozilla.org/en-US/firefox/addon/soda-pdf-online-services/?src=search,33,pdf,Firefox
EdocFind Ebook PDF Search Engine,https://addons.mozilla.org/en-US/firefox/addon/ebook-pdf-search-engi/?src=search,34,pdf,Firefox
"PDF Search Engine, Ebook Search Engine",https://addons.mozilla.org/en-US/firefox/addon/Edocfind-PDF-Search-engine/?src=search,35,pdf,Firefox
openpdf - Ebook PDF Search Engine and Viewer,https://addons.mozilla.org/en-US/firefox/addon/openpdf-ebook-pdf-search-engin/?src=search,36,pdf,Firefox
PDF-Google-Finder,https://addons.mozilla.org/en-US/firefox/addon/pdf-google-finder/?src=search,37,pdf,Firefox
PDF Control,https://addons.mozilla.org/en-US/firefox/addon/pdf-control/?src=search,38,pdf,Firefox
Free PDF to Word Converter,https://addons.mozilla.org/en-US/firefox/addon/pdf-to-word/?src=search,39,pdf,Firefox
,https://addons.mozilla.org/en-US/firefox/addon/none-85791-1/?src=search,40,pdf,Firefox
Free Ebook PDF Search Engine Toolbar,https://addons.mozilla.org/en-US/firefox/addon/free-ebook-pdf-search-engin/?src=search,41,pdf,Firefox
