addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
Web Slide Show,https://addons.mozilla.org/en-US/firefox/addon/web-slide-show/?src=search,1,1987,151.9 KiB,1.5.7.19.1-signed.1-signed,2015-03-09T13:38:18Z,34,4.0,www.pretty-tools.com,http://www.pretty-tools.com/,False,Firefox,slide
Slide Show Viewer,https://addons.mozilla.org/en-US/firefox/addon/slide-show-viewer/?src=search,2,702,22.5 KiB,1.2.3,2016-09-27T08:14:30Z,13,3.6154,Ben,,False,Firefox,slide
Slide Web,https://addons.mozilla.org/en-US/firefox/addon/slide-web/?src=search,3,33,345.0 KiB,1.0,2016-01-02T07:36:23Z,0,0.0,johnny,,False,Firefox,slide
ClearSlide Screen Share,https://addons.mozilla.org/en-US/firefox/addon/clearslide-screen-share/?src=search,4,41,6.8 KiB,1.0.1,2015-10-21T12:00:52Z,0,0.0,"ClearSlide, Inc.",https://www.clearslide.com/,False,Firefox,slide
Tab Bar Slider,https://addons.mozilla.org/en-US/firefox/addon/tab-bar-slider/?src=search,5,68,5.6 KiB,0.1,2016-06-20T16:05:32Z,0,0.0,Platinkreuz,,False,Firefox,slide
Perfect View,https://addons.mozilla.org/en-US/firefox/addon/perfect-view/?src=search,6,1580,53.7 KiB,6.6,2017-01-17T01:10:07Z,9,4.1111,"Peter J. Sloetjes, MSc.",,False,Firefox,slide
TabSlide,https://addons.mozilla.org/en-US/firefox/addon/tabslide/?src=search,7,39,147.6 KiB,0.1.1-signed.1-signed,2012-07-17T00:24:18Z,2,4.0,Tobias Redmann,http://www.tricd.de/,False,Firefox,slide
Save to SlideBatch,https://addons.mozilla.org/en-US/firefox/addon/save-to-slidebatch/?src=search,8,7,9.5 KiB,1.0.5.1396930086.1-signed.1-signed,2014-08-12T14:15:07Z,1,1.0,SlideBatch,https://www.slidebatch.com/,False,Firefox,slide
PowerPoint PPT editor,https://addons.mozilla.org/en-US/firefox/addon/powerpoint-editor/?src=search,9,184,41.3 KiB,1.2.7,2017-02-05T19:44:29Z,1,5.0,officeonlinesystems,http://www.offidocs.com,False,Firefox,slide
SlideMe Button,https://addons.mozilla.org/en-US/firefox/addon/slideme-button/?src=search,10,2,11.4 KiB,1.0.1-signed.1-signed,2014-02-14T14:47:20Z,0,0.0,SirGiuseppe123,http://bagf.lima-city.de/,False,Firefox,slide
Puzzle Creator,https://addons.mozilla.org/en-US/firefox/addon/puzzle-creator/?src=search,11,29,762.2 KiB,2.0.2,2016-03-19T11:20:19Z,0,0.0,Daniel Perez Alvarez,https://unindented.org/,False,Firefox,slide
imagePaste,https://addons.mozilla.org/en-US/firefox/addon/imagepaste/?src=search,12,52,7.4 KiB,0.0.2,2016-02-06T03:25:40Z,0,0.0,Jaja,,False,Firefox,slide
Kill It,https://addons.mozilla.org/en-US/firefox/addon/kill-it/?src=search,13,148,158.1 KiB,0.98.8,2016-10-19T15:40:15Z,5,4.0,als123,http://www.anthony-shipman.id.au/,False,Firefox,slide
Duplicate Tab,https://addons.mozilla.org/en-US/firefox/addon/duplicate-tab-228106/?src=search,14,382,7.2 KiB,1.3.1-signed.1-signed,2011-09-10T12:58:22Z,11,3.1818,Pratik Poddar,http://www.cse.iitb.ac.in/~pratik,False,Firefox,slide
