addon_name,addon_url,search_rank,search_term,platform
Web Slide Show,https://addons.mozilla.org/en-US/firefox/addon/web-slide-show/?src=search,1,slide,Firefox
Slide Show Viewer,https://addons.mozilla.org/en-US/firefox/addon/slide-show-viewer/?src=search,2,slide,Firefox
Slide Web,https://addons.mozilla.org/en-US/firefox/addon/slide-web/?src=search,3,slide,Firefox
ClearSlide Screen Share,https://addons.mozilla.org/en-US/firefox/addon/clearslide-screen-share/?src=search,4,slide,Firefox
Tab Bar Slider,https://addons.mozilla.org/en-US/firefox/addon/tab-bar-slider/?src=search,5,slide,Firefox
Perfect View,https://addons.mozilla.org/en-US/firefox/addon/perfect-view/?src=search,6,slide,Firefox
TabSlide,https://addons.mozilla.org/en-US/firefox/addon/tabslide/?src=search,7,slide,Firefox
Save to SlideBatch,https://addons.mozilla.org/en-US/firefox/addon/save-to-slidebatch/?src=search,8,slide,Firefox
PowerPoint PPT editor,https://addons.mozilla.org/en-US/firefox/addon/powerpoint-editor/?src=search,9,slide,Firefox
SlideMe Button,https://addons.mozilla.org/en-US/firefox/addon/slideme-button/?src=search,10,slide,Firefox
Puzzle Creator,https://addons.mozilla.org/en-US/firefox/addon/puzzle-creator/?src=search,11,slide,Firefox
imagePaste,https://addons.mozilla.org/en-US/firefox/addon/imagepaste/?src=search,12,slide,Firefox
Kill It,https://addons.mozilla.org/en-US/firefox/addon/kill-it/?src=search,13,slide,Firefox
Duplicate Tab,https://addons.mozilla.org/en-US/firefox/addon/duplicate-tab-228106/?src=search,14,slide,Firefox
Logical Games,https://addons.mozilla.org/en-US/firefox/addon/logical-games/?src=search,15,slide,Firefox
LibreOffice Editor,https://addons.mozilla.org/en-US/firefox/addon/libreoffice-editor-xls-doc-ppt/?src=search,16,slide,Firefox
Tumblr Audio/Video player volume slider,https://addons.mozilla.org/en-US/firefox/addon/tumblr-audiovideo-player-vo/?src=search,17,slide,Firefox
SlyZoom,https://addons.mozilla.org/en-US/firefox/addon/slyzoom/?src=search,18,slide,Firefox
FullerScreen,https://addons.mozilla.org/en-US/firefox/addon/fullerscreen/?src=search,19,slide,Firefox
Tab Slideshow,https://addons.mozilla.org/en-US/firefox/addon/tab-slideshow/?src=search,20,slide,Firefox
Groundspeed,https://addons.mozilla.org/en-US/firefox/addon/groundspeed/?src=search,21,slide,Firefox
Verbling Screensharing,https://addons.mozilla.org/en-US/firefox/addon/verbling-screenshare-addon/?src=search,22,slide,Firefox
PplUMayShit: Irritating FB People U May Know Hider,https://addons.mozilla.org/en-US/firefox/addon/sadaf2605/?src=search,23,slide,Firefox
Picture Browser,https://addons.mozilla.org/en-US/firefox/addon/picture-browser/?src=search,24,slide,Firefox
Liquid Tabs,https://addons.mozilla.org/en-US/firefox/addon/liquid-tabs/?src=search,25,slide,Firefox
Facebook Page Revealer (Uncover),https://addons.mozilla.org/en-US/firefox/addon/facebook-page-revealer-uncover/?src=search,26,slide,Firefox
YMail Notifier,https://addons.mozilla.org/en-US/firefox/addon/ymail-notifier/?src=search,27,slide,Firefox
BlogRovR,https://addons.mozilla.org/en-US/firefox/addon/blogrovr/?src=search,28,slide,Firefox
Selected text reader,https://addons.mozilla.org/en-US/firefox/addon/selected-text-reader/?src=search,29,slide,Firefox
tumblr Downloader Professional,https://addons.mozilla.org/en-US/firefox/addon/tumblr-image-search/?src=search,30,slide,Firefox
Friendbar - The Twitter and Facebook Toolbar,https://addons.mozilla.org/en-US/firefox/addon/friendbar-the-twitter-and-face/?src=search,31,slide,Firefox
Scrolling Gestures,https://addons.mozilla.org/en-US/firefox/addon/scrolling-gestures/?src=search,32,slide,Firefox
Xyberhome,https://addons.mozilla.org/en-US/firefox/addon/xyberhome/?src=search,33,slide,Firefox
Globality Screen Sharing Extension,https://addons.mozilla.org/en-US/firefox/addon/globality-screen-sharing-ext/?src=search,34,slide,Firefox
Fun Games,https://addons.mozilla.org/en-US/firefox/addon/gpsc/?src=search,35,slide,Firefox
slingalink,https://addons.mozilla.org/en-US/firefox/addon/slingalink-8504/?src=search,36,slide,Firefox
Line,https://addons.mozilla.org/en-US/firefox/addon/line-1/?src=search,37,slide,Firefox
AdBusters - AdBlocker + Ad-O-Meter,https://addons.mozilla.org/en-US/firefox/addon/ad-busters/?src=search,38,slide,Firefox
Corriere della Sera reload blocker,https://addons.mozilla.org/en-US/firefox/addon/corriere-reload-blocker/?src=search,39,slide,Firefox
FabricPit,https://addons.mozilla.org/en-US/firefox/addon/fabricpit/?src=search,40,slide,Firefox
SlideshowPlayer,https://addons.mozilla.org/en-US/firefox/addon/slideshowplayer/?src=search,41,slide,Firefox
AutoSlideshow,https://addons.mozilla.org/en-US/firefox/addon/autoslideshow/?src=search,42,slide,Firefox
RUAnnoyed,https://addons.mozilla.org/en-US/firefox/addon/ruannoyed/?src=search,43,slide,Firefox
No Slideshows!,https://addons.mozilla.org/en-US/firefox/addon/no-slideshows/?src=search,44,slide,Firefox
ContentBlockHelper,https://addons.mozilla.org/en-US/firefox/addon/contentblockhelper10/?src=search,45,slide,Firefox
TEST4U Online,https://addons.mozilla.org/en-US/firefox/addon/test4u-online/?src=search,46,slide,Firefox
SlideShare,https://addons.mozilla.org/en-US/firefox/addon/slideshare/?src=search,47,slide,Firefox
Find it on Fotolia!,https://addons.mozilla.org/en-US/firefox/addon/find-it-on-fotolia/?src=search,48,slide,Firefox
