job_name,job_id,job_url,listing_type,company,location,search_rank
Data Analyst H/F,49409921e2e99868,https://www.indeed.fr/voir-emploi?jk=49409921e2e99868,sponsoredJob,Malakoff médéric,Paris 13e (75),1
Data Manager / Data Analyst,ed8113fcf733821d,https://www.indeed.fr/voir-emploi?jk=ed8113fcf733821d,sponsoredJob,Société d’études marketing quantitatives internationales,Lyon (69),2
Consultant en Intelligence Artificielle - Stagiaire/Jeune di...,d9adeaec3f718da9,https://www.indeed.fr/voir-emploi?jk=d9adeaec3f718da9,sponsoredJob,Accenture,Sophia Antipolis (06),3
Data Analyst Junior,0a82fdb1b970f45b,https://www.indeed.fr/voir-emploi?jk=0a82fdb1b970f45b,organicJob,Le Lynx,Paris (75),4
Data Analyst (H/F),6eead129405c6407,https://www.indeed.fr/voir-emploi?jk=6eead129405c6407,organicJob,OmicX,Le Petit-Quevilly (76),5
DATA ANALYST H/F,a3f02ef1e2dbb926,https://www.indeed.fr/voir-emploi?jk=a3f02ef1e2dbb926,organicJob,Studiel,Monaco (06),6
Data Analyste Junior H/F,a99c9496c3f361f8,https://www.indeed.fr/voir-emploi?jk=a99c9496c3f361f8,organicJob,Venedim,Boulogne-Billancourt (92),7
Data Analyst H/F,6868bd4bf908a8e7,https://www.indeed.fr/voir-emploi?jk=6868bd4bf908a8e7,organicJob,LMACP,Paris (75),8
DATA REPORTING & PERFORMANCE JUNIOR ANALYST CDI 75116 Paris...,590975e6cb93cd61,https://www.indeed.fr/voir-emploi?jk=590975e6cb93cd61,organicJob,Kepler Cheuvreux,Paris 16e (75),9
Data Analyst H/F,773691b9db29bf0e,https://www.indeed.fr/voir-emploi?jk=773691b9db29bf0e,organicJob,KEOLIS,France,10
Data Analyst H/F,19fb721f22a076b3,https://www.indeed.fr/voir-emploi?jk=19fb721f22a076b3,organicJob,POINT SERVICE MOBILES,Paris (75),11
Data analyst marketing cross médias CDI H/F,0c6bb9c71828f2b7,https://www.indeed.fr/voir-emploi?jk=0c6bb9c71828f2b7,organicJob,TF1,France,12
Data Analyst Marketing (H/F) - Massy,e97e46cb2f9c3e59,https://www.indeed.fr/voir-emploi?jk=e97e46cb2f9c3e59,organicJob,Carrefour,Massy (91),13
Consultant - Digital Analytics Practice,8103727420984094,https://www.indeed.fr/voir-emploi?jk=8103727420984094,sponsoredJob,Amadeus,Nice (06),14
"Manager, Data Science",e8328ebe8f9a1c54,https://www.indeed.fr/voir-emploi?jk=e8328ebe8f9a1c54,sponsoredJob,Amadeus,Nice (06),15
Concepteur à Expert : domaine BI/Big data H/F,bf733432bc1e4ed7,https://www.indeed.fr/voir-emploi?jk=bf733432bc1e4ed7,sponsoredJob,CGI,Île-de-France,16
Product Marketing Manager,09dde158bafeb5e2,https://www.indeed.fr/voir-emploi?jk=09dde158bafeb5e2,sponsoredJob,ADP,Nanterre (92),17
Data Analyst H/F,34e8e4668e542943,https://www.indeed.fr/voir-emploi?jk=34e8e4668e542943,organicJob,Renault,Guyancourt (78),18
Data Manager / Data Analyst,ed8113fcf733821d,https://www.indeed.fr/voir-emploi?jk=ed8113fcf733821d,organicJob,Société d’études marketing quantitatives internati...,Lyon (69),19
DATA ANALYST,d96edbc4ae654fad,https://www.indeed.fr/voir-emploi?jk=d96edbc4ae654fad,organicJob,Besins Healthcare Monaco,Monaco (06),20
DATA ANALYST H/F,3020d708d52c1bcf,https://www.indeed.fr/voir-emploi?jk=3020d708d52c1bcf,organicJob,Pro à Pro Distribution,Montauban (82),21
Master Data Analyst H/F,95a9d8462dd1495f,https://www.indeed.fr/voir-emploi?jk=95a9d8462dd1495f,organicJob,Guerbet,France,22
Analyste BI - Client final,6530928063ff77d7,https://www.indeed.fr/voir-emploi?jk=6530928063ff77d7,organicJob,Westhouse,Lyon 3e (69),23
Data Analyst Big Data H/F,d357809c1cb15299,https://www.indeed.fr/voir-emploi?jk=d357809c1cb15299,organicJob,Econocom,Lyon (69),24
Data scientist (H/F),5b4ab024bdc5c2f3,https://www.indeed.fr/voir-emploi?jk=5b4ab024bdc5c2f3,organicJob,Monshowroom,Bordeaux (33),25
DATA ANALYST H/F,3f485c5502d84129,https://www.indeed.fr/voir-emploi?jk=3f485c5502d84129,organicJob,PIERRE FABRE S.A.,Castres (81),26
Data Analyst,4a36bad4d486d828,https://www.indeed.fr/voir-emploi?jk=4a36bad4d486d828,organicJob,direct energie,Paris 15e (75),27
Analyste Digital Confirmé H/F,37b39856382f9a38,https://www.indeed.fr/voir-emploi?jk=37b39856382f9a38,sponsoredJob,IBM Interactive,Île-de-France,28
Financial Commercial Manager,2e3eda1ce43e9670,https://www.indeed.fr/voir-emploi?jk=2e3eda1ce43e9670,sponsoredJob,Egencia,Courbevoie (92),29
Senior Data Analyst H/F,6a26555bcd42be92,https://www.indeed.fr/voir-emploi?jk=6a26555bcd42be92,sponsoredJob,AUDIENCE +,Paris (75),30
Analyste Statégie & BI,417f778093f375f6,https://www.indeed.fr/voir-emploi?jk=417f778093f375f6,organicJob,Monbanquet,Paris (75),31
Data analyst (H/F),e6813521b6bd7912,https://www.indeed.fr/voir-emploi?jk=e6813521b6bd7912,organicJob,aladium,Colombes (92),32
Data analyst H/F,2496111379b76352,https://www.indeed.fr/voir-emploi?jk=2496111379b76352,organicJob,Cdiscount,Bordeaux (33),33
Analyste Exploitation – TOULOUSE H/F,d408cd8f6f0dd421,https://www.indeed.fr/voir-emploi?jk=d408cd8f6f0dd421,organicJob,Air France-KLM,Toulouse (31),34
Data Scientist H/F,a0e5f6fd12550ef4,https://www.indeed.fr/voir-emploi?jk=a0e5f6fd12550ef4,organicJob,BNP Paribas,Issy-les-Moulineaux (92),35
Data Analyst France,4648660b8f9dbd80,https://www.indeed.fr/voir-emploi?jk=4648660b8f9dbd80,organicJob,Criteo,Paris (75),36
Analyste Exploitation – Nice Sophia Antipolis H/F,8a45d28de1161b40,https://www.indeed.fr/voir-emploi?jk=8a45d28de1161b40,organicJob,Air France-KLM,Nice (06),37
Data Quality Analyst H/F,1b556ea46b601e69,https://www.indeed.fr/voir-emploi?jk=1b556ea46b601e69,organicJob,BNP Paribas,Issy-les-Moulineaux (92),38
European Power Data Scientist Internship,8371a95d139ed70b,https://www.indeed.fr/voir-emploi?jk=8371a95d139ed70b,organicJob,EDF Trading,Paris (75),39
"Product Manager, Analytics Product, Data Quality",a968d36b69581f96,https://www.indeed.fr/voir-emploi?jk=a968d36b69581f96,organicJob,Criteo,Paris (75),40
Compliance Data Analyst - FircoSoft - Paris,7578e643922f3c18,https://www.indeed.fr/voir-emploi?jk=7578e643922f3c18,organicJob,LexisNexis,Paris (75),41
Data Analyst - Consultant(e) en stratégie digitale- Boulogne...,4590706198702d9c,https://www.indeed.fr/voir-emploi?jk=4590706198702d9c,organicJob,Synomia,Boulogne-Billancourt (92),42
DATA QUALITY ANALYST H/F,aa48078dfb1fa33f,https://www.indeed.fr/voir-emploi?jk=aa48078dfb1fa33f,organicJob,Aviva,Hauts-de-Seine,43
Data Analyst - Product Analytics,80864b60f693ce80,https://www.indeed.fr/voir-emploi?jk=80864b60f693ce80,organicJob,Criteo,Paris (75),44
Data Analyst - Data Analytics Team,6136633bfee932d4,https://www.indeed.fr/voir-emploi?jk=6136633bfee932d4,organicJob,Deezer,Paris (75),45
Data Analyst junior (H/F) - Massy,310ca1dc02119f8f,https://www.indeed.fr/voir-emploi?jk=310ca1dc02119f8f,organicJob,Carrefour,Massy (91),46
Data Analyst H/F,49657fafeec65aa4,https://www.indeed.fr/voir-emploi?jk=49657fafeec65aa4,organicJob,Accenture,Paris (75),47
Data Analyst,861cb0a66eca09a6,https://www.indeed.fr/voir-emploi?jk=861cb0a66eca09a6,organicJob,Chauffeur-Privé,Issy-les-Moulineaux (92),48
Data analyst junior - bac + 2/3 (h/f),32d868451d50c755,https://www.indeed.fr/voir-emploi?jk=32d868451d50c755,organicJob,Editions Francis Lefebvre,Levallois-Perret (92),49
Analyste Développeur Confirmé H/F,962d5b60b6cb9b36,https://www.indeed.fr/voir-emploi?jk=962d5b60b6cb9b36,sponsoredJob,Avéolis,Niort (79),50
Développeur Front-End ReactJS – CDI – 540,f23ef7f7debe4599,https://www.indeed.fr/voir-emploi?jk=f23ef7f7debe4599,sponsoredJob,JobProd,Paris (75),51
BI Analyste (H/F),65b6ab236a41b0e6,https://www.indeed.fr/voir-emploi?jk=65b6ab236a41b0e6,organicJob,Ubisoft,Montreuil (93),52
Data Analyst H/F,309b2161fb0e0ebf,https://www.indeed.fr/voir-emploi?jk=309b2161fb0e0ebf,organicJob,DAHER,Tours (37),53
Data Analyst Acquisition (H/F),cf875ecb24de2cd5,https://www.indeed.fr/voir-emploi?jk=cf875ecb24de2cd5,organicJob,Cdiscount,Bordeaux (33),54
CDI - DATA ANALYST H/F,9894668adfa4aac3,https://www.indeed.fr/voir-emploi?jk=9894668adfa4aac3,organicJob,MEDIAMETRIE,Levallois-Perret (92),55
INGENIEUR ETUDE ET DEVELOPPEMENT BIG DATA,776c975bd899de8f,https://www.indeed.fr/voir-emploi?jk=776c975bd899de8f,organicJob,Altran France,Valbonne (06),56
Stage,5292345e06bdb311,https://www.indeed.fr/voir-emploi?jk=5292345e06bdb311,organicJob,Actimage,Strasbourg (67),57
CDI - Data & Business Analyst Junior,3c3040f8c54c087c,https://www.indeed.fr/voir-emploi?jk=3c3040f8c54c087c,organicJob,Birchbox,Paris 17e (75),58
Data Analyst,dc30b9fd07cff4f5,https://www.indeed.fr/voir-emploi?jk=dc30b9fd07cff4f5,organicJob,BlaBlaCar,Paris (75),59
Revenue Management Strategy Analyst - Relocate to United Ara...,f2ab5e7311e5113a,https://www.indeed.fr/voir-emploi?jk=f2ab5e7311e5113a,sponsoredJob,Marriott International - Middle East and Africa,Paris (75),60
Développeur Java - J2EE H/F,0ec8fe71ebae5b37,https://www.indeed.fr/voir-emploi?jk=0ec8fe71ebae5b37,sponsoredJob,Apside,Centre-Val de Loire,61
Responsable Pôle Optimisations et Prévisions,79df441cafb883e3,https://www.indeed.fr/voir-emploi?jk=79df441cafb883e3,sponsoredJob,Auchan Retail France,Villeneuve-d'Ascq (59),62
Ingénieur Data Analyst H/F,52e01708d60bcaa7,https://www.indeed.fr/voir-emploi?jk=52e01708d60bcaa7,organicJob,CS Communication & Systèmes,Toulouse (31),63
Data Analyst (H/F),602bc62309023b52,https://www.indeed.fr/voir-emploi?jk=602bc62309023b52,organicJob,Extia,Paris (75),64
Data Analyst (H/F),b02c643a982a37af,https://www.indeed.fr/voir-emploi?jk=b02c643a982a37af,organicJob,Boursorama,France,65
STAGIAIRE / ALTERNANT(E) DATA ANALYST CRM (H/F),9f2bb7908c12a149,https://www.indeed.fr/voir-emploi?jk=9f2bb7908c12a149,organicJob,Sarenza,Paris (75),66
Data Analyst,4f9c221f79acf426,https://www.indeed.fr/voir-emploi?jk=4f9c221f79acf426,organicJob,Business & Decision,Lille (59),67
Analyste de données - Projet outil de l'incidentologue (H/F),e92b5d9756005887,https://www.indeed.fr/voir-emploi?jk=e92b5d9756005887,organicJob,Renault,Guyancourt (78),68
Coverage Data Analyst H/F,3d3740630428f499,https://www.indeed.fr/voir-emploi?jk=3d3740630428f499,organicJob,BNP Paribas,Nanterre (92),69
Data Analyst - Big Data F/H,5c599c2a8975aa36,https://www.indeed.fr/voir-emploi?jk=5c599c2a8975aa36,organicJob,GENICORP,Colombes (92),70
