job_name,job_id,job_url,listing_type,company,location,search_rank
Data Analyst H/F,49409921e2e99868,https://www.indeed.fr/voir-emploi?jk=49409921e2e99868,sponsoredJob,Malakoff médéric,Paris 13e (75),1
BIG DATA MANAGER (H/F),4f8855f2c86f1223,https://www.indeed.fr/voir-emploi?jk=4f8855f2c86f1223,sponsoredJob,HURRYMAN,Paris (75),2
Data Analyst (H/F),df7cd7c76638ce56,https://www.indeed.fr/voir-emploi?jk=df7cd7c76638ce56,sponsoredJob,Extia,Paris (75),3
Data Analyst Junior,0a82fdb1b970f45b,https://www.indeed.fr/voir-emploi?jk=0a82fdb1b970f45b,organicJob,Le Lynx,Paris (75),4
DATA REPORTING & PERFORMANCE JUNIOR ANALYST CDI 75116 Paris...,590975e6cb93cd61,https://www.indeed.fr/voir-emploi?jk=590975e6cb93cd61,organicJob,Kepler Cheuvreux,Paris 16e (75),5
Data Analyst H/F,6868bd4bf908a8e7,https://www.indeed.fr/voir-emploi?jk=6868bd4bf908a8e7,organicJob,LMACP,Paris (75),6
Data Analyst H/F,19fb721f22a076b3,https://www.indeed.fr/voir-emploi?jk=19fb721f22a076b3,organicJob,POINT SERVICE MOBILES,Paris (75),7
Data Analyst,4a36bad4d486d828,https://www.indeed.fr/voir-emploi?jk=4a36bad4d486d828,organicJob,direct energie,Paris 15e (75),8
Data Analyste Junior H/F,a99c9496c3f361f8,https://www.indeed.fr/voir-emploi?jk=a99c9496c3f361f8,organicJob,Venedim,Boulogne-Billancourt (92),9
Analyste Statégie & BI,417f778093f375f6,https://www.indeed.fr/voir-emploi?jk=417f778093f375f6,organicJob,Monbanquet,Paris (75),10
Data Analyst France,4648660b8f9dbd80,https://www.indeed.fr/voir-emploi?jk=4648660b8f9dbd80,organicJob,Criteo,Paris (75),11
European Power Data Scientist Internship,8371a95d139ed70b,https://www.indeed.fr/voir-emploi?jk=8371a95d139ed70b,organicJob,EDF Trading,Paris (75),12
"Product Manager, Analytics Product, Data Quality",a968d36b69581f96,https://www.indeed.fr/voir-emploi?jk=a968d36b69581f96,organicJob,Criteo,Paris (75),13
consultant informatique Data Analyst (H/F),0fb15306fc951010,https://www.indeed.fr/voir-emploi?jk=0fb15306fc951010,sponsoredJob,Novagen Conseil,Puteaux (92),14
DATA ANALYST EXPERIMENTÉ H/F,5069acb19e1f578e,https://www.indeed.fr/voir-emploi?jk=5069acb19e1f578e,sponsoredJob,Malakoff médéric,Paris (75),15
Développeur BIG DATA SCALA - SPARK - MASSY,3445bf170adb1399,https://www.indeed.fr/voir-emploi?jk=3445bf170adb1399,sponsoredJob,AGILICIO,Palaiseau (91),16
Analyste Système H/F,9c34357c4dc37e87,https://www.indeed.fr/voir-emploi?jk=9c34357c4dc37e87,sponsoredJob,Bouygues Telecom,Meudon (92),17
Compliance Data Analyst - FircoSoft - Paris,7578e643922f3c18,https://www.indeed.fr/voir-emploi?jk=7578e643922f3c18,organicJob,LexisNexis,Paris (75),18
Data Analyst - Product Analytics,80864b60f693ce80,https://www.indeed.fr/voir-emploi?jk=80864b60f693ce80,organicJob,Criteo,Paris (75),19
Data Analyst - Data Analytics Team,6136633bfee932d4,https://www.indeed.fr/voir-emploi?jk=6136633bfee932d4,organicJob,Deezer,Paris (75),20
Data Analyst H/F,49657fafeec65aa4,https://www.indeed.fr/voir-emploi?jk=49657fafeec65aa4,organicJob,Accenture,Paris (75),21
CDI - Data & Business Analyst Junior,3c3040f8c54c087c,https://www.indeed.fr/voir-emploi?jk=3c3040f8c54c087c,organicJob,Birchbox,Paris 17e (75),22
Data Analyst,dc30b9fd07cff4f5,https://www.indeed.fr/voir-emploi?jk=dc30b9fd07cff4f5,organicJob,BlaBlaCar,Paris (75),23
Data analyst (H/F),e6813521b6bd7912,https://www.indeed.fr/voir-emploi?jk=e6813521b6bd7912,organicJob,aladium,Colombes (92),24
Data Analyst (H/F),602bc62309023b52,https://www.indeed.fr/voir-emploi?jk=602bc62309023b52,organicJob,Extia,Paris (75),25
STAGIAIRE / ALTERNANT(E) DATA ANALYST CRM (H/F),9f2bb7908c12a149,https://www.indeed.fr/voir-emploi?jk=9f2bb7908c12a149,organicJob,Sarenza,Paris (75),26
Data Scientist H/F,a0e5f6fd12550ef4,https://www.indeed.fr/voir-emploi?jk=a0e5f6fd12550ef4,organicJob,BNP Paribas,Issy-les-Moulineaux (92),27
BUSINESS ANALYST H/F,004812858e2e099d,https://www.indeed.fr/voir-emploi?jk=004812858e2e099d,sponsoredJob,CPM France,Issy-les-Moulineaux (92),28
Analyste Développeur DataStage H/F,1efc835c2df588a8,https://www.indeed.fr/voir-emploi?jk=1efc835c2df588a8,sponsoredJob,Free Services,Paris (75),29
Data Analyst,5b9b53c4e98ecd1d,https://www.indeed.fr/voir-emploi?jk=5b9b53c4e98ecd1d,sponsoredJob,Smart AdServer,Paris 9e (75),30
Data Analyst Marketing (H/F) - Massy,e97e46cb2f9c3e59,https://www.indeed.fr/voir-emploi?jk=e97e46cb2f9c3e59,organicJob,Carrefour,Massy (91),31
Data Quality Analyst H/F,1b556ea46b601e69,https://www.indeed.fr/voir-emploi?jk=1b556ea46b601e69,organicJob,BNP Paribas,Issy-les-Moulineaux (92),32
Data Analyst,44961a7c6da9c3ad,https://www.indeed.fr/voir-emploi?jk=44961a7c6da9c3ad,organicJob,BMCE EUROSERVICES,Paris 8e (75),33
Data Analyst (H/F),49b9f0928a843b8f,https://www.indeed.fr/voir-emploi?jk=49b9f0928a843b8f,organicJob,Renault,Le Plessis-Robinson (92),34
Data Analyst F/H,d1217fc4b0cfda9d,https://www.indeed.fr/voir-emploi?jk=d1217fc4b0cfda9d,organicJob,KRAVEN PARTNERS,Paris 2e (75),35
Data analyst junior - bac + 2/3 (h/f),32d868451d50c755,https://www.indeed.fr/voir-emploi?jk=32d868451d50c755,organicJob,Editions Francis Lefebvre,Levallois-Perret (92),36
BI Analyste (H/F),65b6ab236a41b0e6,https://www.indeed.fr/voir-emploi?jk=65b6ab236a41b0e6,organicJob,Ubisoft,Montreuil (93),37
Data scientist,acf56690b718ddf0,https://www.indeed.fr/voir-emploi?jk=acf56690b718ddf0,organicJob,Happn,Paris (75),38
CDI – Financial Data Analyst (H/F),e892b99166127eaa,https://www.indeed.fr/voir-emploi?jk=e892b99166127eaa,organicJob,Netbooster,Paris (75),39
Data Analyst & Marketing Web,703dc9c851aa7289,https://www.indeed.fr/voir-emploi?jk=703dc9c851aa7289,organicJob,MANOMANO,Paris 16e (75),40
CDI - DATA ANALYST H/F,9894668adfa4aac3,https://www.indeed.fr/voir-emploi?jk=9894668adfa4aac3,organicJob,MEDIAMETRIE,Levallois-Perret (92),41
Data Analyst - Consultant(e) en stratégie digitale- Boulogne...,4590706198702d9c,https://www.indeed.fr/voir-emploi?jk=4590706198702d9c,organicJob,Synomia,Boulogne-Billancourt (92),42
Data Lake Product Owner,be4e7d110f228ebe,https://www.indeed.fr/voir-emploi?jk=be4e7d110f228ebe,organicJob,AXA Funds Management,Paris (75),43
Data Analyst,861cb0a66eca09a6,https://www.indeed.fr/voir-emploi?jk=861cb0a66eca09a6,organicJob,Chauffeur-Privé,Issy-les-Moulineaux (92),44
Analyste Activité - Data miner F/H,dacfbb18d111e33a,https://www.indeed.fr/voir-emploi?jk=dacfbb18d111e33a,organicJob,UJA,Paris 10e (75),45
"Project Manager, Data Solutions",9f9c1bff985331d7,https://www.indeed.fr/voir-emploi?jk=9f9c1bff985331d7,organicJob,Veeva Systems,Paris (75),46
DATA ANALYST MARKETING,34213bcea8a0012f,https://www.indeed.fr/voir-emploi?jk=34213bcea8a0012f,organicJob,So Shape,Paris (75),47
Data Analyst F/H,ee5049b2c55980f9,https://www.indeed.fr/voir-emploi?jk=ee5049b2c55980f9,organicJob,DIRECT ENERGIE,Paris 15e (75),48
Product Manager Data & Visualisation,25abc9fc2f359063,https://www.indeed.fr/voir-emploi?jk=25abc9fc2f359063,organicJob,Fifty Five,Paris (75),49
Compliance Data Analyst - FircoSoft - Paris,f0614ad2765e06e3,https://www.indeed.fr/voir-emploi?jk=f0614ad2765e06e3,organicJob,Reed Business Information,Paris (75),50
Data Analyst – Advertiser 100% Project,a7a2c378b1f60663,https://www.indeed.fr/voir-emploi?jk=a7a2c378b1f60663,organicJob,Criteo,Paris (75),51
Data Analyst,76ebb6ef2d1736d1,https://www.indeed.fr/voir-emploi?jk=76ebb6ef2d1736d1,organicJob,Businessdata consulting,Paris (75),52
