job_name,job_id,job_url,listing_type,company,location,search_rank
Data Engineer (H/F) - Rejoignez une Startup!,b0b98b7588be6f89,https://www.indeed.fr/voir-emploi?jk=b0b98b7588be6f89,sponsoredJob,VisitData,Paris 12e (75),1
Data Engineer - Scala/Python/Hortonworks - H/F,811305c7441cdb1d,https://www.indeed.fr/voir-emploi?jk=811305c7441cdb1d,sponsoredJob,FINAXYS,Neuilly-sur-Seine (92),2
Architecte Big Data - H/F,487207d9c876cd11,https://www.indeed.fr/voir-emploi?jk=487207d9c876cd11,sponsoredJob,SP SEARCH,Paris (75),3
Data engineer – Traitements distribués (H/F),c742d72c9e86d4de,https://www.indeed.fr/voir-emploi?jk=c742d72c9e86d4de,organicJob,Ministère de la Défense,Paris (75),4
Data Engineer (H/F),9982fe2561aaa560,https://www.indeed.fr/voir-emploi?jk=9982fe2561aaa560,organicJob,Accenture,Paris (75),5
Data Engineer F/H,bc32a21e0bc58133,https://www.indeed.fr/voir-emploi?jk=bc32a21e0bc58133,organicJob,E BIZNEXT,Paris 8e (75),6
Data Engineer F/H,38bf46279d27639b,https://www.indeed.fr/voir-emploi?jk=38bf46279d27639b,organicJob,1000MERCIS,Paris 9e (75),7
Machine Learning Engineer,4e61ff371c4a8d2f,https://www.indeed.fr/voir-emploi?jk=4e61ff371c4a8d2f,organicJob,Rythm,Paris (75),8
Data Engineer,93ea63bc208b5cd1,https://www.indeed.fr/voir-emploi?jk=93ea63bc208b5cd1,organicJob,BlaBlaCar,Paris (75),9
Data Analyst,dc30b9fd07cff4f5,https://www.indeed.fr/voir-emploi?jk=dc30b9fd07cff4f5,organicJob,BlaBlaCar,Paris (75),10
Data Engineer – Data Warehouse/Analytics (M/F),1940107d6541713a,https://www.indeed.fr/voir-emploi?jk=1940107d6541713a,organicJob,Dailymotion,Paris (75),11
ARAMIS - Modeling progression of brain diseases from neuro i...,efe9dad5127803bb,https://www.indeed.fr/voir-emploi?jk=efe9dad5127803bb,organicJob,Inria,Paris (75),12
Data Analyst,861cb0a66eca09a6,https://www.indeed.fr/voir-emploi?jk=861cb0a66eca09a6,organicJob,Chauffeur-Privé,Issy-les-Moulineaux (92),13
Software Engineer Big Data - H/F,b4d4f5caf1f387bd,https://www.indeed.fr/voir-emploi?jk=b4d4f5caf1f387bd,sponsoredJob,Ysance,Paris (75),14
Data Engineer - H/F,a8151f20b4f0522c,https://www.indeed.fr/voir-emploi?jk=a8151f20b4f0522c,sponsoredJob,PepITe.io,Boulogne-Billancourt (92),15
B2B Major Account Executive,2831ae5c4c24277d,https://www.indeed.fr/voir-emploi?jk=2831ae5c4c24277d,sponsoredJob,ADP,Nanterre (92),16
Développeur Java Microservices H/F / Microservices Java Deve...,026dbccc48182add,https://www.indeed.fr/voir-emploi?jk=026dbccc48182add,sponsoredJob,Egencia,Courbevoie (92),17
Data Engineer (H/F) - Rejoignez une Startup!,b0b98b7588be6f89,https://www.indeed.fr/voir-emploi?jk=b0b98b7588be6f89,organicJob,VisitData,Paris 12e (75),18
Data Engineer,47d67453985e4bd5,https://www.indeed.fr/voir-emploi?jk=47d67453985e4bd5,organicJob,Chauffeur-Privé,Issy-les-Moulineaux (92),19
Core Developer - Data/Search & Recommendation (M/F),10355b5384157dc6,https://www.indeed.fr/voir-emploi?jk=10355b5384157dc6,organicJob,Dailymotion,Paris (75),20
Data Engineer,338190a5f86c5c38,https://www.indeed.fr/voir-emploi?jk=338190a5f86c5c38,organicJob,Pretty Simple,Paris (75),21
"Agency Measurement Partner - Data, France",649164377d8badd0,https://www.indeed.fr/voir-emploi?jk=649164377d8badd0,organicJob,Facebook,Paris (75),22
Data scientist,acf56690b718ddf0,https://www.indeed.fr/voir-emploi?jk=acf56690b718ddf0,organicJob,Happn,Paris (75),23
Data Engineer H/F,bc11b5422e14ff17,https://www.indeed.fr/voir-emploi?jk=bc11b5422e14ff17,organicJob,La Mutuelle Générale,Paris (75),24
H/F Data Engineer Assistant,87c948a4a171f77d,https://www.indeed.fr/voir-emploi?jk=87c948a4a171f77d,organicJob,,Paris (75),25
FP&A Data Analytics - Intern,f40a8ef29aaaa101,https://www.indeed.fr/voir-emploi?jk=f40a8ef29aaaa101,organicJob,Criteo,Paris (75),26
Data Engineer H/F,0b7e059617507679,https://www.indeed.fr/voir-emploi?jk=0b7e059617507679,organicJob,Eurogiciel,Paris (75),27
Data Visualization Engineer,c83e82d158eb2020,https://www.indeed.fr/voir-emploi?jk=c83e82d158eb2020,sponsoredJob,General Electric,France,28
H/F Data Engineer Assistant,87c948a4a171f77d,https://www.indeed.fr/voir-emploi?jk=87c948a4a171f77d,sponsoredJob,,Paris (75),29
Concepteur à Expert : domaine BI/Big data H/F,bf733432bc1e4ed7,https://www.indeed.fr/voir-emploi?jk=bf733432bc1e4ed7,sponsoredJob,CGI,Île-de-France,30
Electrician - Relocate to United Arab Emirates,b674b40380613d4a,https://www.indeed.fr/voir-emploi?jk=b674b40380613d4a,sponsoredJob,Marriott International - Middle East and Africa,Paris (75),31
Cost Engineer,b443c732d42d6898,https://www.indeed.fr/voir-emploi?jk=b443c732d42d6898,sponsoredJob,Airbus,Paris (75),32
H/F Data Engineer Assistant,a8830287a898b357,https://www.indeed.fr/voir-emploi?jk=a8830287a898b357,organicJob,1000mercis,Paris (75),33
Data Engineer F/H,2c8980a685e32606,https://www.indeed.fr/voir-emploi?jk=2c8980a685e32606,organicJob,DATA RECRUTEMENT,Paris 1er (75),34
"Data Integration Engineer, France",73fd26a621901a18,https://www.indeed.fr/voir-emploi?jk=73fd26a621901a18,organicJob,QuintilesIMS,Paris (75),35
ENGIE DIgital - DATA ENGINEER (F/H),651b2d9dcd87632e,https://www.indeed.fr/voir-emploi?jk=651b2d9dcd87632e,organicJob,ENGIE,Paris (75),36
Data Engineer H/F,3d188b627fbfd59c,https://www.indeed.fr/voir-emploi?jk=3d188b627fbfd59c,organicJob,Loyalty Company,Paris (75),37
3D Data Engineer,a72f5cdfcb415343,https://www.indeed.fr/voir-emploi?jk=a72f5cdfcb415343,organicJob,Sketchfab,Paris (75),38
ENGIE DIgital - DATA ENGINEER (F/M),0bd297a80d7a02df,https://www.indeed.fr/voir-emploi?jk=0bd297a80d7a02df,organicJob,ENGIE,Paris (75),39
BIG DATA ENGINEER,bfec2676ba247126,https://www.indeed.fr/voir-emploi?jk=bfec2676ba247126,organicJob,Tradelab,Paris (75),40
Head of Data Security,55d31b807d8601e0,https://www.indeed.fr/voir-emploi?jk=55d31b807d8601e0,organicJob,Doctolib,Paris (75),41
Data Engineer | IA | 50-80K€,5b48d50bd7044734,https://www.indeed.fr/voir-emploi?jk=5b48d50bd7044734,organicJob,Data Recrutement : 100+ entreprises en forte crois...,Paris (75),42
Ingénieur Sécurité des Systèmes d'Information et de Communic...,965b314df1afa4cd,https://www.indeed.fr/voir-emploi?jk=965b314df1afa4cd,sponsoredJob,Thales,Gennevilliers (92),43
FPGA Design Engineer,701aa5ed7b97aafe,https://www.indeed.fr/voir-emploi?jk=701aa5ed7b97aafe,sponsoredJob,IC Resources,Paris (75),44
Carpenter - Relocate to United Arab Emirates,18110b2ae4ecbbc7,https://www.indeed.fr/voir-emploi?jk=18110b2ae4ecbbc7,sponsoredJob,Makkah Clock Royal Tower - A Fairmont Hotel,Paris (75),45
Delivery Manager - Big Data,619cea1b6cf86eb6,https://www.indeed.fr/voir-emploi?jk=619cea1b6cf86eb6,organicJob,Talend,Suresnes (92),46
