job_name,job_id,job_url,listing_type,company,location,search_rank
Chef de projets Data Scientist – H/F,b82b5b73cd99bcc7,https://www.indeed.fr/voir-emploi?jk=b82b5b73cd99bcc7,sponsoredJob,Micropole,Levallois-Perret (92),1
Data Scientist H/F,0545b4cb7f545ee6,https://www.indeed.fr/voir-emploi?jk=0545b4cb7f545ee6,sponsoredJob,BNP Paribas Personal Finance,Levallois-Perret (92),2
"Manager, Data Science",e8328ebe8f9a1c54,https://www.indeed.fr/voir-emploi?jk=e8328ebe8f9a1c54,sponsoredJob,Amadeus,Nice (06),3
Data scientist Lyon F/H,68b6aee263df6f8b,https://www.indeed.fr/voir-emploi?jk=68b6aee263df6f8b,organicJob,MP DATA,Lyon 1er (69),4
Data Scientist H/F,2def668a89a3cf69,https://www.indeed.fr/voir-emploi?jk=2def668a89a3cf69,organicJob,BNP Paribas,Paris (75),5
Jedi Data Scientist CDI,aecf370ac2d96851,https://www.indeed.fr/voir-emploi?jk=aecf370ac2d96851,organicJob,Wuha,Lyon 5e (69),6
Data Scientist,896157bfd29c6b0a,https://www.indeed.fr/voir-emploi?jk=896157bfd29c6b0a,organicJob,Leadformance,Le Bourget-du-Lac (73),7
Data Scientist (H/F),23bb9997f80d6ade,https://www.indeed.fr/voir-emploi?jk=23bb9997f80d6ade,organicJob,SCMSA,Paris 8e (75),8
Data Scientist,ed27ee2365a5a151,https://www.indeed.fr/voir-emploi?jk=ed27ee2365a5a151,organicJob,Infotel,Toulouse (31),9
Data Scientist F/H,232bffa3e50b485d,https://www.indeed.fr/voir-emploi?jk=232bffa3e50b485d,organicJob,QUADRA,Lyon 1er (69),10
Data Scientist,c0e0d79df980509b,https://www.indeed.fr/voir-emploi?jk=c0e0d79df980509b,organicJob,Dailymotion,Paris (75),11
Data Scientist,0dd619e6c36f7160,https://www.indeed.fr/voir-emploi?jk=0dd619e6c36f7160,organicJob,Sigfox,Labège (31),12
Data Scientist,2f283493f2373f69,https://www.indeed.fr/voir-emploi?jk=2f283493f2373f69,organicJob,Business & Decision,Lille (59),13
Data Scientist,ac2b53c6c3c3f06f,https://www.indeed.fr/voir-emploi?jk=ac2b53c6c3c3f06f,sponsoredJob,ManaSoft,Évry (91),14
Data Scientist H/F,ca9a676c89971899,https://www.indeed.fr/voir-emploi?jk=ca9a676c89971899,sponsoredJob,Sopra Steria,Toulouse (31),15
Développeur mobile / les pieds dans l'eau H/F,ec6c88be3cca0861,https://www.indeed.fr/voir-emploi?jk=ec6c88be3cca0861,sponsoredJob,Women Digital Clinic,Plouharnel (56),16
Data Scientist H/F,1b298d915c9aa22f,https://www.indeed.fr/voir-emploi?jk=1b298d915c9aa22f,sponsoredJob,Solocal Group,Boulogne-Billancourt (92),17
Data scientist (H/F),5b4ab024bdc5c2f3,https://www.indeed.fr/voir-emploi?jk=5b4ab024bdc5c2f3,organicJob,Monshowroom,Bordeaux (33),18
Data Scientist H/F,5ccf5c153bc31632,https://www.indeed.fr/voir-emploi?jk=5ccf5c153bc31632,organicJob,Eurogiciel,Toulouse (31),19
Data Scientist-(H/F),509f5788b7fc39bf,https://www.indeed.fr/voir-emploi?jk=509f5788b7fc39bf,organicJob,Société Générale,Hauts-de-Seine,20
Data Scientist (H/F),4acfbf1a0ac805d7,https://www.indeed.fr/voir-emploi?jk=4acfbf1a0ac805d7,organicJob,Thales,Lyon (69),21
Data Scientist,95e1c36247692413,https://www.indeed.fr/voir-emploi?jk=95e1c36247692413,organicJob,Invenis,Paris (75),22
Data Scientist,e59a70c886a108cf,https://www.indeed.fr/voir-emploi?jk=e59a70c886a108cf,organicJob,IKO SYSTEM,Paris (75),23
Statisticien / Datascientist-(H/F),19c49b53ee1c2b9b,https://www.indeed.fr/voir-emploi?jk=19c49b53ee1c2b9b,organicJob,Société Générale,Hauts-de-Seine,24
Data Scientist,f98561d8c7e85f3e,https://www.indeed.fr/voir-emploi?jk=f98561d8c7e85f3e,organicJob,Teads,Montpellier (34),25
Machine Learning Data Scientist H/F,9f3b4f568e09b278,https://www.indeed.fr/voir-emploi?jk=9f3b4f568e09b278,organicJob,Cdiscount,Bordeaux (33),26
Data Scientist,efba8e6a3fceb170,https://www.indeed.fr/voir-emploi?jk=efba8e6a3fceb170,organicJob,Weave,Paris (75),27
Data Scientist,2c24b0c9dae9ba92,https://www.indeed.fr/voir-emploi?jk=2c24b0c9dae9ba92,sponsoredJob,Metro,Nanterre (92),28
Stage Data Scientist - HF,5dc4d4edee502379,https://www.indeed.fr/voir-emploi?jk=5dc4d4edee502379,sponsoredJob,UNIVERSAL MEDICA,Saint-Cloud (92),29
Développeur full-stack python H/F,7a8c4bdb9e751a3d,https://www.indeed.fr/voir-emploi?jk=7a8c4bdb9e751a3d,sponsoredJob,Wecover,Paris (75),30
Data Scientist Cybersécurité H/F,be79c8dafa6f6c0f,https://www.indeed.fr/voir-emploi?jk=be79c8dafa6f6c0f,sponsoredJob,,Toulouse (31),31
Lead developpeur full stack,bbf4a35444ef7b18,https://www.indeed.fr/voir-emploi?jk=bbf4a35444ef7b18,sponsoredJob,JobProd,Paris (75),32
Machine Learning Scientist - Paris,aae10ddef059b2e6,https://www.indeed.fr/voir-emploi?jk=aae10ddef059b2e6,organicJob,Skylads,Paris (75),33
Data Scientist - Concepteur d'outils,6476d92789bc1ae6,https://www.indeed.fr/voir-emploi?jk=6476d92789bc1ae6,organicJob,Groupe Crédit Agricole,Montrouge (92),34
DataScientist - H/F,2ecc73d79c9c36a4,https://www.indeed.fr/voir-emploi?jk=2ecc73d79c9c36a4,organicJob,Enedis,Lyon (69),35
Ingénieur Data Scientist H/F,8bbfee8089e6db2b,https://www.indeed.fr/voir-emploi?jk=8bbfee8089e6db2b,organicJob,CS Communication & Systèmes,Toulouse (31),36
