location_name,location_url,search_rank,search_term,location_found
French Open,https://www.tripadvisor.com/Attraction_Review-g187147-d8820231-Reviews-French_Open-Paris_Ile_de_France.html,1,France,"Ile-de-France, France"
"Musee d'Orsay
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d188150-Reviews-Musee_d_Orsay-Paris_Ile_de_France.html,2,France,"Ile-de-France, France"
"Eiffel Tower
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d188151-Reviews-Eiffel_Tower-Paris_Ile_de_France.html,3,France,"Ile-de-France, France"
"Musee du Louvre
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d188757-Reviews-Musee_du_Louvre-Paris_Ile_de_France.html,4,France,"Ile-de-France, France"
"Notre Dame Cathedral
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d188679-Reviews-Notre_Dame_Cathedral-Paris_Ile_de_France.html,5,France,"Ile-de-France, France"
"Sainte-Chapelle
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d190202-Reviews-Sainte_Chapelle-Paris_Ile_de_France.html,6,France,"Ile-de-France, France"
"Luxembourg Gardens
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d189687-Reviews-Luxembourg_Gardens-Paris_Ile_de_France.html,7,France,"Ile-de-France, France"
"Palais Garnier - Opera National de Paris
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d190204-Reviews-Palais_Garnier_Opera_National_de_Paris-Paris_Ile_de_France.html,8,France,"Ile-de-France, France"
"River Seine
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d189683-Reviews-River_Seine-Paris_Ile_de_France.html,9,France,"Ile-de-France, France"
City Tours (183),https://www.tripadvisor.com/Attractions-g187144-Activities-c42-t224-Ile_de_France.html,10,France,"Ile-de-France, France"
"Pont Alexandre III
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d265614-Reviews-Pont_Alexandre_III-Paris_Ile_de_France.html,11,France,"Ile-de-France, France"
"Basilica du Sacre-Coeur de Montmartre
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d190685-Reviews-Basilica_du_Sacre_Coeur_de_Montmartre-Paris_Ile_de_France.html,12,France,"Ile-de-France, France"
"Musee de l'Orangerie
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d265635-Reviews-Musee_de_l_Orangerie-Paris_Ile_de_France.html,13,France,"Ile-de-France, France"
"Arc de Triomphe
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d188709-Reviews-Arc_de_Triomphe-Paris_Ile_de_France.html,14,France,"Ile-de-France, France"
"Le Marais
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d292257-Reviews-Le_Marais-Paris_Ile_de_France.html,15,France,"Ile-de-France, France"
"Musee Rodin
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d188149-Reviews-Musee_Rodin-Paris_Ile_de_France.html,16,France,"Ile-de-France, France"
Room Escape Games (37),https://www.tripadvisor.com/Attractions-g187144-Activities-c56-t208-Ile_de_France.html,17,France,"Ile-de-France, France"
"Tours de la Cathedrale Notre-Dame
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d2397509-Reviews-Tours_de_la_Cathedrale_Notre_Dame-Paris_Ile_de_France.html,18,France,"Ile-de-France, France"
Private Tours (183),https://www.tripadvisor.com/Attractions-g187144-Activities-c42-t235-Ile_de_France.html,19,France,"Ile-de-France, France"
"Montmartre
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d189284-Reviews-Montmartre-Paris_Ile_de_France.html,20,France,"Ile-de-France, France"
"Saint Germain des Pres Quarter
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d191240-Reviews-Saint_Germain_des_Pres_Quarter-Paris_Ile_de_France.html,21,France,"Ile-de-France, France"
"Ile Saint-Louis
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d209761-Reviews-Ile_Saint_Louis-Paris_Ile_de_France.html,22,France,"Ile-de-France, France"
"Ile de la Cite
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d601755-Reviews-Ile_de_la_Cite-Paris_Ile_de_France.html,23,France,"Ile-de-France, France"
"Musee Marmottan
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d188485-Reviews-Musee_Marmottan-Paris_Ile_de_France.html,24,France,"Ile-de-France, France"
"Chateau de Versailles
(Versailles)",https://www.tripadvisor.com/Attraction_Review-g187148-d188681-Reviews-Chateau_de_Versailles-Versailles_Yvelines_Ile_de_France.html,25,France,"Ile-de-France, France"
Walking Tours (106),https://www.tripadvisor.com/Attractions-g187144-Activities-c42-t183-Ile_de_France.html,26,France,"Ile-de-France, France"
"Musee Nissim de Camondo
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d232159-Reviews-Musee_Nissim_de_Camondo-Paris_Ile_de_France.html,27,France,"Ile-de-France, France"
"Place des Vosges
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d188467-Reviews-Place_des_Vosges-Paris_Ile_de_France.html,28,France,"Ile-de-France, France"
"Musee Jacquemart-Andre
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d188761-Reviews-Musee_Jacquemart_Andre-Paris_Ile_de_France.html,29,France,"Ile-de-France, France"
"Army Museum
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d189245-Reviews-Army_Museum-Paris_Ile_de_France.html,30,France,"Ile-de-France, France"
"Trocadero
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d246750-Reviews-Trocadero-Paris_Ile_de_France.html,31,France,"Ile-de-France, France"
French Open,https://www.tripadvisor.com/Attraction_Review-g187147-d8820231-Reviews-French_Open-Paris_Ile_de_France.html,32,France,"Ile-de-France, France"
Taxis & Shuttles (168),https://www.tripadvisor.com/Attractions-g187144-Activities-c59-t182-Ile_de_France.html,33,France,"Ile-de-France, France"
"Chateau de Vaux-le-Vicomte
(Maincy)",https://www.tripadvisor.com/Attraction_Review-g660739-d246751-Reviews-Chateau_de_Vaux_le_Vicomte-Maincy_Seine_et_Marne_Ile_de_France.html,34,France,"Ile-de-France, France"
"Chapel of Our Lady of the Miraculous Medal
(Paris)",https://www.tripadvisor.com/Attraction_Review-g187147-d1759606-Reviews-Chapel_of_Our_Lady_of_the_Miraculous_Medal-Paris_Ile_de_France.html,35,France,"Ile-de-France, France"
