location_name,location_url,search_rank,search_term,location_found
City Tours (136),https://www.tripadvisor.com/Attractions-g293925-Activities-c42-t224-Ho_Chi_Minh_City.html,1,"Ho Chi Minh City, Viet Nam","Ho Chi Minh City, Vietnam"
Sightseeing Tours (135),https://www.tripadvisor.com/Attractions-g293925-Activities-c42-t139-Ho_Chi_Minh_City.html,2,"Ho Chi Minh City, Viet Nam","Ho Chi Minh City, Vietnam"
Private Tours (122),https://www.tripadvisor.com/Attractions-g293925-Activities-c42-t235-Ho_Chi_Minh_City.html,3,"Ho Chi Minh City, Viet Nam","Ho Chi Minh City, Vietnam"
Cu Chi Tunnels,https://www.tripadvisor.com/Attraction_Review-g293925-d2005826-Reviews-Cu_Chi_Tunnels-Ho_Chi_Minh_City.html,4,"Ho Chi Minh City, Viet Nam","Ho Chi Minh City, Vietnam"
War Remnants Museum,https://www.tripadvisor.com/Attraction_Review-g293925-d311103-Reviews-War_Remnants_Museum-Ho_Chi_Minh_City.html,5,"Ho Chi Minh City, Viet Nam","Ho Chi Minh City, Vietnam"
Food Tours (84),https://www.tripadvisor.com/Attractions-g293925-Activities-c42-t204-Ho_Chi_Minh_City.html,6,"Ho Chi Minh City, Viet Nam","Ho Chi Minh City, Vietnam"
Cultural Tours (91),https://www.tripadvisor.com/Attractions-g293925-Activities-c42-t225-Ho_Chi_Minh_City.html,7,"Ho Chi Minh City, Viet Nam","Ho Chi Minh City, Vietnam"
Historical & Heritage Tours (50),https://www.tripadvisor.com/Attractions-g293925-Activities-c42-t228-Ho_Chi_Minh_City.html,8,"Ho Chi Minh City, Viet Nam","Ho Chi Minh City, Vietnam"
Saigon Opera House (Ho Chi Minh Municipal Theater),https://www.tripadvisor.com/Attraction_Review-g293925-d454974-Reviews-Saigon_Opera_House_Ho_Chi_Minh_Municipal_Theater-Ho_Chi_Minh_City.html,9,"Ho Chi Minh City, Viet Nam","Ho Chi Minh City, Vietnam"
Bitexco Financial Tower - Saigon Skydeck,https://www.tripadvisor.com/Attraction_Review-g293925-d2037764-Reviews-Bitexco_Financial_Tower_Saigon_Skydeck-Ho_Chi_Minh_City.html,10,"Ho Chi Minh City, Viet Nam","Ho Chi Minh City, Vietnam"
