location_name,location_url,search_rank,search_term,location_found
Wimbledon,https://www.tripadvisor.com/Attraction_Review-g186338-d8820400-Reviews-Wimbledon-London_England.html,1,London,"London, England"
British Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187555-Reviews-British_Museum-London_England.html,2,London,"London, England"
National Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d188862-Reviews-National_Gallery-London_England.html,3,London,"London, England"
Tower of London,https://www.tripadvisor.com/Attraction_Review-g186338-d187547-Reviews-Tower_of_London-London_England.html,4,London,"London, England"
V&A - Victoria and Albert Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187556-Reviews-V_A_Victoria_and_Albert_Museum-London_England.html,5,London,"London, England"
Big Ben,https://www.tripadvisor.com/Attraction_Review-g186338-d211709-Reviews-Big_Ben-London_England.html,6,London,"London, England"
Walking Tours (246),https://www.tripadvisor.com/Attractions-g186338-Activities-c42-t183-London_England.html,7,London,"London, England"
Churchill War Rooms,https://www.tripadvisor.com/Attraction_Review-g186338-d194299-Reviews-Churchill_War_Rooms-London_England.html,8,London,"London, England"
Tower Bridge,https://www.tripadvisor.com/Attraction_Review-g186338-d187552-Reviews-Tower_Bridge-London_England.html,9,London,"London, England"
Houses of Parliament,https://www.tripadvisor.com/Attraction_Review-g186338-d211708-Reviews-Houses_of_Parliament-London_England.html,10,London,"London, England"
St. James's Park,https://www.tripadvisor.com/Attraction_Review-g186338-d188126-Reviews-St_James_s_Park-London_England.html,11,London,"London, England"
Hyde Park,https://www.tripadvisor.com/Attraction_Review-g186338-d189030-Reviews-Hyde_Park-London_England.html,12,London,"London, England"
Natural History Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187676-Reviews-Natural_History_Museum-London_England.html,13,London,"London, England"
Performances (102),https://www.tripadvisor.com/Attractions-g186338-Activities-c58-t111-London_England.html,14,London,"London, England"
Wallace Collection,https://www.tripadvisor.com/Attraction_Review-g186338-d187558-Reviews-Wallace_Collection-London_England.html,15,London,"London, England"
Westminster Abbey,https://www.tripadvisor.com/Attraction_Review-g186338-d189032-Reviews-Westminster_Abbey-London_England.html,16,London,"London, England"
City Tours (205),https://www.tripadvisor.com/Attractions-g186338-Activities-c42-t224-London_England.html,17,London,"London, England"
Borough Market,https://www.tripadvisor.com/Attraction_Review-g186338-d260500-Reviews-Borough_Market-London_England.html,18,London,"London, England"
