location_name,location_url,search_rank,search_term,location_found
Central Park,https://www.tripadvisor.com/Attraction_Review-g60763-d105127-Reviews-Central_Park-New_York_City_New_York.html,1,New York,"New York City, New York"
The National 9/11 Memorial & Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d1687489-Reviews-The_National_9_11_Memorial_Museum-New_York_City_New_York.html,2,New York,"New York City, New York"
The Metropolitan Museum of Art,https://www.tripadvisor.com/Attraction_Review-g60763-d105125-Reviews-The_Metropolitan_Museum_of_Art-New_York_City_New_York.html,3,New York,"New York City, New York"
Top of the Rock Observation Deck,https://www.tripadvisor.com/Attraction_Review-g60763-d587661-Reviews-Top_of_the_Rock_Observation_Deck-New_York_City_New_York.html,4,New York,"New York City, New York"
Manhattan Skyline,https://www.tripadvisor.com/Attraction_Review-g60763-d267031-Reviews-Manhattan_Skyline-New_York_City_New_York.html,5,New York,"New York City, New York"
City Tours (191),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t224-New_York_City_New_York.html,6,New York,"New York City, New York"
Grand Central Terminal,https://www.tripadvisor.com/Attraction_Review-g60763-d103371-Reviews-Grand_Central_Terminal-New_York_City_New_York.html,7,New York,"New York City, New York"
Broadway,https://www.tripadvisor.com/Attraction_Review-g60763-d143361-Reviews-Broadway-New_York_City_New_York.html,8,New York,"New York City, New York"
The High Line,https://www.tripadvisor.com/Attraction_Review-g60763-d519474-Reviews-The_High_Line-New_York_City_New_York.html,9,New York,"New York City, New York"
Frick Collection,https://www.tripadvisor.com/Attraction_Review-g60763-d107466-Reviews-Frick_Collection-New_York_City_New_York.html,10,New York,"New York City, New York"
Empire State Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104365-Reviews-Empire_State_Building-New_York_City_New_York.html,11,New York,"New York City, New York"
Broadway Shows (177),https://www.tripadvisor.com/Attractions-g60763-Activities-c58-t111-New_York_City_New_York.html,12,New York,"New York City, New York"
Walking Tours (187),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t183-New_York_City_New_York.html,13,New York,"New York City, New York"
Bryant Park,https://www.tripadvisor.com/Attraction_Review-g60763-d136347-Reviews-Bryant_Park-New_York_City_New_York.html,14,New York,"New York City, New York"
One World Observatory - World Trade Center,https://www.tripadvisor.com/Attraction_Review-g60763-d8072300-Reviews-One_World_Observatory_World_Trade_Center-New_York_City_New_York.html,15,New York,"New York City, New York"
Statue of Liberty,https://www.tripadvisor.com/Attraction_Review-g60763-d103887-Reviews-Statue_of_Liberty-New_York_City_New_York.html,16,New York,"New York City, New York"
St. Patrick's Cathedral,https://www.tripadvisor.com/Attraction_Review-g60763-d136053-Reviews-St_Patrick_s_Cathedral-New_York_City_New_York.html,17,New York,"New York City, New York"
Ground Zero Museum Workshop,https://www.tripadvisor.com/Attraction_Review-g60763-d626630-Reviews-Ground_Zero_Museum_Workshop-New_York_City_New_York.html,18,New York,"New York City, New York"
Staten Island Ferry,https://www.tripadvisor.com/Attraction_Review-g60763-d143363-Reviews-Staten_Island_Ferry-New_York_City_New_York.html,19,New York,"New York City, New York"
Radio City Music Hall,https://www.tripadvisor.com/Attraction_Review-g60763-d110164-Reviews-Radio_City_Music_Hall-New_York_City_New_York.html,20,New York,"New York City, New York"
Rockefeller Center,https://www.tripadvisor.com/Attraction_Review-g60763-d105123-Reviews-Rockefeller_Center-New_York_City_New_York.html,21,New York,"New York City, New York"
New York Public Library,https://www.tripadvisor.com/Attraction_Review-g60763-d116236-Reviews-New_York_Public_Library-New_York_City_New_York.html,22,New York,"New York City, New York"
Private Tours (109),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t235-New_York_City_New_York.html,23,New York,"New York City, New York"
Madison Square Garden,https://www.tripadvisor.com/Attraction_Review-g60763-d275371-Reviews-Madison_Square_Garden-New_York_City_New_York.html,24,New York,"New York City, New York"
The Met Cloisters,https://www.tripadvisor.com/Attraction_Review-g60763-d106609-Reviews-The_Met_Cloisters-New_York_City_New_York.html,25,New York,"New York City, New York"
Times Square,https://www.tripadvisor.com/Attraction_Review-g60763-d110145-Reviews-Times_Square-New_York_City_New_York.html,26,New York,"New York City, New York"
Tenement Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d104369-Reviews-Tenement_Museum-New_York_City_New_York.html,27,New York,"New York City, New York"
Boat Tours (43),https://www.tripadvisor.com/Attractions-g60763-Activities-c61-t167-New_York_City_New_York.html,28,New York,"New York City, New York"
Historical & Heritage Tours (88),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t228-New_York_City_New_York.html,29,New York,"New York City, New York"
Sightseeing Tours (144),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t139-New_York_City_New_York.html,30,New York,"New York City, New York"
American Museum of Natural History,https://www.tripadvisor.com/Attraction_Review-g60763-d210108-Reviews-American_Museum_of_Natural_History-New_York_City_New_York.html,31,New York,"New York City, New York"
