location_name,location_url,search_rank,search_term,location_found
Castle Hill,https://www.tripadvisor.com/Attraction_Review-g187234-d247503-Reviews-Castle_Hill-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,1,"Nice, France","Nice, France"
Old Town (Vieille Ville),https://www.tripadvisor.com/Attraction_Review-g187234-d254286-Reviews-Old_Town_Vieille_Ville-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,2,"Nice, France","Nice, France"
Promenade des Anglais,https://www.tripadvisor.com/Attraction_Review-g187234-d195658-Reviews-Promenade_des_Anglais-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,3,"Nice, France","Nice, France"
Musee National Marc Chagall,https://www.tripadvisor.com/Attraction_Review-g187234-d2323953-Reviews-Musee_National_Marc_Chagall-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d.html,4,"Nice, France","Nice, France"
Private Tours (33),https://www.tripadvisor.com/Attractions-g187234-Activities-c42-t235-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,5,"Nice, France","Nice, France"
Place Massena,https://www.tripadvisor.com/Attraction_Review-g187234-d195902-Reviews-Place_Massena-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,6,"Nice, France","Nice, France"
City Tours (25),https://www.tripadvisor.com/Attractions-g187234-Activities-c42-t224-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,7,"Nice, France","Nice, France"
Jardin du Monastere de Cimiez,https://www.tripadvisor.com/Attraction_Review-g187234-d4191604-Reviews-Jardin_du_Monastere_de_Cimiez-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote.html,8,"Nice, France","Nice, France"
"St Nicholas Orthodox Cathedral, Nice",https://www.tripadvisor.com/Attraction_Review-g187234-d195663-Reviews-St_Nicholas_Orthodox_Cathedral_Nice-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes.html,9,"Nice, France","Nice, France"
Cathedrale Sainte-Reparate,https://www.tripadvisor.com/Attraction_Review-g187234-d2476794-Reviews-Cathedrale_Sainte_Reparate-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_.html,10,"Nice, France","Nice, France"
