location_name,location_url,search_rank,search_term,location_found
French Open,https://www.tripadvisor.com/Attraction_Review-g187147-d8820231-Reviews-French_Open-Paris_Ile_de_France.html,1,Paris,"Paris, France"
Musee d'Orsay,https://www.tripadvisor.com/Attraction_Review-g187147-d188150-Reviews-Musee_d_Orsay-Paris_Ile_de_France.html,2,Paris,"Paris, France"
Eiffel Tower,https://www.tripadvisor.com/Attraction_Review-g187147-d188151-Reviews-Eiffel_Tower-Paris_Ile_de_France.html,3,Paris,"Paris, France"
Musee du Louvre,https://www.tripadvisor.com/Attraction_Review-g187147-d188757-Reviews-Musee_du_Louvre-Paris_Ile_de_France.html,4,Paris,"Paris, France"
Notre Dame Cathedral,https://www.tripadvisor.com/Attraction_Review-g187147-d188679-Reviews-Notre_Dame_Cathedral-Paris_Ile_de_France.html,5,Paris,"Paris, France"
Sainte-Chapelle,https://www.tripadvisor.com/Attraction_Review-g187147-d190202-Reviews-Sainte_Chapelle-Paris_Ile_de_France.html,6,Paris,"Paris, France"
Luxembourg Gardens,https://www.tripadvisor.com/Attraction_Review-g187147-d189687-Reviews-Luxembourg_Gardens-Paris_Ile_de_France.html,7,Paris,"Paris, France"
Palais Garnier - Opera National de Paris,https://www.tripadvisor.com/Attraction_Review-g187147-d190204-Reviews-Palais_Garnier_Opera_National_de_Paris-Paris_Ile_de_France.html,8,Paris,"Paris, France"
River Seine,https://www.tripadvisor.com/Attraction_Review-g187147-d189683-Reviews-River_Seine-Paris_Ile_de_France.html,9,Paris,"Paris, France"
City Tours (174),https://www.tripadvisor.com/Attractions-g187147-Activities-c42-t224-Paris_Ile_de_France.html,10,Paris,"Paris, France"
Pont Alexandre III,https://www.tripadvisor.com/Attraction_Review-g187147-d265614-Reviews-Pont_Alexandre_III-Paris_Ile_de_France.html,11,Paris,"Paris, France"
Basilica du Sacre-Coeur de Montmartre,https://www.tripadvisor.com/Attraction_Review-g187147-d190685-Reviews-Basilica_du_Sacre_Coeur_de_Montmartre-Paris_Ile_de_France.html,12,Paris,"Paris, France"
Musee de l'Orangerie,https://www.tripadvisor.com/Attraction_Review-g187147-d265635-Reviews-Musee_de_l_Orangerie-Paris_Ile_de_France.html,13,Paris,"Paris, France"
Arc de Triomphe,https://www.tripadvisor.com/Attraction_Review-g187147-d188709-Reviews-Arc_de_Triomphe-Paris_Ile_de_France.html,14,Paris,"Paris, France"
Le Marais,https://www.tripadvisor.com/Attraction_Review-g187147-d292257-Reviews-Le_Marais-Paris_Ile_de_France.html,15,Paris,"Paris, France"
Food Tours (48),https://www.tripadvisor.com/Attractions-g187147-Activities-c42-t204-Paris_Ile_de_France.html,16,Paris,"Paris, France"
Musee Rodin,https://www.tripadvisor.com/Attraction_Review-g187147-d188149-Reviews-Musee_Rodin-Paris_Ile_de_France.html,17,Paris,"Paris, France"
Room Escape Games (27),https://www.tripadvisor.com/Attractions-g187147-Activities-c56-t208-Paris_Ile_de_France.html,18,Paris,"Paris, France"
Tours de la Cathedrale Notre-Dame,https://www.tripadvisor.com/Attraction_Review-g187147-d2397509-Reviews-Tours_de_la_Cathedrale_Notre_Dame-Paris_Ile_de_France.html,19,Paris,"Paris, France"
Private Tours (172),https://www.tripadvisor.com/Attractions-g187147-Activities-c42-t235-Paris_Ile_de_France.html,20,Paris,"Paris, France"
Montmartre,https://www.tripadvisor.com/Attraction_Review-g187147-d189284-Reviews-Montmartre-Paris_Ile_de_France.html,21,Paris,"Paris, France"
Saint Germain des Pres Quarter,https://www.tripadvisor.com/Attraction_Review-g187147-d191240-Reviews-Saint_Germain_des_Pres_Quarter-Paris_Ile_de_France.html,22,Paris,"Paris, France"
Ile Saint-Louis,https://www.tripadvisor.com/Attraction_Review-g187147-d209761-Reviews-Ile_Saint_Louis-Paris_Ile_de_France.html,23,Paris,"Paris, France"
Ile de la Cite,https://www.tripadvisor.com/Attraction_Review-g187147-d601755-Reviews-Ile_de_la_Cite-Paris_Ile_de_France.html,24,Paris,"Paris, France"
Musee Marmottan,https://www.tripadvisor.com/Attraction_Review-g187147-d188485-Reviews-Musee_Marmottan-Paris_Ile_de_France.html,25,Paris,"Paris, France"
Walking Tours (103),https://www.tripadvisor.com/Attractions-g187147-Activities-c42-t183-Paris_Ile_de_France.html,26,Paris,"Paris, France"
Musee Nissim de Camondo,https://www.tripadvisor.com/Attraction_Review-g187147-d232159-Reviews-Musee_Nissim_de_Camondo-Paris_Ile_de_France.html,27,Paris,"Paris, France"
Place des Vosges,https://www.tripadvisor.com/Attraction_Review-g187147-d188467-Reviews-Place_des_Vosges-Paris_Ile_de_France.html,28,Paris,"Paris, France"
Musee Jacquemart-Andre,https://www.tripadvisor.com/Attraction_Review-g187147-d188761-Reviews-Musee_Jacquemart_Andre-Paris_Ile_de_France.html,29,Paris,"Paris, France"
Army Museum,https://www.tripadvisor.com/Attraction_Review-g187147-d189245-Reviews-Army_Museum-Paris_Ile_de_France.html,30,Paris,"Paris, France"
Trocadero,https://www.tripadvisor.com/Attraction_Review-g187147-d246750-Reviews-Trocadero-Paris_Ile_de_France.html,31,Paris,"Paris, France"
French Open,https://www.tripadvisor.com/Attraction_Review-g187147-d8820231-Reviews-French_Open-Paris_Ile_de_France.html,32,Paris,"Paris, France"
Chapel of Our Lady of the Miraculous Medal,https://www.tripadvisor.com/Attraction_Review-g187147-d1759606-Reviews-Chapel_of_Our_Lady_of_the_Miraculous_Medal-Paris_Ile_de_France.html,33,Paris,"Paris, France"
Cultural Tours (98),https://www.tripadvisor.com/Attractions-g187147-Activities-c42-t225-Paris_Ile_de_France.html,34,Paris,"Paris, France"
Jardin des Tuileries,https://www.tripadvisor.com/Attraction_Review-g187147-d194171-Reviews-Jardin_des_Tuileries-Paris_Ile_de_France.html,35,Paris,"Paris, France"
Pere-Lachaise Cemetery (Cimetiere du Pere-Lachaise),https://www.tripadvisor.com/Attraction_Review-g187147-d188698-Reviews-Pere_Lachaise_Cemetery_Cimetiere_du_Pere_Lachaise-Paris_Ile_de_France.html,36,Paris,"Paris, France"
Taxis & Shuttles (113),https://www.tripadvisor.com/Attractions-g187147-Activities-c59-t182-Paris_Ile_de_France.html,37,Paris,"Paris, France"
Champs-Elysees,https://www.tripadvisor.com/Attraction_Review-g187147-d209760-Reviews-Champs_Elysees-Paris_Ile_de_France.html,38,Paris,"Paris, France"
Musee du quai Branly - Jacques Chirac,https://www.tripadvisor.com/Attraction_Review-g187147-d500272-Reviews-Musee_du_quai_Branly_Jacques_Chirac-Paris_Ile_de_France.html,39,Paris,"Paris, France"
Latin Quarter,https://www.tripadvisor.com/Attraction_Review-g187147-d189685-Reviews-Latin_Quarter-Paris_Ile_de_France.html,40,Paris,"Paris, France"
Musee des Arts Forains,https://www.tripadvisor.com/Attraction_Review-g187147-d2507208-Reviews-Musee_des_Arts_Forains-Paris_Ile_de_France.html,41,Paris,"Paris, France"
Musee de Cluny - Musee National du Moyen Age,https://www.tripadvisor.com/Attraction_Review-g187147-d188484-Reviews-Musee_de_Cluny_Musee_National_du_Moyen_Age-Paris_Ile_de_France.html,42,Paris,"Paris, France"
Parc des Buttes Chaumont,https://www.tripadvisor.com/Attraction_Review-g187147-d189249-Reviews-Parc_des_Buttes_Chaumont-Paris_Ile_de_France.html,43,Paris,"Paris, France"
Memorial de la Shoah (Shoah Memorial),https://www.tripadvisor.com/Attraction_Review-g187147-d549934-Reviews-Memorial_de_la_Shoah_Shoah_Memorial-Paris_Ile_de_France.html,44,Paris,"Paris, France"
Sightseeing Tours (127),https://www.tripadvisor.com/Attractions-g187147-Activities-c42-t139-Paris_Ile_de_France.html,45,Paris,"Paris, France"
Observatoire Panoramique de la Tour Montparnasse,https://www.tripadvisor.com/Attraction_Review-g187147-d314450-Reviews-Observatoire_Panoramique_de_la_Tour_Montparnasse-Paris_Ile_de_France.html,46,Paris,"Paris, France"
"Petit Palais, City of Paris Fine Art Museum",https://www.tripadvisor.com/Attraction_Review-g187147-d232167-Reviews-Petit_Palais_City_of_Paris_Fine_Art_Museum-Paris_Ile_de_France.html,47,Paris,"Paris, France"
Luxembourg Palace,https://www.tripadvisor.com/Attraction_Review-g187147-d210197-Reviews-Luxembourg_Palace-Paris_Ile_de_France.html,48,Paris,"Paris, France"
1st Arrondissement,https://www.tripadvisor.com/Attraction_Review-g187147-d6642124-Reviews-1st_Arrondissement-Paris_Ile_de_France.html,49,Paris,"Paris, France"
Musee National des Arts Asiatiques - Guimet,https://www.tripadvisor.com/Attraction_Review-g187147-d188488-Reviews-Musee_National_des_Arts_Asiatiques_Guimet-Paris_Ile_de_France.html,50,Paris,"Paris, France"
Eglise Saint-Etienne-du-Mont de Paris,https://www.tripadvisor.com/Attraction_Review-g187147-d191146-Reviews-Eglise_Saint_Etienne_du_Mont_de_Paris-Paris_Ile_de_France.html,51,Paris,"Paris, France"
Fondation Louis Vuitton,https://www.tripadvisor.com/Attraction_Review-g187147-d7149635-Reviews-Fondation_Louis_Vuitton-Paris_Ile_de_France.html,52,Paris,"Paris, France"
Musee des Arts et Metiers,https://www.tripadvisor.com/Attraction_Review-g187147-d265615-Reviews-Musee_des_Arts_et_Metiers-Paris_Ile_de_France.html,53,Paris,"Paris, France"
Spas (220),https://www.tripadvisor.com/Attractions-g187147-Activities-c40-t127-Paris_Ile_de_France.html,54,Paris,"Paris, France"
La Madeleine,https://www.tripadvisor.com/Attraction_Review-g187147-d209790-Reviews-La_Madeleine-Paris_Ile_de_France.html,55,Paris,"Paris, France"
Galeries Lafayette,https://www.tripadvisor.com/Attraction_Review-g187147-d189193-Reviews-Galeries_Lafayette-Paris_Ile_de_France.html,56,Paris,"Paris, France"
Pantheon,https://www.tripadvisor.com/Attraction_Review-g187147-d189280-Reviews-Pantheon-Paris_Ile_de_France.html,57,Paris,"Paris, France"
Lessons & Workshops (77),https://www.tripadvisor.com/Attractions-g187147-Activities-c41-t185-Paris_Ile_de_France.html,58,Paris,"Paris, France"
The Catacombs,https://www.tripadvisor.com/Attraction_Review-g187147-d189229-Reviews-The_Catacombs-Paris_Ile_de_France.html,59,Paris,"Paris, France"
Coulee Verte Rene Dumont,https://www.tripadvisor.com/Attraction_Review-g187147-d652872-Reviews-Coulee_Verte_Rene_Dumont-Paris_Ile_de_France.html,60,Paris,"Paris, France"
Jardin des Plantes,https://www.tripadvisor.com/Attraction_Review-g187147-d189291-Reviews-Jardin_des_Plantes-Paris_Ile_de_France.html,61,Paris,"Paris, France"
Jardin du Palais Royal,https://www.tripadvisor.com/Attraction_Review-g187147-d209789-Reviews-Jardin_du_Palais_Royal-Paris_Ile_de_France.html,62,Paris,"Paris, France"
French Open,https://www.tripadvisor.com/Attraction_Review-g187147-d8820231-Reviews-French_Open-Paris_Ile_de_France.html,63,Paris,"Paris, France"
Parc Monceau,https://www.tripadvisor.com/Attraction_Review-g187147-d194190-Reviews-Parc_Monceau-Paris_Ile_de_France.html,64,Paris,"Paris, France"
Hotel de Ville,https://www.tripadvisor.com/Attraction_Review-g187147-d208055-Reviews-Hotel_de_Ville-Paris_Ile_de_France.html,65,Paris,"Paris, France"
Parc Montsouris,https://www.tripadvisor.com/Attraction_Review-g187147-d545891-Reviews-Parc_Montsouris-Paris_Ile_de_France.html,66,Paris,"Paris, France"
Centre Pompidou,https://www.tripadvisor.com/Attraction_Review-g187147-d314440-Reviews-Centre_Pompidou-Paris_Ile_de_France.html,67,Paris,"Paris, France"
Place de la Concorde,https://www.tripadvisor.com/Attraction_Review-g187147-d189281-Reviews-Place_de_la_Concorde-Paris_Ile_de_France.html,68,Paris,"Paris, France"
Le Bon Marche Rive Gauche,https://www.tripadvisor.com/Attraction_Review-g187147-d189255-Reviews-Le_Bon_Marche_Rive_Gauche-Paris_Ile_de_France.html,69,Paris,"Paris, France"
Paroisse Saint-Eustache,https://www.tripadvisor.com/Attraction_Review-g187147-d191149-Reviews-Paroisse_Saint_Eustache-Paris_Ile_de_France.html,70,Paris,"Paris, France"
Rue Montorgueil,https://www.tripadvisor.com/Attraction_Review-g187147-d208054-Reviews-Rue_Montorgueil-Paris_Ile_de_France.html,71,Paris,"Paris, France"
National Museum of Natural History,https://www.tripadvisor.com/Attraction_Review-g187147-d189241-Reviews-National_Museum_of_Natural_History-Paris_Ile_de_France.html,72,Paris,"Paris, France"
Bike Tours (23),https://www.tripadvisor.com/Attractions-g187147-Activities-c61-t214-Paris_Ile_de_France.html,73,Paris,"Paris, France"
Bastille Market,https://www.tripadvisor.com/Attraction_Review-g187147-d3249136-Reviews-Bastille_Market-Paris_Ile_de_France.html,74,Paris,"Paris, France"
Montparnasse,https://www.tripadvisor.com/Attraction_Review-g187147-d194214-Reviews-Montparnasse-Paris_Ile_de_France.html,75,Paris,"Paris, France"
Pont-Neuf,https://www.tripadvisor.com/Attraction_Review-g187147-d191012-Reviews-Pont_Neuf-Paris_Ile_de_France.html,76,Paris,"Paris, France"
Palais Royal,https://www.tripadvisor.com/Attraction_Review-g187147-d189251-Reviews-Palais_Royal-Paris_Ile_de_France.html,77,Paris,"Paris, France"
Rue Mouffetard Market,https://www.tripadvisor.com/Attraction_Review-g187147-d191100-Reviews-Rue_Mouffetard_Market-Paris_Ile_de_France.html,78,Paris,"Paris, France"
Musee de Montmartre,https://www.tripadvisor.com/Attraction_Review-g187147-d210318-Reviews-Musee_de_Montmartre-Paris_Ile_de_France.html,79,Paris,"Paris, France"
Gift & Specialty Shops (503),https://www.tripadvisor.com/Attractions-g187147-Activities-c26-t144-Paris_Ile_de_France.html,80,Paris,"Paris, France"
Office du Tourisme et des Congres de Paris,https://www.tripadvisor.com/Attraction_Review-g187147-d310851-Reviews-Office_du_Tourisme_et_des_Congres_de_Paris-Paris_Ile_de_France.html,81,Paris,"Paris, France"
Saint-Sulpice,https://www.tripadvisor.com/Attraction_Review-g187147-d208638-Reviews-Saint_Sulpice-Paris_Ile_de_France.html,82,Paris,"Paris, France"
Place Vendome,https://www.tripadvisor.com/Attraction_Review-g187147-d189189-Reviews-Place_Vendome-Paris_Ile_de_France.html,83,Paris,"Paris, France"
Eglise Saint-Sulpice,https://www.tripadvisor.com/Attraction_Review-g187147-d232169-Reviews-Eglise_Saint_Sulpice-Paris_Ile_de_France.html,84,Paris,"Paris, France"
Performances (57),https://www.tripadvisor.com/Attractions-g187147-Activities-c58-t111-Paris_Ile_de_France.html,85,Paris,"Paris, France"
Musee Carnavalet,https://www.tripadvisor.com/Attraction_Review-g187147-d188758-Reviews-Musee_Carnavalet-Paris_Ile_de_France.html,86,Paris,"Paris, France"
Parc des Princes,https://www.tripadvisor.com/Attraction_Review-g187147-d2485740-Reviews-Parc_des_Princes-Paris_Ile_de_France.html,87,Paris,"Paris, France"
Parc du Champ de Mars,https://www.tripadvisor.com/Attraction_Review-g187147-d1847870-Reviews-Parc_du_Champ_de_Mars-Paris_Ile_de_France.html,88,Paris,"Paris, France"
La Defense,https://www.tripadvisor.com/Attraction_Review-g187147-d246654-Reviews-La_Defense-Paris_Ile_de_France.html,89,Paris,"Paris, France"
Grande Galerie de l'Evolution,https://www.tripadvisor.com/Attraction_Review-g187147-d4735877-Reviews-Grande_Galerie_de_l_Evolution-Paris_Ile_de_France.html,90,Paris,"Paris, France"
Musee des Arts Decoratifs,https://www.tripadvisor.com/Attraction_Review-g187147-d232164-Reviews-Musee_des_Arts_Decoratifs-Paris_Ile_de_France.html,91,Paris,"Paris, France"
Pont des Arts,https://www.tripadvisor.com/Attraction_Review-g187147-d2072995-Reviews-Pont_des_Arts-Paris_Ile_de_France.html,92,Paris,"Paris, France"
